,marketSegment,name,slug,ticker,totalSupply
0,Platform,Color Platform,color-platform,CLR,350000000
1,Blockchain Network,Enecuum,enecuum,ENQ,197847931.122
2,Interoperability,Cosmos,cosmos,ATOM,283509834.890493
3,Financial,ZeuxCoin,zeuxcoin,ZUC,750000000
4,Energy,Treelion,treelion,TRN,1000000000
5,Lending,Kava,kava,KAVA,152889591
6,,Synth sLINK,slink,sLINK,61278.144609
7,Lending,TrueFi,truefi-token,TRU,1441129427
8,Other,HyperExchange,hyperexchange,HX,90767835.7014
9,Trading,MargiX,margix,MGX,1000000000
10,Platform,EOS Force,eos-force,EOSC,1000000000
11,Cloud Storage,YottaChain,yottachain,YTA,4000000000
12,Stablecoin,Anchor,anchor,ANCT,759493671
13,,SEED Pool Token,pseed,pSEED,
14,Financial,AllianceBlock,allianceblock,ALBT,1000000000
15,Stablecoin,Euro Tether,tether-eurt,EURT,50001660.54
16,DeFi,0x Tracker,0xtracker,ZRT,
17,Financial,Tepleton,tepleton,TEP,1000000000
18,Other,7Eleven,7eleven,7E,1000000000000
19,Blockchain Network,everiToken,everitoken,EVT,194322605.36644
20,Cryptocurrency,Yap Stone,yap-stone,YAP,1000000000
21,Cryptocurrency,Dash Cash,dash-cash,DSC,22657590.44
22,AI,Hintchain,hintchain,HINT,1000000000
23,Financial,Azbit,azbit,AZ,124724662825.0904
24,Sports,Project WITH,project-with,WIKEN,1057786429
25,Sports,Chiliz,chiliz,CHZ,8888888888
26,Cloud Computing,DeepCloud AI,deepcloud-ai,DEEP,200000000
27,,Mint Club,mint-club,MINT,1149363840000
28,DeFi,Pokeball,pokeball,POKE,4965992
29,Social,Sessia,sessia,KICKS,100000000
30,Insurance,Polkacover,polkacover,CVR,137865569
31,Prediction Market,Helena,helena,HLN,
32,Exchange,Bitfex,bitfex,BFX,216525879
33,Stablecoin,HUSD,husd,HUSD,316945970.8676033
34,Stablecoin,Fei USD,fei-protocol,FEI,426116732.6917724
35,Advertising,DAD,dad-chain,DAD,1000000000
36,Cryptocurrency,MeconCash,meconcash,MCH,1000000000
37,Exchange,GateToken,gatechain-token,GT,300000000
38,Cryptocurrency,Helium ,helium,HNT,223000000
39,DeFi,Augmint,augmint,AUG,
40,Ethereum,Define,define,DFA,500000000
41,Cryptocurrency,MB8 Coin,mb8-coin,MB8,162318938.73964253
42,Other,Swapcoinz,swapcoinz,SPAZ,1000000
43,Cryptocurrency,ChronoCoin,chronocoin,CRN,5680000000
44,DeFi,Nitrogen Network,nitrogen,NGN,
45,DeFi,Totle,totle,TTL,
46,Social,D Community,d-community,DILI,10000000000
47,DeFi,Ash,ash,ASH,
48,Other,LINKA,linka,LINKA,2000000000
49,DeFi,Karura,karura,KAR,100000000
50,DeFi,Poketto,poketto,PKT,
51,AI,Tesra,tesra,TSR,10000000000
52,Lending,INLOCK,inlock,ILK,4400000000
53,DeFi,InstaDApp,instadapp,IDA,
54,DeFi,XVIX,xvix,XVIX,177820
55,Ethereum,SuperRare,superrare,RARE,1000000000
56,Marketplace,CryptoBossCoin,cryptobosscoin,CBC,23277.81
57,Exchange,CoinHe Token,coinhe-token,CHT,200000000
58,Blockchain Network,Flow,flow,FLOW,1378211739
59,IoT,Xensor,xensor,XSR,4800000000
60,Ethereum,Stake DAO,stake-dao,SDT,41600000
61,DeFi,FiatDex Gateway,fiatdex-gateway,FDG,
62,Bitcoin,Lightning Network,lightning-network,LNN,
63,DeFi,Zerion,zerion,ZRN,
64,Exchange,ALP Coin,alp-coin,ALP,100000000
65,DeFi,Nuo Network,nuo,NUO,
66,Jobs,Braintrust,BTRST,BTRST,250000000
67,DeFi,UMA,uma,UMA,105410331.6153335
68,Advertising,BenePit Protocol,benepit-protocol,BNP,30000000000
69,Ethereum,SSV Network,ssv-network,SSV,10000000
70,DeFi,Set Protocol,set-protocol,SPX,
71,Cryptocurrency,Litecoin,litecoin,LTC,84000000
72,Privacy,Typhoon Cash,typhoon-cash,PHOON,30000
73,Cryptocurrency,MimbleWimbleCoin,mimblewimblecoin,MWC,10797822.0569404
74,DeFi,Razor Network,razor,RZR,
75,DeFi,Veil,veil,VEL,
76,,Snax,snax,SNAX,
77,Blockchain Service,PegaSys,pegasys,PSS,
78,DeFi,Chintai,chintai,CHN,
79,,Coinzo Token,coinzo,CNZ,
80,DeFi,Worbli,worbli,WBL,
81,DeFi,MARKET Protocol,market-protocol,MPX,
82,Platform,BlockMason Credit Protocol,blockmason,BCPT,116158667
83,Decentralized Exchange,JulSwap,julswap,JULD,799383875.3500402
84,,Synth sBCH,sbch,sBCH,
85,DeFi,Transledger,transledger,TRN,
86,Ethereum,Punk,punk,PUNK,0
87,Blockchain Service,Kambria,kambria,KAT,3098854699.998901
88,,Cere Network,cere,CERE,
89,,X-power Chain,xpower,XPO,
90,Data,GXChain,gxchain,GXC,99793350.13105
