,coin,words,count
0,BTC,market,438
1,BTC,buy,314
2,BTC,time,310
3,BTC,people,304
4,BTC,salvador,290
5,BTC,like,276
6,BTC,free,273
7,BTC,today,265
8,BTC,etf,262
9,BTC,price,261
10,BTC,money,229
11,BTC,going,211
12,BTC,good,194
13,BTC,live,190
14,BTC,world,190
15,BTC,watch,178
16,BTC,year,173
17,BTC,inflation,167
18,BTC,days,164
19,BTC,million,162
20,ETH,sec,207
21,ETH,free,182
22,ETH,pass,179
23,ETH,market,111
24,ETH,price,107
25,ETH,hinman,105
26,ETH,fees,87
27,ETH,time,83
28,ETH,speech,81
29,ETH,network,80
30,ETH,like,79
31,ETH,high,77
32,ETH,want,74
33,ETH,use,70
34,ETH,blockchain,65
35,ETH,year,59
36,ETH,users,58
37,ETH,people,58
38,ETH,bullish,55
39,ETH,bonus,55
40,BNB,like,11
41,BNB,binance,7
42,BNB,highest,6
43,BNB,bsc,6
44,BNB,higher,5
45,BNB,mentioned,5
46,BNB,twitter,5
47,BNB,social,4
48,BNB,better,4
49,BNB,supply,3
50,BNB,burning,3
51,BNB,mechanism,3
52,BNB,best,3
53,BNB,coins,3
54,BNB,trading,3
55,BNB,margins,3
56,BNB,users,2
57,BNB,details,2
58,BNB,signal,2
59,BNB,proposal,2
60,USDT,trading,1328
61,USDT,details,621
62,USDT,deposit,533
63,USDT,pair,511
64,USDT,open,435
65,USDT,trade,389
66,USDT,withdrawal,365
67,USDT,today,364
68,USDT,listing,364
69,USDT,nov,330
70,USDT,list,267
71,USDT,mexc,266
72,USDT,zone,266
73,USDT,opened,262
74,USDT,pairs,257
75,USDT,live,247
76,USDT,bitrue,227
77,USDT,oct,200
78,USDT,listed,199
79,USDT,sep,181
80,SOL,buy,54
81,SOL,chart,52
82,SOL,gave,49
83,SOL,market,47
84,SOL,solusdt,46
85,SOL,signal,46
86,SOL,like,38
87,SOL,world,35
88,SOL,update,30
89,SOL,live,25
90,SOL,ath,25
91,SOL,floor,25
92,SOL,join,23
93,SOL,time,23
94,SOL,video,22
95,SOL,long,22
96,SOL,members,21
97,SOL,twitter,21
98,SOL,daily,18
99,SOL,going,16
100,ADA,people,225
101,ADA,smart,183
102,ADA,going,163
103,ADA,world,159
104,ADA,like,154
105,ADA,stake,152
106,ADA,today,152
107,ADA,time,149
108,ADA,contracts,148
109,ADA,coins,131
110,ADA,community,130
111,ADA,project,121
112,ADA,price,112
113,ADA,summit,106
114,ADA,technology,105
115,ADA,think,100
116,ADA,ecosystem,96
117,ADA,know,89
118,ADA,future,85
119,ADA,decentralized,85
120,XRP,sec,469
121,XRP,win,213
122,XRP,lawsuit,166
123,XRP,community,128
124,XRP,like,124
125,XRP,ledger,120
126,XRP,claim,113
127,XRP,daily,105
128,XRP,price,104
129,XRP,follow,103
130,XRP,single,103
131,XRP,chance,95
132,XRP,going,94
133,XRP,winner,93
134,XRP,chances,93
135,XRP,register,93
136,XRP,congratulations,92
