,coin,words,count
0,BTC,market,438
1,BTC,new,426
2,BTC,buy,314
3,BTC,time,310
4,BTC,people,304
5,BTC,salvador,290
6,BTC,like,276
7,BTC,free,273
8,BTC,today,265
9,BTC,etf,262
10,BTC,price,261
11,BTC,day,239
12,BTC,money,229
13,BTC,going,211
14,BTC,good,194
15,BTC,live,190
16,BTC,world,190
17,BTC,watch,178
18,BTC,year,173
19,BTC,inflation,167
20,ETH,sec,207
21,ETH,free,182
22,ETH,pass,179
23,ETH,new,127
24,ETH,market,111
25,ETH,price,107
26,ETH,hinman,105
27,ETH,fees,87
28,ETH,time,83
29,ETH,speech,81
30,ETH,network,80
31,ETH,like,79
32,ETH,high,77
33,ETH,want,74
34,ETH,use,70
35,ETH,blockchain,65
36,ETH,year,59
37,ETH,users,58
38,ETH,people,58
39,ETH,bullish,55
40,BNB,projects,11
41,BNB,like,11
42,BNB,binance,7
43,BNB,highest,6
44,BNB,bsc,6
45,BNB,higher,5
46,BNB,mentioned,5
47,BNB,twitter,5
48,BNB,social,4
49,BNB,better,4
50,BNB,tokens,3
51,BNB,supply,3
52,BNB,new,3
53,BNB,burning,3
54,BNB,mechanism,3
55,BNB,best,3
56,BNB,coins,3
57,BNB,trading,3
58,BNB,margins,3
59,BNB,users,2
60,USDT,trading,1328
61,USDT,00,896
62,USDT,details,621
63,USDT,deposit,533
64,USDT,pair,511
65,USDT,open,435
66,USDT,trade,389
67,USDT,new,373
68,USDT,withdrawal,365
69,USDT,today,364
70,USDT,listing,364
71,USDT,nov,330
72,USDT,list,267
73,USDT,mexc,266
74,USDT,zone,266
75,USDT,opened,262
76,USDT,pairs,257
77,USDT,live,247
78,USDT,bitrue,227
79,USDT,oct,200
80,SOL,buy,54
81,SOL,chart,52
82,SOL,gave,49
83,SOL,new,48
84,SOL,market,47
85,SOL,solusdt,46
86,SOL,signal,46
87,SOL,like,38
88,SOL,world,35
89,SOL,update,30
90,SOL,cryptocurrency,26
91,SOL,live,25
92,SOL,ath,25
93,SOL,floor,25
94,SOL,join,23
95,SOL,time,23
96,SOL,video,22
97,SOL,long,22
98,SOL,members,21
99,SOL,twitter,21
100,ADA,people,225
101,ADA,new,206
102,ADA,smart,183
103,ADA,going,163
104,ADA,world,159
105,ADA,like,154
106,ADA,stake,152
107,ADA,today,152
108,ADA,time,149
109,ADA,contracts,148
110,ADA,coins,131
111,ADA,community,130
112,ADA,project,121
113,ADA,price,112
114,ADA,day,111
115,ADA,summit,106
116,ADA,technology,105
117,ADA,think,100
118,ADA,ecosystem,96
119,ADA,projects,95
120,XRP,sec,469
121,XRP,win,213
122,XRP,lawsuit,166
123,XRP,community,128
124,XRP,like,124
125,XRP,day,122
126,XRP,ledger,120
127,XRP,claim,113
128,XRP,new,106
129,XRP,daily,105
130,XRP,price,104
131,XRP,follow,103
132,XRP,single,103
133,XRP,chance,95
134,XRP,going,94
135,XRP,winner,93
136,XRP,chances,93
137,XRP,register,93
138,XRP,congratulations,92
139,XRP,tipbot,92
140,DOT,auctions,97
141,DOT,ecosystem,94
142,DOT,parachain,85
143,DOT,going,78
144,DOT,auction,64
145,DOT,slot,57
146,DOT,trade,56
147,DOT,projects,53
148,DOT,project,53
149,DOT,layer,52
150,DOT,think,49
151,DOT,new,47
152,DOT,tokens,47
153,DOT,market,44
154,DOT,update,44
155,DOT,live,43
156,DOT,ksm,42
157,DOT,learn,39
158,DOT,people,38
159,DOT,parachains,37
160,LUNA,like,114
161,LUNA,community,98
162,LUNA,buy,96
163,LUNA,send,93
164,LUNA,new,89
165,LUNA,think,89
166,LUNA,know,83
167,LUNA,time,76
168,LUNA,price,73
169,LUNA,people,73
170,LUNA,ecosystem,73
171,LUNA,buying,65
172,LUNA,burn,64
173,LUNA,projects,62
174,LUNA,ser,62
175,LUNA,soon,61
176,LUNA,going,59
177,LUNA,market,56
178,LUNA,ust,54
179,LUNA,columbus5,52
180,DOGE,people,242
181,DOGE,like,213
182,DOGE,community,163
183,DOGE,good,138
184,DOGE,going,134
185,DOGE,elon,131
186,DOGE,new,122
187,DOGE,buy,121
188,DOGE,yes,108
189,DOGE,retweet,101
190,DOGE,want,96
191,DOGE,time,96
192,DOGE,newsletter,93
193,DOGE,think,91
194,DOGE,lets,90
195,DOGE,money,87
196,DOGE,world,86
197,DOGE,memes,83
198,DOGE,moon,82
199,DOGE,meme,79
200,AVAX,info,221
201,AVAX,new,206
202,AVAX,announce,127
203,AVAX,partnership,111
204,AVAX,users,103
