,coin,words,count
0,BTC,market,438
1,BTC,buy,314
2,BTC,time,310
3,BTC,people,304
4,BTC,salvador,290
5,BTC,like,276
6,BTC,free,273
7,BTC,today,265
8,BTC,etf,262
9,BTC,price,261
10,BTC,money,229
11,BTC,going,211
12,BTC,good,194
13,BTC,live,190
14,BTC,world,190
15,BTC,watch,178
16,BTC,year,173
17,BTC,inflation,167
18,BTC,days,164
19,BTC,million,162
20,BTC,years,161
21,BTC,best,160
22,BTC,news,152
23,BTC,high,150
24,BTC,right,148
25,BTC,mining,141
26,BTC,digital,140
27,BTC,think,139
28,BTC,close,135
29,BTC,use,132
30,BTC,want,130
31,BTC,gold,125
32,BTC,breaking,124
33,BTC,earn,123
34,BTC,energy,122
35,BTC,network,121
36,BTC,bank,121
37,BTC,join,120
38,BTC,week,120
39,BTC,onchain,120
40,BTC,sats,119
41,BTC,enjoy,119
42,BTC,investors,114
43,BTC,billion,114
44,BTC,cycle,113
45,BTC,daily,111
46,BTC,asset,111
47,BTC,hold,109
48,BTC,business,109
49,BTC,bought,108
50,ETH,sec,207
51,ETH,free,182
52,ETH,pass,179
53,ETH,market,111
54,ETH,price,107
55,ETH,hinman,105
56,ETH,fees,87
57,ETH,time,83
58,ETH,speech,81
59,ETH,network,80
60,ETH,like,79
61,ETH,high,77
62,ETH,want,74
63,ETH,use,70
64,ETH,blockchain,65
65,ETH,year,59
66,ETH,users,58
67,ETH,people,58
68,ETH,bullish,55
69,ETH,bonus,55
70,ETH,going,53
71,ETH,million,52
72,ETH,week,52
73,ETH,world,52
74,ETH,nfts,48
75,ETH,layer,48
76,ETH,years,48
77,ETH,security,48
78,ETH,decentralized,47
79,ETH,nft,47
80,ETH,altcoins,45
81,ETH,congress,45
82,ETH,reports,43
83,ETH,cofounder,43
84,ETH,buy,43
85,ETH,link,42
86,ETH,trading,42
87,ETH,today,41
88,ETH,working,40
89,ETH,earn,40
90,ETH,worth,39
91,ETH,think,39
92,ETH,great,39
93,ETH,billion,38
94,ETH,industry,38
95,ETH,capital,38
96,ETH,twitter,37
97,ETH,traders,36
98,ETH,interview,36
99,ETH,ether,35
100,BNB,like,11
101,BNB,binance,7
102,BNB,highest,6
103,BNB,bsc,6
104,BNB,higher,5
105,BNB,mentioned,5
106,BNB,twitter,5
107,BNB,social,4
108,BNB,better,4
109,BNB,supply,3
110,BNB,burning,3
111,BNB,mechanism,3
112,BNB,best,3
113,BNB,coins,3
114,BNB,trading,3
115,BNB,margins,3
116,BNB,users,2
117,BNB,details,2
118,BNB,signal,2
119,BNB,proposal,2
120,BNB,burn,2
121,BNB,reduce,2
122,BNB,demand,2
123,BNB,bullish,2
124,BNB,sentiment,2
125,BNB,engagement,2
126,BNB,altrank,2
127,BNB,bought,2
128,BNB,price,2
129,BNB,game,2
130,BNB,rn,2
131,BNB,buy,2
132,BNB,wanna,2
133,BNB,dog,2
134,BNB,omg,2
135,BNB,rumble,2
136,BNB,think,2
