created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count,coin,clean_tweets,tweet_score
2021-09-06 13:12:33 UTC,"It’s official: The Cronos Mainnet with EVM smart contracts is launching on Oct 19, with a $1,000,000 prize pool for the $CRO community.  🔥1,000 winners get $1,000 in #BTC  Enter to win: ✅Retweet ✅Reply &amp; tag 5 friends ✅Follow  &amp;  ✅Add #CRO to your bio  https://t.co/K4VfxDyygg",cryptocom,"['btc', 'cro']",['cro'],56032,137343,44897,CRO,its official the cronos mainnet with evm smart contracts is launching on oct 19 with a  prize pool for the  community 1000 winners get  in  enter to win retweet reply &amp; tag 5 friends follow &amp; add  to your bio,90367.75
2021-09-09 22:06:59 UTC,🤩 We're thrilled to announce  https://t.co/vCNztABJoG and Paris Saint-Germain have signed a multi-year deal  ⚽️ First Crypto Platform Partner ⚽️ Release of exclusive #NFTs ⚽️ Special rewards for  https://t.co/vCNztABJoG users  🚀  Details:  https://t.co/9AFDxk4qrX  https://t.co/pEOSgqB9Oe,cryptocom,['nfts'],[],13024,77172,2364,CRO,we're thrilled to announce and paris saintgermain have signed a multiyear deal first crypto platform partner release of exclusive  special rewards for users details,32317.0
2021-11-24 17:45:08 UTC,"After significant time in stealth mode, we are excited to go public on what we've been working on - the platform that will build out the  ecosystem.  #Algorand #DeFi #FutureFi   https://t.co/SlIThxBWe1",algorithmfin,"['algorand', 'defi', 'futurefi']",[],18997,22540,8578,ALGO,after significant time in stealth mode we are excited to go public on what we've been working on  the platform that will build out the ecosystem,24632.0
2021-11-29 13:03:58 UTC,"MicroStrategy has purchased an additional 7,002 bitcoins for ~$414.4 million in cash at an average price of ~$59,187 per #bitcoin. As of 11/29/21 we #hodl ~121,044 bitcoins acquired for ~$3.57 billion at an average price of ~$29,534 per bitcoin. $MSTR  https://t.co/OA8VWG1bZX",saylor,"['bitcoin', 'hodl']",['mstr'],9682,49079,3865,BTC,microstrategy has purchased an additional7002bitcoins for ~ in cash at an average price of~  as of 112921 we  ~121044bitcoins acquired for ~ at an average price of ~ per bitcoin,21951.75
2021-09-13 12:04:35 UTC,"MicroStrategy has purchased an additional 5,050 bitcoins for ~$242.9 million in cash at an average price of ~$48,099 per #bitcoin. As of 9/12/21 we #hodl ~114,042 bitcoins acquired for ~$3.16 billion at an average price of ~$27,713 per bitcoin. $MSTR  https://t.co/2ESbTy6ad7",saylor,"['bitcoin', 'hodl']",['mstr'],8462,40422,3334,BTC,microstrategy has purchased an additional 5050 bitcoins for ~ million in cash at an average price of ~ per  as of 91221 we  ~114042 bitcoins acquired for ~ billion at an average price of ~ per bitcoin,18567.5
2021-09-30 17:31:27 UTC,The United States has no intention to ban #Bitcoin.   https://t.co/JG3JAgi1OP,saylor,['bitcoin'],[],8562,35070,1442,BTC,the united states has no intention to ban,17329.5
2021-09-16 13:03:18 UTC,📣 We’re stepping up our game:  https://t.co/vCNztABJoG and  have inked a multi-year partnership!  🥇 First Global Cryptocurrency Partner 👾 New digital products including NFTs 👕  https://t.co/vCNztABJoG branded team jerseys 🎮 Exclusive rewards for Fnatic fans  https://t.co/9XRU26WAfd,cryptocom,[],[],6222,43697,1339,CRO,were stepping up our game and have inked a multiyear partnership first global cryptocurrency partner new digital products including nfts branded team jerseys exclusive rewards for fnatic fans,17146.25
2021-09-24 13:08:42 UTC,Nothing has created more wealth in the past decade than technologies banned in China. #Bitcoin,saylor,['bitcoin'],[],6167,33213,1236,BTC,nothing has created more wealth in the past decade than technologies banned in china,14470.25
2021-09-12 06:20:11 UTC,Tomorrow is the big day! We are entering a new Era of Cardano.,iohk_charles,[],[],5690,33949,1475,ADA,tomorrow is the big day we are entering a new era of cardano,14177.25
2021-09-23 17:50:17 UTC,#Bitcoin on #Lightning⚡️ is the future of global payments.   https://t.co/9RONDBnVXQ,saylor,"['bitcoin', 'lightning']",[],6555,27082,1286,BTC,on  is the future of global payments,13325.5
2021-10-11 09:55:00 UTC,We're celebrating the launch of our latest derivatives trading pair: BITUSDT!  🤑 Earn 10 USDT Bonus by completing the tasks below:  1️⃣ Follow Bybit on Twitter 2️⃣ RT this tweet &amp; tag 3 friends 3️⃣ Fill in the form below with your #Bybit UID!  https://t.co/gZ5aJnMzT8,bybit_official,['bybit'],[],10234,4829,8620,USDT,we're celebrating the launch of our latest derivatives trading pair bitusdt earn 10 usdt bonus by completing the tasks below 1 follow bybit on twitter 2 rt this tweet &amp; tag 3 friends 3 fill in the form below with your  uid,11441.25
2021-11-17 05:22:02 UTC,"We're extremely proud to announce that Staples Center, Los Angeles' most iconic arena is getting a new name:                      https://t.co/vCNztATkNg Arena  As part of this 20 year partnership, we're also excited to welcome the  &amp;  as our newest partners!  https://t.co/KCfYKySDRt",cryptocom,[],[],6055,21148,1927,CRO,we're extremely proud to announce that staples center los angeles' most iconic arena is getting a new name arena as part of this 20 year partnership we're also excited to welcome the &amp; as our newest partners,11342.0
