created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 18:54:21 UTC,She’s gonna blow. #Cardano $ADA  https://t.co/PuLBbQEz5o,cardanodan,['cardano'],['ada'],49,538,41
2021-11-30 12:38:13 UTC,#Cardano $ADA liftoff near? Close to breaking out of channel and purple fractal from prior bottom pattern.  https://t.co/48aluKYD8z,cardanodan,['cardano'],['ada'],47,496,44
2021-11-29 12:28:02 UTC,"""Kind of Disease"" - the 158th edition of my #Cardano newsletter just went out to subscribers!  Nice $ADA bounce yesterday! I discuss what happened.  Subscribe today! 👇  https://t.co/L4PquaB24q",cardanodan,['cardano'],['ada'],3,36,1
2021-11-29 03:02:49 UTC,Haven't done a poll in a long time...  Which will #Cardano $ADA see first?,cardanodan,['cardano'],['ada'],12,75,17
2021-11-29 00:03:22 UTC,Today's #Cardano $ADA daily candle was a great end to a crappy week of price action.  I have a feeling the beginning of this week could be a great end to a crappy month of price action too.  https://t.co/PawCkdbMEG,cardanodan,['cardano'],['ada'],32,335,18
2021-11-28 22:11:25 UTC,The last time #Cardano $ADA made a 100% move in 14 days it was from this level.  https://t.co/Ra3iv4U8iF,cardanodan,['cardano'],['ada'],96,858,61
2021-11-28 21:42:20 UTC,#Cardano $ADA is up 10% in 3 hours and we've just getting started.,cardanodan,['cardano'],['ada'],12,129,8
2021-11-28 21:39:51 UTC,I mean it. You mean it. We all mean it. Send it. #Cardano $ADA,cardanodan,['cardano'],['ada'],10,194,4
2021-11-28 15:25:07 UTC,$1.50 #Cardano $ADA is what I thought it was.  https://t.co/XpntjMTDUN,cardanodan,['cardano'],['ada'],2,57,4
2021-11-28 15:21:52 UTC,Dude is clueless. Unfortunately there are a bunch of even more clueless folks listening to him.,cardanodan,[],[],0,26,1
2021-11-28 14:15:29 UTC,"🚨 #Cardano #NFT Giveaway! 🚨  Trybbles Series One final drop is live!  https://t.co/oz8Q9aXTmb   To enter giveaway, do all 3: ✅ Follow  ✅ Follow me ✅ Retweet  Winner gets the ""Angry"" Trybble below. Looks like a lot of #crypto investors right now...  https://t.co/Kc2ZrTFZVZ",cardanodan,"['cardano', 'nft', 'crypto']",[],206,173,63
2021-11-28 01:47:16 UTC,I'm crazy calm considering #crypto markets and #Cardano $ADA price action. Total confidence we're still in a bull market.,cardanodan,"['crypto', 'cardano']",['ada'],40,615,39
2021-11-27 20:32:22 UTC,The #Cardano $ADA no fun November channel.  https://t.co/RvcHGQJlkI,cardanodan,['cardano'],['ada'],19,343,43
