created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 23:13:46 UTC,"Ever think about all the altcoins that are getting ready to take off on the Cardano blockchain?  Yea, me too!  Here is a part 2 type of video from my $ADA video the other day.   https://t.co/bffpN7Cdeh",cryptorecruitr,[],['ada'],41,446,37
2021-11-28 21:46:59 UTC,I sat down to discuss the state of Cardano and where $ADA is right now. Thanks for your patience as it’s a little bit of a change of scenery. 🌴   https://t.co/k9bljkrjfZ,cryptorecruitr,[],['ada'],55,710,48
2021-11-28 18:58:15 UTC,"We’re going through a huge move, have been traveling a lot, and running the recruiting firm. If I had time, I’d probably be covering a lot more Bitcoin. But since I need to prioritize which crypto I choose to cover, Cardano wins that race for me.  $ADA",cryptorecruitr,[],['ada'],85,1492,87
2021-11-28 10:42:57 UTC,"Cardano is approaching oversold on the weekly at levels it was at in the bear market low of 2018. Only this time, instead of .02, $ADA is $1.50, after a 50% dip!  It’s crazy to me that some are choosing now to become bearish on $ADA.  https://t.co/h0Y2EEj0BB",cryptorecruitr,[],"['ada', 'ada']",172,1784,156
2021-11-28 10:30:06 UTC,"-50% dips are the most consistent and normal things that I’ve come to know over my years in crypto. By no means does it signify failure. However, it does scream opportunity…for those who are listening.  $ADA",cryptorecruitr,[],['ada'],143,1946,108
2021-11-27 18:04:26 UTC,"“Opportunities are like sunrises. If you wait too long, you miss them.”  #Bitcoin $ADA",cryptorecruitr,['bitcoin'],['ada'],102,1019,74
2021-11-27 01:33:44 UTC,"With downside targets still in play for $ADA, here is what I think is the best approach to Cardano right now.   https://t.co/osk0OlgWJz",cryptorecruitr,[],['ada'],33,429,56
2021-11-26 16:42:00 UTC,"For well over a month, I’ve been talking about the $1.30 - $1.40 range target for $ADA.  We’ve been very prepared for this entire Cardano move.  https://t.co/Nclthjj9PD",cryptorecruitr,[],['ada'],51,758,120
2021-11-26 15:25:21 UTC,"I did crypto videos almost every day into the 2018 bear market, all the way to the bottom. Having an accumulation plan on a daily basis was life changing.  I’m not saying we have entered a bear market, but for me, with $ADA officially down -50%, a powerful opportunity has begun.",cryptorecruitr,[],['ada'],88,1570,108
2021-11-25 15:21:01 UTC,I’m kind of surprised World Mobile isn’t getting more attention. Are you watching $WMT?     $ADA,cryptorecruitr,[],"['wmt', 'ada']",100,973,122
2021-11-25 13:08:48 UTC,"So many people in my comments argue that Cardano is a bad investment basically because $ADA is sideways &amp; down for a couple of months  That’s the most unwise, uneducated, &amp; inexperienced approach to crypto  I feel bad that these people don’t understand the concept of opportunity",cryptorecruitr,[],['ada'],239,2681,342
2021-11-24 21:53:02 UTC,"Actually, it’s the investment in Cardano which is the most compelling thing to me. I think what you are talking about when you say “money talks” is short term money. I’m not interested in that game my friend. Most lose there. Cardano is down, but still an outperformer on macro.",cryptorecruitr,[],[],1,36,2
2021-11-24 16:28:28 UTC,“Nothing ever motivated me more than people trying to fight or sabotage me”  I couldn’t agree with this more my friend! I’ve always been the same way.,cryptorecruitr,[],[],4,135,7
2021-11-24 15:34:35 UTC,"Going live in around 5 minutes to talk about Cardano, this $ADA dip, and facts surrounding it all   https://t.co/cjFWHdt73i",cryptorecruitr,[],['ada'],35,545,55
2021-11-24 15:03:34 UTC,Here is one piece of Cardano data to pay attention to. For 2021:  Bitcoin is up 94% Ethereum is up 476% Cardano is up 827%  It's not that there is actually something wrong with $ADA. It's just that data and facts are mostly ignored when it comes to Cardano.,cryptorecruitr,[],['ada'],373,2631,241
2021-11-24 02:50:49 UTC,"Some people are talking about selling their $ADA, and I am sitting here finally thinking about heavily accumulating for the first time in a long time 😆",cryptorecruitr,[],['ada'],242,3044,362
2021-11-23 23:28:57 UTC,"It's easy for me to make bold statements like ""Cardano is the greatest opportunity in crypto"", and this $ADA video breaks down why! I enjoyed making this video because I evaluated market sentiment data surrounding Cardano, and it is bullish.   https://t.co/tjtv4Exo4y",cryptorecruitr,[],['ada'],73,732,49
2021-11-23 21:54:02 UTC,"Let me get this straight. Cardano just got listed on a major crypto exchange (Bitstamp) that does $513B in volume a day, but all I am seeing is negative news about Cardano getting delisted from a small exchange (etoro) that only does $67B.  Follow the data.  $ADA",cryptorecruitr,[],['ada'],855,5550,464
2021-11-23 21:38:15 UTC,That would be epic...though I am not sure he'd make an appearance. 👀,cryptorecruitr,[],[],0,43,2
2021-11-23 21:16:30 UTC,I want to begin having Cardano related content creators on the channel to talk about Cardano and related projects.  Tag your favorite people below.  $ADA,cryptorecruitr,[],['ada'],85,1183,295
2021-11-23 19:45:48 UTC,Cardano fud lately feeling a lot like Bitcoin fud. Bullish.  $ADA,cryptorecruitr,[],['ada'],232,2879,204
2021-11-23 19:28:57 UTC,"First off, I simply tweet about my interests, which happen to be the Cardano ecosystem. And secondly, I suggest you look up the definition of ‘shiller’.",cryptorecruitr,[],[],0,5,2
2021-11-23 01:20:11 UTC,Now is not a good time to waste time being frustrated with Cardano price  $ADA   https://t.co/WvBPYBzmkQ,cryptorecruitr,[],['ada'],30,517,62
2021-11-22 23:30:17 UTC,Yes I did. 😂,cryptorecruitr,[],[],1,64,3
2021-11-22 23:15:34 UTC,"I discuss ADA downside targets all the time. I always explain the huge dips we should prepare for on the way up. For example, the current target at $1.30 - $1.40 range I have been discussing for like a month. Can we include that context here into your comment?",cryptorecruitr,[],[],0,1,1
2021-11-22 22:42:02 UTC,$ADA will hit a $1 trillion market cap one day in the not too distant future. Now do the math to figure out how undervalued Cardano is right now.,cryptorecruitr,[],['ada'],252,2374,240
2021-11-22 01:11:34 UTC,Think long term and you will win  #Bitcoin $ADA,cryptorecruitr,['bitcoin'],['ada'],146,1825,144
2021-11-21 15:50:20 UTC,"We are still traveling, but here is another video on an up and coming Cardano project some are familiar with, but many are not talking about.  (This video is NOT sponsored)  $ADA   https://t.co/2fNS8PpsLo",cryptorecruitr,[],['ada'],40,361,36
