username,id,language,retweets_count,tweet,hashtags,replies_count,cashtags,name,likes_count,created_at
inputoutputhk,1465778264723447810,en,45,"Follow us on Instagram for exclusive content. Meet members of Input Output senior leadership, look back at the Cardano 2021 Summit, and more you won't want to miss over the coming months. Our handle is @ iohkofficial.  https://t.co/z5fhB5fKBV",[],5,[],Input Output,223,2021-11-30 20:22:25 UTC
inputoutputhk,1465765092608385024,en,44,"ICYMI: Every last Thursday of the month, @timbharrison and team bring you the latest view across the #Cardano universe with #Cardano360. Catch the latest November edition with the freshest news &amp; feature content from the growing ecosystem👇    https://t.co/5Ynv6L2Pet","['cardano', 'cardano360']",2,[],Input Output,240,2021-11-30 19:30:05 UTC
inputoutputhk,1465753754666418176,en,122,"ICYMI: After a successful start to #Cardano’s #smartcontract era, this week we’ll see the first in a program of network adjustments to help support future growth in traffic.   $ADA  https://t.co/peiqfeOe9a","['cardano', 'smartcontract']",17,['ada'],Input Output,637,2021-11-30 18:45:02 UTC
inputoutputhk,1465695871299829767,en,105,ICYMI: #Defi will drive demand on #Cardano. Read how our research team is looking at mechanisms to offer fair fees and provide throughput for every user as we grow 📖    https://t.co/9v3T3VaZwH,"['defi', 'cardano']",16,[],Input Output,500,2021-11-30 14:55:01 UTC
inputoutputhk,1464881248489377797,en,45,"🛠️ Are you #BuildingOnCardano?  🤔 Got a technical question?  👀 Looking for answers to support development?  👉 Sign up to #Cardano Stack Exchange (it only takes a minute!), bring your questions and the community will answer!   https://t.co/UsI2iCxK7M","['buildingoncardano', 'cardano']",11,[],Input Output,288,2021-11-28 08:58:00 UTC
inputoutputhk,1464361921872900105,en,232,"NEW BLOG: Here, research fellow Philip Lazos explores a tiered #Cardano pricing model that extends &amp; clarifies the multiplier concept introduced in the stablefees idea. The result? Predictable &amp; low fees that manage demand while remaining fair.   https://t.co/9v3T3VsAVh",['cardano'],46,[],Input Output,1097,2021-11-26 22:34:23 UTC
inputoutputhk,1464326857487179778,en,81,"Every Friday, we publish our weekly #Cardano development update. So for the lowdown on what IOG's dev team has been working on last week, head on over and take a look👇  https://t.co/ozTRBaAP2w  https://t.co/OowFGnjN7u",['cardano'],19,[],Input Output,431,2021-11-26 20:15:03 UTC
inputoutputhk,1464246326942748676,en,70,"LISTEN UP: You can now catch up with the latest #Cardano development updates on the go with #Cardano360 on @Spotify 🎧   Find an audio version of the very latest edition of our monthly show for your listening pleasure &amp; be sure to follow, like &amp; share!  https://t.co/eRGfW0B5Pm","['cardano', 'cardano360']",9,[],Input Output,317,2021-11-26 14:55:03 UTC
inputoutputhk,1463979218937819136,en,169,"NEW BLOG: #DeFi has shown how to disrupt financial ‘legacy’ systems and establish an new paradigm. Now it's time to close the divide between people who can easily access financial products, and those who cannot. Welcome to #RealFi #Cardano $ADA   https://t.co/3JiPnsCh08","['defi', 'realfi', 'cardano']",25,['ada'],Input Output,748,2021-11-25 21:13:39 UTC
inputoutputhk,1463939963813302282,en,34,LIVE NOW: @JoshuaLMiller87 &amp; @BondlyFinance in a discussion on cross-chain #Ethereum to #Cardano #NFT bridge.   Join here:  https://t.co/5Ynv6L2Pet #Cardano360  https://t.co/Zlggm2E8AK,"['ethereum', 'cardano', 'nft', 'cardano360']",8,[],Input Output,168,2021-11-25 18:37:40 UTC
inputoutputhk,1463929688162807814,en,42,"#ProjectCatalyst, #Cardano’s community-driven innovation engine continues to grow &amp; evolve as we enter a new funding round. Hear the latest update from the man leading the way to Cardano decentralized governance, Dor Garbash👇    https://t.co/5Ynv6L2Pet #Cardano360  https://t.co/qZTLGagN76","['projectcatalyst', 'cardano', 'cardano360']",4,[],Input Output,254,2021-11-25 17:56:50 UTC
inputoutputhk,1463927048674717699,en,95,We’re busy testing the $AGIX ERC-20 converter and making good progress. @JanetAdamsAI from @singularity_net dropped by for a chat.   Live now on our Youtube channel ⬇️  https://t.co/b6aSxfZ7qc   #Cardano360 #Cardano $ADA  https://t.co/LlJJKknoDw,"['cardano360', 'cardano']",16,"['agix', 'ada']",Input Output,471,2021-11-25 17:46:21 UTC
inputoutputhk,1463924006789259269,en,118,LIVE NOW: We recently released a second version of the PAB.   Join to hear the latest from Nigel Hemsley :  https://t.co/5Ynv6L2Pet    #Cardano360 #Cardano #SmartContracts  https://t.co/OhtMTzDg6z,"['cardano360', 'cardano', 'smartcontracts']",14,[],Input Output,498,2021-11-25 17:34:16 UTC
inputoutputhk,1463885387072483331,en,54,"IOHK &amp; @CardanoStiftung will never ask you for money, your password or your passphrase. We do not conduct giveaways.⛔  When you come across a suspicious account or a website, report it to Cardano Fraud Detection Bureau &amp; help the community stay safe!  🙏   https://t.co/x7mez4o1MM",[],3,[],Input Output,288,2021-11-25 15:00:48 UTC
inputoutputhk,1463841720580419584,en,57,"Essential Cardano, the @github ecosystem repo for all things #Cardano continues to grow🌱    https://t.co/Rb7KWkimft",['cardano'],8,[],Input Output,333,2021-11-25 12:07:17 UTC
inputoutputhk,1463797155055996928,en,95,Join us later today for the brand new edition of our monthly #Cardano360 show with all the freshest updates from the #Cardano universe 🌍   Subscribe to our Youtube to be alerted! 🔔   https://t.co/b6aSxfZ7qc  https://t.co/eXiLcPAj4T,"['cardano360', 'cardano']",16,[],Input Output,474,2021-11-25 09:10:12 UTC
inputoutputhk,1463538834638057475,en,58,"#ProjectCatalyst Fund7 idea submission phase ends in less than 24h!  If you have an idea that will help #Cardano ecosystem to expand, head over to  https://t.co/v1hNl9B2Ix &amp; submit your proposal draft. The deadline for submission is Nov 25, 11 AM UTC  Let's get #BuildingOnCardano!  https://t.co/Xqq17qUhia","['projectcatalyst', 'cardano', 'buildingoncardano']",18,[],Input Output,322,2021-11-24 16:03:44 UTC
inputoutputhk,1463515270287433731,en,80,"Mid-week repo update: #Cardano code forges continue to burn bright with 2,774 GitHub commits this week &amp; counting... 💪   To follow the latest code commits, bookmark the excellent  https://t.co/Tj4Ebgc65u   #Cardano $ADA  https://t.co/lHfwUQUfZI","['cardano', 'cardano']",25,['ada'],Input Output,574,2021-11-24 14:30:05 UTC
inputoutputhk,1462885972438405121,en,524,"NEW BLOG: Cardano is architected with a highly-decentralized, secure network layer. And a parameterized approach that, step by step, will steadily scale to support a global user base of millions.  Today, we're starting that process... #Cardano  Read more:  https://t.co/Aq9mU27kB6",['cardano'],103,[],Input Output,2057,2021-11-22 20:49:29 UTC
inputoutputhk,1462344533581119490,en,60,"🛠️ Are you #BuildingOnCardano?  🤔 Got a technical question?  👀 Looking for answers to support development?  👉 Sign up to #Cardano Stack Exchange (it only takes a minute!), bring your questions and the community will answer!   https://t.co/UsI2iCxK7M","['buildingoncardano', 'cardano']",10,[],Input Output,299,2021-11-21 08:58:00 UTC
inputoutputhk,1461786492913733643,en,68,"Every Friday, we publish our weekly #Cardano development update. So for the lowdown on what IOG's dev team has been working on last week, head on over and take a look👇  https://t.co/j3lhfdLqHO  https://t.co/w2ffgdBqdm",['cardano'],12,[],Input Output,428,2021-11-19 20:00:33 UTC
inputoutputhk,1461412708369240071,en,20,⚠️ Please remember: #Daedalus is a full-node wallet for desktop ONLY. If you see a 'mobile Daedalus' – and these do appear on Android from time to time – it will be a scam trying to steal your seed phrase and your $ADA!,['daedalus'],1,['ada'],Input Output,123,2021-11-18 19:15:16 UTC
inputoutputhk,1461412700651728896,en,158,"OUT NOW: #Daedalus 4.5.0   Daedalus 4.5.0 for the #Cardano mainnet has an improved voting screen layout, which now includes continuous registration for #ProjectCatalyst and footer links. The update also adds a pool over-saturation warning.  https://t.co/HKrvm28lG8","['daedalus', 'cardano', 'projectcatalyst']",76,[],Input Output,888,2021-11-18 19:15:14 UTC
inputoutputhk,1461367363564101632,en,59,"ICYMI: Architecting #DApps on the EUTXO ledger  Following up on our recent blog post about #Cardano’s performance and ledger optimization roadmap, we prepared a deeper technical dive into the architecture of the EUTXO ledger ⤵️   https://t.co/RkKwlmJQtz","['dapps', 'cardano']",8,[],Input Output,295,2021-11-18 16:15:05 UTC
inputoutputhk,1461348587590217730,en,34,"IOHK &amp; @CardanoStiftung will never ask you for money, your password or your passphrase. We do not conduct giveaways.⛔  When you come across a suspicious account or a website, report it to Cardano Fraud Detection Bureau &amp; help the community stay safe!  🙏   https://t.co/x7mez4FCEk",[],5,[],Input Output,227,2021-11-18 15:00:28 UTC
inputoutputhk,1461304438312902657,en,95,"#ProjectCatalyst Fund7 idea submission is now open!  Head over to  https://t.co/s8Eg2aSwfc, browse suggested challenges &amp; submit your idea for a chance to get a slice 🍕 of $8M worth of $ADA!  Let's get #BuildingOnCardano! 💪   #Cardano  https://t.co/tjCV4gHtXX","['projectcatalyst', 'buildingoncardano', 'cardano']",18,['ada'],Input Output,408,2021-11-18 12:05:02 UTC
