created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 11:00:16 UTC,"Not a grift till I make some money, send me some ADA and you can be my first victim",ladyofcrypto1,[],[],0,1,0
2021-11-29 12:30:18 UTC,"A joke is not FUD.  Fear Uncertainty Doubt  Where is ""humor"" in that?  From when I had no followers I said I own Cardano but I made jokes about it because I like making jokes. I also joke about ETH, is that FUD.",ladyofcrypto1,[],[],0,2,4
2021-11-29 08:17:39 UTC,I am not going to influence the price of ADA. I have been making these jokes since my account had 2k followers.,ladyofcrypto1,[],[],0,8,4
2021-11-29 07:15:53 UTC,Only thing that would make $ADA exciting for me is 100x leverage.  NFA DYOR,ladyofcrypto1,[],['ada'],13,454,63
2021-11-28 23:46:21 UTC,"I make fun of $ADA a lot but if $BTC doesn't nuke again, I see ADA back near 2.50 soon, I think it can move from this level.  Not financial advice, do your own research.",ladyofcrypto1,[],"['ada', 'btc']",52,988,105
2021-11-26 08:59:52 UTC,BLACK FRIDAY DEALS  $BTC prices slashed 20% $ETH prices slashed 20% $ADA prices slashed 30%,ladyofcrypto1,[],"['btc', 'eth', 'ada']",182,1824,138
2021-11-25 17:24:52 UTC,"I've been in crypto for 2 years as a boring BTC, ADA, LTC, etc HODLr. I decided to throw 4 figures into #gamefi this year and here we are.  The $1 mil doesn't even include my sidelined stable or NFTs. It's just my floating, which is 62%. I made it, I am in my 20s.",ladyofcrypto1,['gamefi'],[],103,3186,196
2021-11-25 17:24:52 UTC,"This year I started with $6557, today I hit $1 mil 🥳🥳  I didn't do it with $BTC, $ETH, $SHIB, $ADA. I bought:  $ILV $34 $BLOK $0.00025 $SAND $0.06 $MANA $0.23 $AXS $1.22 $SOL $14.20  I am sharing my next 50x #PlayToEarn gem tonight. Never too late to make it in #crypto.",ladyofcrypto1,"['playtoearn', 'crypto']","['btc', 'eth', 'shib', 'ada', 'ilv', 'blok', 'sand', 'mana', 'axs', 'sol']",2604,25463,2898
2021-11-25 06:14:01 UTC,"BREAKING NEWS: $ADA suing Elon Musk over ""The Boring Company"" name. #Cardano claims that it is the original boring company.",ladyofcrypto1,['cardano'],['ada'],72,1336,110
2021-11-25 06:07:53 UTC,Didn't they announce a partnership recently? I guess partnering with ADA is a death blow for anyone.,ladyofcrypto1,[],[],0,28,11
2021-11-24 12:46:39 UTC,"Good, onle one ADA buyer out of four",ladyofcrypto1,[],[],0,3,0
2021-11-24 12:21:32 UTC,My mate just said he is doing a DCA into $ADA. What a cuck.,ladyofcrypto1,[],['ada'],8,184,44
2021-11-24 07:03:39 UTC,What? ADA is dow today.,ladyofcrypto1,[],[],0,3,3
2021-11-24 00:38:23 UTC,🤣 I was talking about something else but yeah ADA will be soon,ladyofcrypto1,[],[],0,0,1
2021-11-23 22:27:45 UTC,Bull market returning to normal  $BTC up  $ETH up  $BNB up  $SOL up  $DOT up  $ADA down  Everything is as it should be.,ladyofcrypto1,[],"['btc', 'eth', 'bnb', 'sol', 'dot', 'ada']",156,2831,352
2021-11-23 17:25:59 UTC,As long as it doesn't go downhill as fast as ADA.,ladyofcrypto1,[],[],0,10,3
2021-11-23 14:13:48 UTC,In crypto  The lower class buy #memecoins The middle class buy #defi The upper class buy $ADA  The upper class get rekt.,ladyofcrypto1,"['memecoins', 'defi']",['ada'],1,62,14
2021-11-23 09:48:54 UTC,"Wait what?  I knew about the ADA stuff, but am I really a gaming crypto influencer on Lunar?",ladyofcrypto1,[],[],0,1,1
2021-11-23 09:29:03 UTC,ADA is okay but its not something you want to be all in on,ladyofcrypto1,[],[],0,1,0
2021-11-22 21:24:48 UTC,"ADA is angry BTC is about to make a monthly low before it does. Charles is on it though, he will tank price to make ADA holders happy.",ladyofcrypto1,[],[],0,5,2
2021-11-22 12:29:24 UTC,"5/ Looking at $ADA as an example. The 3.00 was a major psychological barrier. When ADA was approaching it, most people expected a pullback from 3. So, they set orders are that level.  https://t.co/qw0HmKJB4i",ladyofcrypto1,[],['ada'],0,40,1
2021-11-22 08:11:07 UTC,Only choice. I tried to pay with ADA but nobody accepts it. They said no meme coins 🤷‍♀️,ladyofcrypto1,[],[],1,13,4
2021-11-21 19:44:13 UTC,I troll the ETH folks too and I hold a lot of both of those coins. Its fun.,ladyofcrypto1,[],[],0,1,0
