created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-29 20:03:16 UTC,$ALGO  1W - you take a look at this chart. This is called an opportunity  https://t.co/39TZYESnNn,0xd0n,[],['algo'],13,147,12
2021-11-29 17:46:13 UTC,https://t.co/hW40o8iULD  $ALGO - i hold  https://t.co/T0nGK4yWqp,0xd0n,[],['algo'],2,48,4
2021-11-28 05:11:02 UTC,Added more spot $ALGO,0xd0n,[],['algo'],0,62,1
2021-11-26 18:54:10 UTC,I Love chart $ALGO  https://t.co/uTHjLVcB6k,0xd0n,[],['algo'],0,10,1
2021-11-25 13:25:27 UTC,"$BTC, $VET, $DOT, $ALGO, $ATOM = I am the best coins I have ever traded",0xd0n,[],"['btc', 'vet', 'dot', 'algo', 'atom']",12,302,31
2021-11-25 11:22:52 UTC,I Longed $ALGO I will increase my position by dip,0xd0n,[],['algo'],4,115,13
2021-11-18 07:14:26 UTC,$ALGO - Full closed Profit: 70%,0xd0n,[],['algo'],1,94,13
2021-11-16 10:22:05 UTC,"https://t.co/VUYlvRlx46  I have this song turned on and buy a dip $ALGO, $ALPHA, $SUSHI, $BTC, $CAKE",0xd0n,[],"['algo', 'alpha', 'sushi', 'btc', 'cake']",1,90,11
2021-11-16 08:38:35 UTC,$ALGO - perfect stop  https://t.co/s9NdgfU41c,0xd0n,[],['algo'],2,84,5
2021-11-12 17:13:39 UTC,"Buy the dip. $ALGO, $BAND, $VET, $ALPHA, #1INCH",0xd0n,['1inch'],"['algo', 'band', 'vet', 'alpha']",23,334,29
2021-11-12 16:09:54 UTC,My $ALGO bags  https://t.co/s3YbeHxlBV,0xd0n,[],['algo'],2,111,19
2021-11-12 11:16:10 UTC,"$ALPHA, $ALGO - very strong",0xd0n,[],"['alpha', 'algo']",4,123,13
2021-11-11 11:51:34 UTC,$ALGO/BTC - I Like  https://t.co/rJtmmSYJe9,0xd0n,[],['algo'],5,64,5
2021-11-11 09:24:10 UTC,"$ALGO - accumulation, soon mega pump  https://t.co/OOq5qPxBQQ",0xd0n,[],['algo'],9,107,2
2021-11-10 13:36:40 UTC,"my bags $XRP, $LINK, $ALGO 🚀🚀",0xd0n,[],"['xrp', 'link', 'algo']",20,387,32
2021-11-05 13:11:31 UTC,$ALGO - Next Prepare for strong movement  https://t.co/GCcJmssAYp,0xd0n,[],['algo'],15,133,12
2021-11-04 13:02:02 UTC,$ALGO - Soon  https://t.co/SIxLqsCT8U,0xd0n,[],['algo'],10,120,10
2021-11-04 11:25:48 UTC,$ALGO - Whoever keeps this coin in this range with all her might. Everything will change soon  https://t.co/88AgifnhbW,0xd0n,[],['algo'],6,112,12
2021-11-02 19:20:20 UTC,$ALGO - She's tightly locked in one range  https://t.co/vYMSGbhMYB,0xd0n,[],['algo'],5,105,5
2021-10-31 18:53:50 UTC,$ALGO - Added more spot $300k  https://t.co/A0Yi3bNSwu,0xd0n,[],['algo'],23,171,8
2021-10-27 15:38:24 UTC,$VET = Porno chart $RUNE - Soon ATH $ALGO - Everything in the consolidation zone,0xd0n,[],"['vet', 'rune', 'algo']",2,95,5
2021-10-27 09:37:12 UTC,Added more spot $HT (400k) 🤝 Added more spot $ALGO (200k) Added more spot $SUSHI ($150k),0xd0n,[],"['ht', 'algo', 'sushi']",10,281,26
2021-10-25 12:16:45 UTC,"My bags: $ALGO, $CRV, $GRT, $LINK 🚀🚀🚀🚀  Nice day ♥️",0xd0n,[],"['algo', 'crv', 'grt', 'link']",21,563,40
2021-10-22 16:50:34 UTC,https://t.co/gQZTy2CTUc  $ALGO - Bullish Nice test 👀  https://t.co/2tmI45V8NX,0xd0n,[],['algo'],3,88,6
2021-10-22 06:02:01 UTC,https://t.co/gQZTy2CTUc  $ALGO - i like chart  https://t.co/O50ITVNx48,0xd0n,[],['algo'],9,136,9
2021-10-20 19:56:09 UTC,$ALGO - flip 1.89 and boom to $2.3  https://t.co/nawzk77ddr,0xd0n,[],['algo'],17,180,10
2021-10-17 09:18:09 UTC,Added more spot. $ALGO ($100k) $SXP ($100k) $UTK ($50k,0xd0n,[],"['algo', 'sxp', 'utk']",5,165,17
2021-10-16 15:32:03 UTC,Added more spot $ALGO (250k) Added more spot $UTK (50k),0xd0n,[],"['algo', 'utk']",4,132,12
