created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 20:52:35 UTC,We welcome  to the  Ecosystem as our latest grant recipient! We look forward to our partnership which will strengthen the Algorand ecosystem based on the shared goal to advance financial access for everyone! #GreenCrypto #ShapeTheFuture #DeFi  https://t.co/OmcUTULc84,algofoundation,"['greencrypto', 'shapethefuture', 'defi']",[],33,165,1
2021-11-30 17:58:37 UTC,"Join our very own  and the #Algofam for a #NFT &amp; Chill discussion on the #Algorand Discord channel tomorrow! , .  &amp;  have all recently joined the  Ecosystem as grant recipients! #GreenCrypto",algofoundation,"['algofam', 'nft', 'algorand', 'greencrypto']",[],17,96,1
2021-11-30 17:47:06 UTC,We're very excited to share  today announces the launch of its $500M Borderless ALGO Fund II. This new Fund will be investing in digital assets powering the next gen of #Dapps on ! #DeFi #NFTs #GreenCrypto #ShapeTheFuture  👉 https://t.co/sLCTaPo0Kt  https://t.co/VgJsKSEENX,algofoundation,"['dapps', 'defi', 'nfts', 'greencrypto', 'shapethefuture']",[],188,590,22
2021-11-30 14:50:50 UTC,"We welcome  to the  ecosystem. Mintdropz has been awarded a grant to build an ecosystem &amp; community for NFT’s on Algorand, enabling people to easily launch &amp; incubate #NFT projects with no coding required.#GreenCrypto #ShapeTheFuture  👉 https://t.co/GwfyjAwzot  https://t.co/nZjIRC9ZQr",algofoundation,"['nft', 'greencrypto', 'shapethefuture']",[],36,176,7
2021-11-30 12:07:36 UTC,#Algorand is now a part of a featured module at the 's certificate of advanced studies (CAS) on blockchain &amp; distributed ledger technologies!  Module 4 starts on Dec 3rd and is available remotely. Register at👉 https://t.co/Fz5UOsKZGt #GreenCrypto #ShapeTheFuture,algofoundation,"['algorand', 'greencrypto', 'shapethefuture']",[],22,118,2
2021-11-29 16:07:26 UTC,Join our CEO  online for 's Scaleup Impact Summit 4.0 on Dec 1st as he discusses  &amp; #Blockchain for Good!  #ESG #GreenCrypto #ShapeTheFuture  Complimentary Online Tickets available at 👉  https://t.co/Nxnbq4Fq5n  https://t.co/8p4YkV28FU,algofoundation,"['blockchain', 'esg', 'greencrypto', 'shapethefuture']",[],8,81,1
2021-11-29 14:55:38 UTC,"We're excited to announce a grant award for , supporting their journey in bringing decentralised donating to the  Ecosystem. Donors are awarded with limited edition #CharityNFTs that can be exchanged &amp; even rented on their Marketplace.  👉 https://t.co/lUWD50L31C  https://t.co/Fm3mEIGk37",algofoundation,['charitynfts'],[],31,160,1
2021-11-29 14:42:08 UTC,"Join today's kick-off event of the #ALGORAND HACK LATAM 21 in partnership with !   Challenges 👉 Development of a wallet, #NFT projects &amp; Asset Management system  Hack runs 29/11 to 19/12 with $5k prizes  Join at 8pm GMT for full details 👉  https://t.co/d9moD4eLaM  https://t.co/PKACogedKr",algofoundation,"['algorand', 'nft']",[],16,74,0
2021-11-29 13:08:10 UTC,Join us on Dec 6th for our last Community All-Hands of 2021 as we are joined by a selection of #Algorand Community members from the APAC region to share their journey with  in 2021. #GreenCrypto  👉 https://t.co/EqrNoUNE6y  https://t.co/aPyp7xdIFN,algofoundation,"['algorand', 'greencrypto']",[],13,91,2
2021-11-29 11:53:14 UTC,"A very informative interview with  and  on why  is paving the road to creating a more efficient, transparent, &amp; secure way to trade gold on #blockchain! #ShapeTheFuture #GreenCrypto #Algorand",algofoundation,"['blockchain', 'shapethefuture', 'greencrypto', 'algorand']",[],16,89,1
2021-11-29 10:18:38 UTC,"represents the first, on-chain, options trading platform for the $Algo. At over $10 million USD, its the largest, alt-coin options vault on  . The expansion of $Algo #DeFi continues.",algofoundation,['defi'],"['algo', 'algo']",1,4,0
2021-11-29 09:32:57 UTC,"We're excited to share we are pioneering #DeFi 2.0 with Algo Option Vaults on , providing a new scalable source of alpha, where investment, collateral management &amp; settlement are carried out on-chain while risk &amp; leverage is managed off-chain.  👉 https://t.co/6UB7WigyAX  https://t.co/ZcS1VT1pQ5",algofoundation,['defi'],[],58,328,11
2021-11-29 08:54:15 UTC,Reminding our community we do not engage in giveaways or send to receive Algo offers. Please be diligent &amp; do not engage with any scams purporting to offer Algo rewards. Governance rewards will only be available to claim by eligible Governors after the Governance period ends!  https://t.co/2wu6MqTZcR,algofoundation,[],[],32,172,2
2021-11-26 09:19:12 UTC,"Join us on December 6th for our last Community All-Hands of 2021!  For this session, we have invited a selection of #Algorand Community members from the APAC region to share their journey with  in 2021.  Save Your Seat 👉 https://t.co/EqrNoUNE6y  https://t.co/cD42WfZN8h",algofoundation,['algorand'],[],30,148,2
2021-11-25 14:41:46 UTC,"Our CEO Sean Lee's latest #ShapeTheFuture series interview features  of Meld Ventures. A very informative discussion well worth watching on , , #Algorand and the next gen of #blockchain infrastructure! #GreenCrypto",algofoundation,"['shapethefuture', 'algorand', 'blockchain', 'greencrypto']",[],19,102,2
2021-11-25 10:41:07 UTC,Check out the 's $ALGO integration roadmap! So exciting to see what is coming!  #NFTs #Algorand,algofoundation,"['nfts', 'algorand']",['algo'],35,175,1
2021-11-25 09:20:00 UTC,"Last chance to register &amp; apply for the Sustainable Future Economy #Algorand Hackathon, powered by !   Register for the Hackathon at 👉 https://t.co/Tox0kUtShN  #algorandhackathon #sustainablefutureeconomy  https://t.co/RKUW89hbG8",algofoundation,"['algorand', 'algorandhackathon', 'sustainablefutureeconomy']",[],22,86,2
2021-11-24 16:15:05 UTC,"We're excited to announce a grant award to  #DeFi platform, Cables. The Cables platform is being incubated by Shift Markets, with infrastructure to deploy a versatile v1 #stablecoin orderbook-based #DEX on !   Read more at 👉 https://t.co/N9kHOuo8ca  https://t.co/3F2oYQgVeH",algofoundation,"['defi', 'stablecoin', 'dex']",[],117,367,23
2021-11-24 16:03:17 UTC,We have surpassed 100k #ASA #NFTs!   Check out  https://t.co/JB7sBSLbjQ which provides a great overview of #NFT sales &amp; prices across the #Algorand #Blockchain  #GreenCrypto  https://t.co/hwi5f34S0J,algofoundation,"['asa', 'nfts', 'nft', 'algorand', 'blockchain', 'greencrypto']",[],49,221,11
2021-11-24 12:01:11 UTC,"[Event] December Community All-Hands  As we close 2021, we’d like to recognize the contribution of our community. We have invited a selection of #Algorand Community members from the APAC region to share their journey with Algorand in 2021.  Register at👉  https://t.co/EqrNoUNE6y  https://t.co/U9GqPDEiuh",algofoundation,['algorand'],[],30,145,4
2021-11-24 11:03:30 UTC,"We today welcome  to the  ecosystem as our latest grant recipient. We're excited to partner with TechCircus to create the world’s largest community of BlockTech professionals, and look forward to growing our communities together!   👉  https://t.co/tpFYcOLIO3  https://t.co/Dzs7qftd15",algofoundation,[],[],93,280,12
2021-11-24 11:00:41 UTC,is now live on #Algorand testnet.   #GameFi #GreenCrypto,algofoundation,"['algorand', 'gamefi', 'greencrypto']",[],12,37,2
2021-11-23 14:39:45 UTC,We today welcome Entheos to the #Algorand Ecosystem as our latest grant recipient. Entheos has been awarded a grant for its #blockchain powered product for the Governance of the GDPR.  Read more about this use case 👉 https://t.co/laloxBgObr  #GreenCrypto #Security #ShapeTheFuture  https://t.co/wxvZ2bBllH,algofoundation,"['algorand', 'blockchain', 'greencrypto', 'security', 'shapethefuture']",[],39,210,5
2021-11-23 09:20:17 UTC,"The #EURS stablecoin arrives on , becoming a multi-chain asset. The partnership with  will remove the current limitations of high gas fees &amp; limited scalability of on-chain transactions on other networks. #DeFi #GreenCrypto  https://t.co/DuLEtal1MA  https://t.co/8c0TsawDXE",algofoundation,"['eurs', 'defi', 'greencrypto']",[],75,379,13
2021-11-22 23:16:29 UTC,Congratulations to the team  . goBTC is now live on #Algorand. Fully carbon offset $BTC that can be used across the Algorand network. This is an amazing opportunity for BTC holders to put their tokens to work in one of the highest growth DeFi ecosystems in crypto.,algofoundation,['algorand'],['btc'],91,385,7
2021-11-22 15:57:20 UTC,"In case this one sneaked by you last week amongst all the amazing news for #Algorand ....  21Shares Announces Listing of Polygon, Avalanche and Algorand crypto ETP on SIX Swiss Exchange  https://t.co/KU7hUjeilA",algofoundation,['algorand'],[],31,155,0
2021-11-22 12:31:42 UTC,"We're delighted to welcome  to the  Ecosystem. We're excited to partner with Stasis with whom we share a vision for a digital borderless economy, and look forward to supporting #EURS customers &amp; further digital asset adoption!  #GreenCrypto #Stablecoins #DeFi",algofoundation,"['eurs', 'greencrypto', 'stablecoins', 'defi']",[],81,401,5
2021-11-22 10:15:20 UTC,"There is just 3 days left to register &amp; apply for the Sustainable Future Economy #Algorand Hackathon, powered by  !   Build on the world's greenest #blockchain!  Learn more about our 3 challenges &amp; how to register at  https://t.co/SFlLlK2mjk   #GreenCrypto #Sustainability  https://t.co/DIRPdHzrR6",algofoundation,"['algorand', 'blockchain', 'greencrypto', 'sustainability']",[],22,78,2
2021-11-22 09:33:45 UTC,We're excited to share an update with the community on the progress of our Viridis “SupaGrants” funding for the building of token bridges &amp; price oracles to support the accelerated development of the  #DeFi ecosystem.  👉 https://t.co/lzSfylilrs   #GreenCrypto #GreenFi  https://t.co/59AwuQRSb6,algofoundation,"['defi', 'greencrypto', 'greenfi']",[],52,276,8
2021-11-19 14:33:22 UTC,"Only 7 days left to register and apply for the Sustainable Future Economy #Algorand Hackathon, powered by !   Build on the world's greenest blockchain!  Learn more about our 3 challenges and how to register at  https://t.co/SFlLlK2mjk   #GreenCrypto #Sustainability  https://t.co/QPXpoW1AMi",algofoundation,"['algorand', 'greencrypto', 'sustainability']",[],14,71,1
2021-11-19 14:08:19 UTC,"The  platform allows any charity to launch multiple targeted campaigns &amp; accept donations in $Algo, all on a carbon negative #blockchain through our carbon offset plan with    #GreenCrypto #AlgoNFT #ShapeTheFuture",algofoundation,"['blockchain', 'greencrypto', 'algonft', 'shapethefuture']",['algo'],31,102,4
2021-11-18 19:01:41 UTC,"We're excited to share  has received a grant to develop a Tokenized Real Estate Marketplace, enabling people to invest in fractions of investment properties via the  blockchain for as little as $50 &amp; completed in less than 5 minutes!   👉 https://t.co/juIKzATHsH  https://t.co/TE7fi8VS6z",algofoundation,[],[],153,545,28
2021-11-18 14:14:19 UTC,"We're delighted to welcome  to the  ecosystem as our latest grant recipient. ePioneers will build the World’s 1st Climate Wallet, enabling anyone to grow climate portfolios from the most biodiverse natural ecosystems in the world!  👉 https://t.co/nPttV4xu0u  https://t.co/0tAMDRdrZE",algofoundation,[],[],54,282,4
2021-11-17 15:26:25 UTC,We are really excited to see what the ten selected cohorts from the  &amp; Algorand Accelerator programme build on ! #GreenCrypto #BuildOnAlgorand,algofoundation,"['greencrypto', 'buildonalgorand']",[],33,144,2
2021-11-17 13:58:51 UTC,"We today welcome  to the  Ecosystem! #Exberry has been awarded a grant to build a primary issuance &amp; secondary trading platform on top of #Algorand, with a tight integration to the Exberry matching engine. #GreenCrypto  Read the news at 👉 https://t.co/k6zcyeTfQU  https://t.co/odccPgMqr6",algofoundation,"['exberry', 'algorand', 'greencrypto']",[],84,346,10
2021-11-17 10:40:42 UTC,"Join 's  tomorrow for his Intro to Building #Blockchain Solutions session, part of the Smarter Contract Developer Series with !   The session focuses on building cross blockchain dApps with 1 set of source code &amp; deployed to multiple blockchains!",algofoundation,['blockchain'],[],19,81,2
2021-11-17 10:36:29 UTC,"Apply for the Sustainable Future Economy #Algorand Hackathon, powered by !   Build on the world's greenest blockchain!  Learn more about our 3 challenges and how to register at  https://t.co/Tox0kUtShN   #GreenCrypto #Sustainability  https://t.co/3z8LvSpZne",algofoundation,"['algorand', 'greencrypto', 'sustainability']",[],25,87,1
2021-11-17 10:26:32 UTC,We're delighted to share the #Algorand Centres of Excellence Programme received 119 letters of intent with over 400 participants from a total of 45 countries. It is amazing so see so many universities from diverse geographies express their interest!   👉 https://t.co/UpYmgjSCfh  https://t.co/0XmAKIcE9B,algofoundation,['algorand'],[],32,132,0
2021-11-16 20:13:46 UTC,". has invested in Music Crypto startup and Algorand ecosystem partner !   #Opulous is the 1st ever #DeFi offering backed by music as an asset class, built on !    Read more at 👉 https://t.co/qL80OhRuOg  https://t.co/pVIa02q7mv",algofoundation,"['opulous', 'defi']",[],151,432,14
2021-11-16 12:41:48 UTC,We welcome  to the #Algorand ecosystem as our 2nd grant recipient from Japan. Crosslink is a stand-alone GPS-linked #blockchain game who received a grant to integrate the Algorand wallet into CrossLink &amp; for the issuance of #NFTs!  Read more 👉 https://t.co/I2uAp9wIQF  https://t.co/NrKfbbCJsl,algofoundation,"['algorand', 'blockchain', 'nfts']",[],42,192,4
2021-11-15 10:53:13 UTC,"Only 10 days left to register for the Sustainable Future Economy #Algorand Hackathon, powered by !   Learn more about our 3 challenges and register:  https://t.co/Tox0kUtShN   #AlgorandHackathon #Sustainability #GreenCrypto  https://t.co/V62auPmzgz",algofoundation,"['algorand', 'algorandhackathon', 'sustainability', 'greencrypto']",[],21,88,2
2021-11-14 15:00:09 UTC,A final reminder for eligible Governor's to take the time to cast your vote as voting closes in an hour for the 1st voting measure of Algorand Community Governance!   Vote at  https://t.co/I5ptB1gN4x  Instructions at  https://t.co/cGEwF2DgUv  https://t.co/D6kZtB8CQK,algofoundation,[],[],98,310,16
2021-11-14 14:00:09 UTC,Voting closes in 2 hours for the 1st voting measure of Algorand Community Governance!   Please ensure if you are an eligible Governor you take the time to cast your vote !  Vote at  https://t.co/I5ptB1gN4x  Instructions at  https://t.co/cGEwF2DgUv  https://t.co/Oaafczn3rH,algofoundation,[],[],19,104,1
2021-11-14 13:00:07 UTC,Algorand Community Governance voting on the 1st voting measure  closes in 3 hours!    Don't forget to vote. No Vote = No Governance Rewards!  Vote at  https://t.co/I5ptB1gN4x  Instructions at  https://t.co/cGEwF2DgUv  https://t.co/FEhynl7bMe,algofoundation,[],[],10,104,7
2021-11-14 12:00:06 UTC,The 1st voting measure for the 1st period of Algorand Community Governance closes in just 4 hours!    Don't forget to vote. No Vote = No Governance Rewards!  Vote at  https://t.co/I5ptB1gN4x  Instructions at  https://t.co/cGEwF2DgUv  https://t.co/OHkVi1eLHW,algofoundation,[],[],17,119,4
2021-11-14 10:55:29 UTC,You need to maintain your committed algo balance without interruption throughout the entire governance period which ends at the end of December. Governance Rewards will be available after the governance period concludes,algofoundation,[],[],1,1,0
