id,name,replies_count,created_at,retweets_count,tweet,hashtags,language,cashtags,username,likes_count
1465784726334148611,Algorand,5,2021-11-30 20:48:06 UTC,21,Great Day 1 wrap-up of @DecipherEvent by @algo_pulse! Stay tuned for the recap of Day 2 🙌,[],en,[],algorand,168
1465755580681838598,Algorand,28,2021-11-30 18:52:17 UTC,174,.@borderless_cap has announced the launch of its $500M ALGO Fund II! This new fund will focus on investing in digital assets powering the next generation of dApps on top of #Algorand 👉  https://t.co/R2IrTrp74A @AlgoFoundation  https://t.co/A8l0LaoFHG,['algorand'],en,[],algorand,687
1465702743276879876,Algorand,9,2021-11-30 15:22:20 UTC,77,Packed room for Algorand COO @wsford at @DecipherEvent!   Watch live 👉  https://t.co/4c1Z6T0A3n #Decipher  https://t.co/DdOs1bTxOr,['decipher'],en,[],algorand,495
1465676544421081090,Algorand,4,2021-11-30 13:38:13 UTC,22,"2/ As part of our commitment to set the standard for #sustainable blockchain, we are also excited to share that @DecipherEvent is fully carbon neutral! All carbon impacts associated with the event are being offset through the @ClimateTrade marketplace 🍃 #greencrypto","['sustainable', 'greencrypto']",en,[],algorand,157
1465676540075814915,Algorand,10,2021-11-30 13:38:12 UTC,84,"1/ @ClimateTrade announced the launch of the Green Treasury, a #blockchain oracle that will enable builders, businesses and investors on the #Algorand platform to instantly offset their carbon footprint on the blockchain ecosystem:  https://t.co/aWNzfVOJGw 🌱  https://t.co/7dhTBhhbeK","['blockchain', 'algorand']",en,[],algorand,349
1465517825452392456,Algorand,20,2021-11-30 03:07:32 UTC,86,That's a wrap on Day 1 of @DecipherEvent! See you all tomorrow for Day 2 🙌  https://t.co/x7TqAIxMqO,[],en,[],algorand,559
1465438111702388742,Algorand,4,2021-11-29 21:50:47 UTC,88,".@Droneraceleague is bringing to life next-gen fan experiences on #Algorand with the launch of their #NFT marketplace! Check out the #MannyVerse, featuring 13 rare 3D avatars of Algorand 13th Pilot @mannyhimself released with @MetaPunksOG &amp; @RocketInsights at #Decipher today.  https://t.co/2Zhfqdhag2","['algorand', 'nft', 'mannyverse', 'decipher']",en,[],algorand,336
1465427906004455426,Algorand,6,2021-11-29 21:10:13 UTC,68,"""@Dequency_io has executed the first-ever music synchronization license smart contract on the Algorand blockchain!"" - @KeatlyKHZ   Live at #Decipher 👉  https://t.co/4c1Z6SIZbP  https://t.co/Q34AZjNyTv",['decipher'],en,[],algorand,327
1465403341979242509,Algorand,18,2021-11-29 19:32:37 UTC,149,"“The launch of Hivemind’s venture represents an exciting new milestone in serious players entering the #Algorand &amp; broader blockchain ecosystem. Hivemind will change the way organizations are using blockchain to transform businesses"" - @wsford  Read more 👇 https://t.co/QGls98zprM",['algorand'],en,[],algorand,554
1465393437553958918,Algorand,24,2021-11-29 18:53:15 UTC,154,"UNLOX announced they are leveraging the #Algorand blockchain to launch 5 new future-of-finance marketplaces! This groundbreaking initiative will bring millions of customers, transaction volume and value on-chain 👉  https://t.co/pexvMYDjVq @SkyBridge @NAXGRP  https://t.co/YGGeObCE1K",['algorand'],en,[],algorand,555
1465347993767497735,Algorand,4,2021-11-29 15:52:41 UTC,64,"""Our focus here is continual advancement and taking advantage of our unique protocol capabilities. We are focused on building the best execution environment and programming model possible for our developers."" - @paulriegle  📺  https://t.co/4c1Z6SIZbP #Decipher  https://t.co/aPccTBOfr6",['decipher'],en,[],algorand,306
1465343099786436608,Algorand,19,2021-11-29 15:33:14 UTC,119,Standing room only for @silviomicali at @DecipherEvent! Watch our Founder live 👉  https://t.co/4c1Z6SIZbP #Decipher  https://t.co/K8DJtccnoH,['decipher'],en,[],algorand,625
1465335044986314752,Algorand,19,2021-11-29 15:01:13 UTC,114,Big News from @FrancisSuarez: @PlanetWatchsas has selected Miami as the first major U.S. city for deployment of their air quality sensors 🍃🌱,[],en,[],algorand,593
1465332008729600007,Algorand,23,2021-11-29 14:49:10 UTC,101,"We are now LIVE at @DecipherEvent in Miami! November 29 - 30, leaders from across the Algorand ecosystem come together to #Decipher the future on Algorand.   Watch the livestream 👉  https://t.co/4c1Z6SIZbP  https://t.co/t3ncWDNKsd",['decipher'],en,[],algorand,410
1465312107147182083,Algorand,13,2021-11-29 13:30:05 UTC,54,T-1 hour until Mayor @FrancisSuarez takes the stage to kick off @DecipherEvent!   Not in Miami? Join the livestream 👉  https://t.co/1NTzFSVwVB #Decipher  https://t.co/hEBUFinvQZ,['decipher'],en,[],algorand,252
1465298165498880001,Algorand,20,2021-11-29 12:34:41 UTC,142,".@Algomint_io has launched, enabling interoperability with a gateway bridge between the Bitcoin and Ethereum networks and Algorand! BTC &amp; ETH users will now experience the speed, scalability and low cost of all transactions on the Algorand blockchain 👇  https://t.co/HlRTKmXhGY",[],en,[],algorand,580
1465290691811155973,Algorand,23,2021-11-29 12:04:59 UTC,69,"Gm Miami. Ready for @DecipherEvent? Doors open at 8am, see you soon 😎 #Decipher  https://t.co/J3yp5cKo53",['decipher'],en,[],algorand,511
1465280425237041152,Algorand,2,2021-11-29 11:24:11 UTC,40,.@AlgoFoundation is pioneering #DeFi 2.0 with Algo Option Vaults on @ThetaNuts!,['defi'],en,[],algorand,218
1464618778910674948,Algorand,20,2021-11-27 15:35:02 UTC,90,".@DecipherEvent kicks off in 2 days!  📢 Reminder to all attendees joining us live in Miami: Make sure to collect your unique #AlgoGator NFT ticket. At the door, you will be asked to show proof of your asset within your Algorand Wallet. #Decipher  https://t.co/eQBxR3lxiI","['algogator', 'decipher']",en,[],algorand,400
1464311751848120321,Algorand,13,2021-11-26 19:15:01 UTC,71,"ICYMI: @borderless_cap announced the closing of their $10M  https://t.co/Lk1WAuNdx3 focused on @PlanetWatchsas, a decentralized global air quality monitoring network on the #Algorand blockchain. Read more 👇  https://t.co/G1qAptFCWO",['algorand'],en,[],algorand,306
1464258711568850947,Algorand,3,2021-11-26 15:44:16 UTC,0,"@JohnMizzoni Good catch! This is just one of many of our prototypes, but you’re absolutely right. We posted a version with an ETH looking address as we explore how different ways of shortening the Algorand addresses look at the top of the page (capitalization, ellipses, etc.)",[],en,[],algorand,40
1464233743904878603,Algorand,129,2021-11-26 14:05:03 UTC,256,Enjoy this sneak peek prototype of what’s coming next to the official Algorand Wallet 👀  Which #NFT are you most excited to show off? Comment below 👇  https://t.co/MK6a1isehn,['nft'],en,[],algorand,1051
1463998444675211265,Algorand,4,2021-11-25 22:30:03 UTC,45,"On Dec 2nd, @500GlobalVC will be hosting #PreMoney2021 in Miami! Featuring established leaders in private markets &amp; beyond, conversations will focus on optimizing investment, value creation &amp; more.    Request an invite:  https://t.co/aCx60CZhc4 Get 10% off:  https://t.co/Zx2STkZSgz  https://t.co/SdcOQ72mdc",['premoney2021'],en,[],algorand,234
1463953144195473413,Algorand,1,2021-11-25 19:30:03 UTC,46,ICYMI: @C3protocol is leveraging #Algorand technology to bring cross-chain collateral management to #DeFi. Read more via @CoinDesk 👇  https://t.co/7yAMwjxqc9,"['algorand', 'defi']",en,[],algorand,248
1463903064134492161,Algorand,35,2021-11-25 16:11:03 UTC,104,4 days to go. Who are you most excited to hear from at @DecipherEvent?   See the all-star speaker lineup 👉  https://t.co/66Jjt14bVG #Decipher  https://t.co/X8QzzC14mR,['decipher'],en,[],algorand,495
