created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 21:01:21 UTC,Thank you to  X  for hosting such an amazing conference! The Algorithm team had a blast getting to meet all of the great attendees and their projects 🤝 #AlgorandStrong #AlgoFamily #EcosystemBuilder,algorithmfin,"['algorandstrong', 'algofamily', 'ecosystembuilder']",[],84,126,13
2021-11-30 17:40:30 UTC,"It was great learning about the expansion of the #Algorand ecosystem! We appreciate the Algo Bulls    for their insights, encouragement for shared collaboration, and promising outlook for the future of Algorand",algorithmfin,['algorand'],[],55,104,5
2021-11-30 14:39:45 UTC,Day 2 of  here in Miami! Can’t wait to speak with all of the great #Algorand community members #AlgoStrong,algorithmfin,"['algorand', 'algostrong']",[],28,54,2
2021-11-30 03:43:30 UTC,"It was great meeting you guys today, exciting stuff on the horizon for the  ecosystem. #decipher2021 #Algorand #MIAMI  https://t.co/z5MLP5E1uV",algorithmfin,"['decipher2021', 'algorand', 'miami']",[],4,15,1
2021-11-30 02:53:35 UTC,speech today at  was so powerful! “Talk is cheap. Algorand delivers” #Algorand #Miami #Startup  https://t.co/sSJBVL6YvS,algorithmfin,"['algorand', 'miami', 'startup']",[],3,14,0
2021-11-29 19:53:53 UTC,Amazing connections at #Decipher It was great to meet  and we look forward to further growing out the  ecosystem together 🤝 #MIAMI #Algorand #decipher2021  https://t.co/JuArRsmxfv,algorithmfin,"['decipher', 'miami', 'algorand', 'decipher2021']",[],50,153,7
2021-11-29 17:21:41 UTC,"Warm reception from all of the Algorand team as we make our rounds building out our relationship now and for the future. Pictured w/ David, Director of Business Solutions. #decipher2021 #Decipher #Algorand #Launchpad  https://t.co/NPmokuTNVE",algorithmfin,"['decipher2021', 'decipher', 'algorand', 'launchpad']",[],27,69,3
2021-11-29 16:22:50 UTC,Speaker/developer for upcoming subject matter on interoperability #Algorand #decipher2021 #Decipher  https://t.co/xe2527QYI6,algorithmfin,"['algorand', 'decipher2021', 'decipher']",[],18,45,0
2021-11-29 14:38:10 UTC,The founders off to a great start at  meeting with some key players and the Algo community #Miami #Algorand #Decipher  https://t.co/7p86UW3mqJ,algorithmfin,"['miami', 'algorand', 'decipher']",[],18,34,1
2021-11-29 13:35:10 UTC,The Algorithm team has arrived at the . We will have an exciting day so make sure to follow along as we update our community! #Algorand #DeFi #Miami,algorithmfin,"['algorand', 'defi', 'miami']",[],8,17,0
2021-11-29 04:03:37 UTC,"Our team has come together in Miami, we're excited and ready to solidify ourselves into the  ecosystem. #decipher2021 #Algorand #Launchpad #AGR",algorithmfin,"['decipher2021', 'algorand', 'launchpad', 'agr']",[],54,76,5
2021-11-29 01:59:33 UTC,"With the creation and rise of #Algorithm, we share  strong rooted values with #Algorand to ultimately provide a solution and resolve the “Blockchain Trilemma”  #AdvancedTechnology #Decentralized",algorithmfin,"['algorithm', 'algorand', 'advancedtechnology', 'decentralized']",[],32,55,3
2021-11-28 17:09:01 UTC,"Algorithm is composable, providing users with an effective way to participate and support game changing technologies and protocols built on Algorand $AGR #AlgorithmFin #Innovation #Algorand",algorithmfin,"['algorithmfin', 'innovation', 'algorand']",['agr'],41,66,3
2021-11-27 20:03:48 UTC,"At Algorithm we pride ourselves on being a platform that is self organized, interlaced, and hyper-connected.   Our formula brings the world next generation financial products. Join us and never look back!  #DeFi #Miami #Algorand #Technology",algorithmfin,"['defi', 'miami', 'algorand', 'technology']",[],119,201,9
2021-11-27 13:14:21 UTC,"With a strong business model and innovative vision for the future, Algorithm sets a new standard of how a launchpad should function. FutureFi is our home.  #DeFi #FutureFi #CryptocurrencyNews #Algorand",algorithmfin,"['defi', 'futurefi', 'cryptocurrencynews', 'algorand']",[],126,210,57
2021-11-27 04:43:47 UTC,We are extremely excited to be attending the DeCipher event. Stay posted on more developments coming from us meeting with the Algorand team. #ALGO #AGR #DeFi #NFT,algorithmfin,"['algo', 'agr', 'defi', 'nft']",[],218,306,41
2021-11-26 23:44:49 UTC,Did you know that  is the first Carbon negative smart contract system?   The Algorithm team is proud to build on top of a truly innovative and eco-friendly blockchain  #Algorand  #DeFi #Sustainability,algorithmfin,"['algorand', 'defi', 'sustainability']",[],121,196,18
2021-11-26 20:06:40 UTC,We hope you all had a great Thanksgiving with your loved ones! The Algorithm team is thankful for each one of you and your vast support as we transcend into FutureFi. Keep up with us as we roll out important announcements and developments #Algorand #DeFi #CryptoNews,algorithmfin,"['algorand', 'defi', 'cryptonews']",[],97,154,32
2021-11-24 17:45:08 UTC,"After significant time in stealth mode, we are excited to go public on what we've been working on - the platform that will build out the  ecosystem.  #Algorand #DeFi #FutureFi   https://t.co/SlIThxBWe1",algorithmfin,"['algorand', 'defi', 'futurefi']",[],18997,22540,8578
