hashtags,replies_count,created_at,tweet,language,id,username,name,cashtags,retweets_count,likes_count
[],0,2021-11-29 16:10:37 UTC,@RyanWikel1 @wsford @DecipherEvent @FrancisSuarez @Algorand Yes but I’m wearing algorand socks,en,1465352508633714700,arrington,Michael Arrington 🏴‍☠️,[],0,4
[],0,2021-11-29 16:01:16 UTC,@arul_1111i @FrancisSuarez @borderless_cap @Algorand Big deal!,en,1465350153653661701,arrington,Michael Arrington 🏴‍☠️,[],0,12
[],43,2021-11-29 16:00:22 UTC,Stole this pillow from the Algorand @DecipherEvent. Just walked out with it. Confidence is key. Thanks @wsford  https://t.co/yx7deqeVou,en,1465349927668756482,arrington,Michael Arrington 🏴‍☠️,[],26,410
[],15,2021-11-29 14:33:44 UTC,Algorand has arrived in Miami!  @DecipherEvent  https://t.co/uvTRzE7g8x,en,1465328126095937545,arrington,Michael Arrington 🏴‍☠️,[],84,519
[],53,2021-11-29 12:07:49 UTC,I'm interviewing @FrancisSuarez at the Algorand @DecipherEvent event in a couple of hours. What would you like for me to ask him?,en,1465291406172471303,arrington,Michael Arrington 🏴‍☠️,[],17,283
[],24,2021-11-29 04:10:34 UTC,We threw a party tonight to begin the @algorand @DecipherEvent conference. Lovely having everyone. Below is @NataliePropy @silviomicali and @FrancisSuarez.  https://t.co/7e6kmeSWZx,en,1465171299790168071,arrington,Michael Arrington 🏴‍☠️,[],81,673
[],3,2021-11-22 18:44:50 UTC,Algorand Project Raises $3.6M to Make Cross-Chain DeFi Friendly for Big Investors  https://t.co/xUrrPMAED4 @arringtonXRPcap,en,1462854603817558017,arrington,Michael Arrington 🏴‍☠️,[],19,126
[],1,2021-11-13 17:22:00 UTC,@wsford @MCHammer @Algorand Oh crap that was supposed to be a DM. Looking forward to the dinner!,en,1459572265079685124,arrington,Michael Arrington 🏴‍☠️,[],1,18
[],2,2021-11-13 15:19:57 UTC,@MCHammer @wsford @Algorand Ok but maybe without @wsford hah,en,1459541550803865605,arrington,Michael Arrington 🏴‍☠️,[],0,16
[],5,2021-11-13 06:09:52 UTC,@wsford @Algorand @MCHammer I’m pretty sure I can arrange a dinner with @MCHammer  and us. He’s always curious and everything he says is so cool.,en,1459403116776992768,arrington,Michael Arrington 🏴‍☠️,[],2,95
[],18,2021-11-04 17:02:53 UTC,Why Algorand? by @MetaPunksOG  https://t.co/yAebJ6RYbf,en,1456305963460345860,arrington,Michael Arrington 🏴‍☠️,[],36,165
[],0,2021-10-31 02:28:00 UTC,@onechancefreedm @silviomicali @ninos_mansor @ninormansor @Algorand I don’t feel large but then I see these pictures and wonder,en,1454636239726985221,arrington,Michael Arrington 🏴‍☠️,[],0,0
[],14,2021-10-31 02:23:11 UTC,Simpler times: Me with @silviomicali @ninos_mansor and @ninormansor in SF in…2019? My phone just tossed this up on my Home Screen. @Algorand  https://t.co/XCPjbEkNBd,en,1454635030702141447,arrington,Michael Arrington 🏴‍☠️,[],18,245
"['decipher', 'algorand']",2,2021-10-20 18:21:21 UTC,"Excited to be joining @Algorand at #Decipher in Miami on November 29-30th! Register today for this inaugural two-day experience that will bring the community of builders, businesses, investors &amp; innovators together to decipher the future on #Algorand:  https://t.co/LiKatseUch  https://t.co/DCA0mrcbYH",en,1450889894096736260,arrington,Michael Arrington 🏴‍☠️,[],19,105
[],0,2021-10-11 20:07:33 UTC,"@seanmulvihill @LinkMe81000 @ninos_mansor Using words like “die to protect” are what gets our people jumpy.  Also, we have never sold a single ALGO as far as I’m aware. But even if we had, these threats are out of line.",en,1447655130019647494,arrington,Michael Arrington 🏴‍☠️,[],0,1
[],5,2021-10-07 15:59:26 UTC,DeFi for the Small Guy: Algorand-Based Tinyman Raises $2.5M Ahead of DEX Launch  https://t.co/WHJC2qPGOg via @coindesk,en,1446143138347814924,arrington,Michael Arrington 🏴‍☠️,[],24,119
[],1,2021-09-13 19:22:26 UTC,@AlgoHQ @Algorand Why are you surprised? This is the best one.,en,1437496915613061120,arrington,Michael Arrington 🏴‍☠️,[],1,7
[],1,2021-09-13 19:17:42 UTC,@AlgoHQ @Algorand So you’re saying that I’m lying that we bought it?,en,1437495721918349312,arrington,Michael Arrington 🏴‍☠️,[],0,1
[],0,2021-09-13 16:15:03 UTC,@BOAlgorandNFTs @Algorand @arringtonXRPcap I would,en,1437449758285643778,arrington,Michael Arrington 🏴‍☠️,[],0,21
"['algobot', 'newprofilepic']",33,2021-09-13 15:57:29 UTC,Lots happening with @Algorand this week so making a profile pic change to an #algobot 🚀🌕#NewProfilePic  https://t.co/KmKXxqoJ3v,en,1437445335501131784,arrington,Michael Arrington 🏴‍☠️,[],67,479
[],1,2021-09-07 16:02:01 UTC,@Algorand @pablorfraile @andreabonac_art @xcaminos awesome.,en,1435272152228536320,arrington,Michael Arrington 🏴‍☠️,[],2,18
