created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-10-24 20:24:33 UTC,"Bitcoin’s behavior at the 20-day moving average will determine the direction of the short-term trend whether or not $SOL, $AVAX, ALGO and AXS proceed higher.  https://t.co/T6JBvYnFCL",cointelegraph,[],"['sol', 'avax']",32,93,17
2021-10-24 14:17:37 UTC,"Average yearly returns.  Savings: ~0.5% Short-term bonds: ~4% Large cap stocks: ~10% Gold: ~10.6%  This algo: 36,205% over 10 months.  Welcome to crypto.   https://t.co/kH4PkNU8vW",cointelegraph,[],[],29,159,26
2021-09-30 16:56:11 UTC,"Markets Pro segment!  (RGT) added 19% against the dollar and 22% against BTC thanks to a huge midweek rally. Before this, RGT’s VORTECS score briefly touched the mark of 80. This suggested that the algo identified historically bullish conditions around the coin.  https://t.co/iNMYGeOUwN",cointelegraph,[],[],4,7,2
2021-09-30 05:00:26 UTC,"Algorand introduced its Algorand Virtual Machine today. The update to layer-1 protocol will allow developers to write smart contracts, as well as maintaining a negative carbon output.  https://t.co/V4tk7dhZMn",cointelegraph,[],[],29,95,9
2021-09-30 00:22:01 UTC,"It’s here! The Algorand Virtual Machine was launched today, allowing developers to write smart contracts, as well as sustaining a negative carbon output.   https://t.co/YGN1BblPF1",cointelegraph,[],[],19,89,6
2021-09-29 18:45:00 UTC,"It’s here! The Algorand Virtual Machine was launched today, allowing developers to write smart contracts, as well as maintaining a negative carbon output.   https://t.co/OTQ3jm3EyF",cointelegraph,[],[],34,161,16
2021-09-26 19:49:33 UTC,"Bitcoin is attempting to shrug off the most recent crackdown from China and a recovery in BTC price could open the door for gains from $AVAX, $ALGO, XTZ, and EGLD.  https://t.co/EdyReRuuQP",cointelegraph,[],"['avax', 'algo']",67,223,36
2021-09-16 21:22:01 UTC,"Anthony Scaramucci believes there will be 200 million crypto users in the United States.   His alternative investment firm  is preparing for it, filing for a crypto-focused ETF on Tuesday and revealing plans for an Algorand fund.  https://t.co/dlqh3h8ugl",cointelegraph,[],[],20,84,9
2021-09-16 17:07:01 UTC,"Anthony Scaramucci is backing his belief that there will be 200 million crypto users in the U.S. with his  backing.   The investment firm is making big moves, filing for a crypto-focused ETF and revealing plans for an Algorand fund.  https://t.co/I36HGRE7Ou",cointelegraph,[],[],14,53,5
2021-09-16 11:00:41 UTC,"Anthony Scaramucci believes there will be 200 million crypto users in the U.S. and  is preparing for it, filing for a crypto-focused ETF on Tuesday and revealing plans for an Algorand fund.  https://t.co/1oFSqSupxS",cointelegraph,[],[],40,138,15
2021-09-12 20:38:32 UTC,"Bulls are fighting to hold Bitcoin price above $46,000 but most traders seem more focused on ETH bridges and altcoins like #ALGO, $ATOM, XTZ and EGLD.  https://t.co/aEE9eFT56I",cointelegraph,['algo'],['atom'],55,233,58
2021-09-10 18:51:04 UTC,"A new fund looks to help DeFi builders on #Algorand,  reports  https://t.co/L7w7IYKj4S",cointelegraph,['algorand'],[],14,65,4
2021-09-10 14:30:16 UTC,"ALGO is going through the roof! The price of $ALGO spikes 268% to a high of $2.47 as of today, September 9. Could El Salvador have driven this rise?  https://t.co/iKCJa3izCy",cointelegraph,[],['algo'],25,95,10
2021-09-10 08:45:01 UTC,"ALGO going through the roof! The price of ALGO has climbed 268% to a high of $2.47 as of today, September 9. Could El Salvador's announcement have driven this rise?  https://t.co/5cdCx6sys9",cointelegraph,[],[],36,113,13
2021-09-10 00:11:02 UTC,"Upcoming governance features, the development of NFT and DeFi infrastructure and a collaboration with the government of El Salvador back $ALGO’s breakout to a new multi-year high.  https://t.co/2OcTDe7YFU",cointelegraph,[],[],21,60,4
2021-09-09 21:45:02 UTC,"Hold on to your seats, folks!   FRONT, ALGO and PRE have seen major gains on the back of Bitcoin's ranging price action.  https://t.co/NzgsGm0CzB",cointelegraph,[],[],24,82,11
2021-09-09 20:25:03 UTC,"New product reveals, the quickening pace of mass adoption and a government contract back the strong rally seen in $PRE, $FRONT and ALGO.  https://t.co/TdoEDdNxHD",cointelegraph,[],"['pre', 'front']",8,37,6
2021-09-08 21:52:01 UTC,"Never fear, NEAR is here. NEAR, ALGO, and CVP all posted double-digit gains as the rest of the market struggles.  https://t.co/rPwzS8m56E",cointelegraph,[],[],11,54,5
2021-09-08 18:19:32 UTC,"$ALGO, $NEAR and CVP price surged higher after a market-wide oversold bounce saw many altcoins recover some of the ground lost in this week’s correction.  https://t.co/BhrLFQC1Ms",cointelegraph,[],"['algo', 'near']",9,60,11
2021-09-07 13:01:33 UTC,"The launch of El Salvador’s state-issued #Bitcoin wallet is assisted by major crypto companies, including Bitso crypto exchange, Silvergate Bank, Athena Bitcoin and Algorand.  https://t.co/KkE00FiFri",cointelegraph,['bitcoin'],[],969,161,38
