created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 21:08:01 UTC,Back at it in Biosphere this Wednesday at 8pm ET  📺 Watch live on NBCSN or Twitter  #DRLSIM  |   https://t.co/1llgONpv4r,droneraceleague,['drlsim'],[],5,22,2
2021-11-30 19:54:02 UTC,Results from Kingdom 👑  #DRL  |   https://t.co/O9P3vWFLBV,droneraceleague,['drl'],[],6,31,2
2021-11-30 01:34:14 UTC,guests were provided with special codes for this initial drop 👀,droneraceleague,[],[],0,1,2
2021-11-29 21:35:35 UTC,We just dropped our first #DRLNFT marketplace powered by  at #Decipher today. Introducing the #MannyVerse: a series of 13 rare 3D avatars of #Algorand 13th Pilot .  #Metaverse #algofam  https://t.co/CM1Gn0YwRZ,droneraceleague,"['drlnft', 'decipher', 'mannyverse', 'algorand', 'metaverse', 'algofam']",[],48,202,8
2021-11-27 22:29:45 UTC,We're here for you!,droneraceleague,[],[],0,1,0
2021-11-27 22:19:45 UTC,"While we don't sell our drones, you can fly the Racer4 in the Drone Racing Arcade mobile game or DRL SIM video game. Check it out!  https://t.co/E1pdqR3jvu",droneraceleague,[],[],0,1,0
2021-11-27 22:03:35 UTC,We can help...  https://t.co/E1pdqR3jvu,droneraceleague,[],[],0,2,1
2021-11-27 16:18:00 UTC,Drone Racing has never been more competitive than the 2021-22 DRL World Championship Season. Relive the best moments today at 4:30pm ET  Race drones on Drone Racing Arcade 📲. Available on iOS or Android:  https://t.co/OYOnwvfXZW  #DRL  |   https://t.co/aS6alriZXn,droneraceleague,['drl'],[],157,1406,32
2021-11-27 14:50:01 UTC,Recover from Black Friday with the best moments from the 2021-22 DRL World Championship 🛍  Watch on NBC or Twitter at 4:30pm ET 📺  #DRL  |   https://t.co/geEDRVKu0t,droneraceleague,['drl'],[],9,27,0
2021-11-26 01:07:01 UTC,. takes home the win in Kingdom 🏆 👑  #DRL  |   https://t.co/rlUQJJGh8p,droneraceleague,['drl'],[],1,19,0
2021-11-25 01:27:22 UTC,Right here  https://t.co/262UvNOysx,droneraceleague,[],[],1,1,1
2021-11-25 01:20:25 UTC,Yeah they are!!,droneraceleague,[],[],0,0,0
2021-11-25 00:00:23 UTC,T-1 hour until take off   Watch live on NBCSN or Twitter  #DRLSIM  |   https://t.co/HGJG2eQx6M,droneraceleague,['drlsim'],[],11,59,3
2021-11-24 22:05:01 UTC,Watch live drone racing on the DRL SIM tonight at 8pm ET on NBCSN or Twitter  #DRLSIM  |   https://t.co/OKIwaFuckB,droneraceleague,['drlsim'],[],4,26,0
2021-11-24 20:24:48 UTC,"DRL is back on the DRL SIM with more live drone racing 🏁  Want to fly drones like the pros? 🎮  Download the DRL SIM on Steam, Epic Games, PlayStation, or Xbox and get started today:  https://t.co/83fCgO6uN1   #DRLSIM  |    https://t.co/262UvNOysx",droneraceleague,['drlsim'],[],101,945,22
2021-11-24 15:35:15 UTC,Things got a little heated after 's 3/3 sweep  #DRL  |   https://t.co/gjIkveMuxs,droneraceleague,['drl'],[],4,5,0
2021-11-23 21:08:17 UTC,Congrats on your first Finals   #DRL  |   https://t.co/MHkeb4hE9P,droneraceleague,['drl'],[],8,34,2
2021-11-23 19:48:14 UTC,. and  continue their dominance from last season on the DRL SIM  #DRL  |   https://t.co/vDPXxlwG5j,droneraceleague,['drl'],[],1,12,1
2021-11-21 18:23:18 UTC,". and  battled all the way to the Finish Gate, but in the end Gab707 came out on top.  #DRL  |   https://t.co/VB1oM7UuJ1",droneraceleague,['drl'],[],5,19,0
2021-11-21 15:29:02 UTC,Only 1 point separates  from  in the battle for the 2021-22 Drone Racing League World Championship.  #DRL  |   https://t.co/CuLfZT2i9A,droneraceleague,['drl'],[],1,16,0
2021-11-20 23:40:16 UTC,Some nice racing from  to take home his first win of the season 🏆  #DRL  |   https://t.co/pAIVEWKhpo,droneraceleague,['drl'],[],2,25,1
2021-11-20 01:25:01 UTC,Final results from Campground 🏕  #DRL  |   https://t.co/lUrrSCpPIb,droneraceleague,['drl'],[],4,20,0
2021-11-19 00:49:01 UTC,"wins the first DRL SIM race of the season pushing him to 4th in the overall season standings, just one point ahead of .   #DRL  |   https://t.co/AYE2l2hRuA",droneraceleague,['drl'],[],0,2,0
2021-11-18 01:56:47 UTC,We want to see you race.  https://t.co/E1pdqR3jvu,droneraceleague,[],[],0,2,0
2021-11-18 01:38:19 UTC,Welcoming  13th Pilot MannyH1MSLF to his first #DRLSIM race!    $algo #algofam  https://t.co/C2ZDDhpUej,droneraceleague,"['drlsim', 'algofam']",['algo'],13,101,1
2021-11-18 01:19:47 UTC,Tonight's the start of the esports portion of our season. Pilots must dominate both DRL SIM and IRL courses to be crowned the World Champion.,droneraceleague,[],[],0,1,0
2021-11-18 01:10:35 UTC,DRONE. RACING.,droneraceleague,[],[],0,2,0
2021-11-17 20:48:26 UTC,.  is back for racing on the DRL SIM 👀,droneraceleague,[],[],0,0,0
2021-11-17 20:47:40 UTC,"Drone Racing League is going digital 🏁  📺:Watch the first DRL SIM race of the 2021-22 season at 8pm ET  🎮:Download the DRL SIM and fly like the pros on Steam, Epic Games, PlayStation, or Xbox:  https://t.co/LR3CyivomI  #DRL  |   https://t.co/s8WPQKLAH8",droneraceleague,['drl'],[],119,1110,33
2021-11-16 23:00:24 UTC,We're going digital this week. Wednesday night at 8pm ET on NBCSN and Twitter.  #DRL  |   https://t.co/HMqLsWTiDS,droneraceleague,['drl'],[],12,51,2
2021-11-15 21:23:01 UTC,Campground will be the first digital race of the season flown on the DRL SIM.   Watch live Wednesday night at 8pm ET on NBCSN or Twitter  #DRL  |   https://t.co/xZwBodjUB0,droneraceleague,['drl'],[],5,25,1
2021-11-14 18:48:16 UTC,See you in finals AlexFPV  #DRL  |   https://t.co/iiU38oYWwe,droneraceleague,['drl'],[],6,30,0
