created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 05:38:07 UTC,You’re on to me!!,kelicallaghan,[],[],0,1,0
2021-11-29 15:42:28 UTC,"The power of we/us!  , Algorand’s Chief Product Officer talking about what it means for us to collectively move and create value.  https://t.co/eUVbYVHJjF",kelicallaghan,[],[],34,205,2
2021-11-29 12:28:36 UTC,"Art, sustainability, algorand, when president",kelicallaghan,[],[],2,44,2
2021-11-29 10:54:08 UTC,An exciting sign of what is to come for the accelerating defi on .       #DeFi,kelicallaghan,['defi'],[],18,102,0
2021-11-28 18:17:12 UTC,Whoever steals them better post photos of them on their journey through art basel,kelicallaghan,[],[],0,1,0
2021-11-28 15:55:34 UTC,You look good there!!!  🥰,kelicallaghan,[],[],0,11,1
2021-11-28 15:38:40 UTC,#decipher + #MiamiArtWeek +  +   + #blockchain   = Algorand #NFT pillows.  https://t.co/oXx37ZIxFs,kelicallaghan,"['decipher', 'miamiartweek', 'blockchain', 'nft']",[],64,399,23
2021-11-28 01:49:55 UTC,I love seeing the amazing  community leverage  as a platform to share how they are changing the world. I can not wait for this week to kick off!,kelicallaghan,[],[],20,140,3
2021-11-27 03:30:07 UTC,i love this! here's to hoping we can do something live in your timezone in the not so distant future.  #dedication,kelicallaghan,['dedication'],[],3,21,1
2021-11-25 09:28:30 UTC,That’s a lot of amazing people all in one place!,kelicallaghan,[],[],0,9,1
2021-11-24 18:01:33 UTC,Really sad to be missing the  Championship that kicks off this week!! Love seeing the  present though!  Good luck to the players #gaming #chess    https://t.co/8VpJMPzCZo,kelicallaghan,"['gaming', 'chess']",[],30,183,3
2021-11-23 19:25:26 UTC,The #greencrypto initiatives on   keep coming! ☘️🍃🌿,kelicallaghan,['greencrypto'],[],28,140,4
2021-11-23 11:15:22 UTC,This is big!  Excited to see the  community expanding with the launch of Algomint!,kelicallaghan,[],[],35,260,6
2021-11-23 00:14:51 UTC,Love!!  See you soon!,kelicallaghan,[],[],0,11,0
2021-11-20 02:56:03 UTC,the   NFT artists do what they can to make you look better!!  Me in the metaverse has a much hipper vibe. 😆,kelicallaghan,[],[],1,13,0
2021-11-19 02:28:58 UTC,"Well done!  Flawless!  Hats off to you, your team, dev rel and",kelicallaghan,[],[],0,23,0
