created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 17:36:13 UTC,Tune into the recent interview between our founder  and crypto expert  where they discuss all things #Opulous 🗣  Full interview ➡️   https://t.co/s6akqV7sQy  $OPUL $ALGO #Crypto  https://t.co/6z2f0COhwA,opulousapp,"['opulous', 'crypto']","['opul', 'algo']",78,255,16
2021-11-29 21:46:41 UTC,Loading  ⏳   #SNFTSeason $OPUL $ALGO  https://t.co/z8oZ2oDctU,opulousapp,['snftseason'],"['opul', 'algo']",141,618,23
2021-11-29 20:45:57 UTC,We are honoured to announce that  will be releasing his upcoming track as an S-NFT with #Opulous 🎶  Find out more 👉  https://t.co/MqNBVYRKGt  This is only the beginning. RT if you're excited! 🔥  #SNFTSeason #Tyga $OPUL $ALGO  https://t.co/QZG5WdLV0B,opulousapp,"['opulous', 'snftseason', 'tyga']","['opul', 'algo']",301,754,56
2021-11-26 17:16:17 UTC,📢 S-NFT SEASON INCOMING 📢  We are rolling out our NEW releases and announcing our next HUGE artist early next week. Stay tuned 👀  RT and guess who YOU think it is 🚀  $OPUL $ALGO #Opulous  #NFTs  https://t.co/ApEDkYdbz7,opulousapp,"['opulous', 'nfts']","['opul', 'algo']",158,474,47
2021-11-25 21:16:39 UTC,"Shoutout to our special guests, team and everyone who joined #AskOpulous 🙌  We recived so many amazing questions, but these are our 3 winners:  🔥   🔥    🔥    Stay tuned as we have some juicy announcements coming soon! 🚀  $OPUL $ALGO  https://t.co/i8ROQyvZmg",opulousapp,['askopulous'],"['opul', 'algo']",18,171,7
2021-11-25 20:05:00 UTC,#AskOpulous is LIVE on Twitter Spaces!!!   Join us ➡️   https://t.co/Az5K9G7tgd  Retweet &amp; get involved! 🚀  $OPUL $ALGO #NFTs  https://t.co/PiKMrY9k2d,opulousapp,"['askopulous', 'nfts']","['opul', 'algo']",28,86,4
2021-11-25 19:00:39 UTC,Everyone give a warm $OPUL welcome to  from  👋  Set your reminder ➡️   https://t.co/Az5K9G7tgd  $OPUL $ALGO   https://t.co/RpAkHDPWcc,opulousapp,[],"['opul', 'opul', 'algo']",34,231,12
2021-11-25 18:31:33 UTC,Joining us for #AskOpulous tonight is  from #TikTok 🙌  TikTok is the go-to platform for discovering NEW music 🎶  Set your reminder ➡️   https://t.co/Az5K9G7tgd  Ask your questions in the comments below ⤵️  $OPUL $ALGO (Opinions and views are her own)  https://t.co/c2wRMXD6L3,opulousapp,"['askopulous', 'tiktok']","['opul', 'algo']",19,121,11
2021-11-25 15:33:36 UTC,We're excited to announce $OPUL advisor and artist  will be joining #AskOpulous 🙌  Tonight @ 8PM UTC on Twitter Spaces 🗣  Set your reminder  ➡️  https://t.co/Az5K9G7tgd  RT &amp; ask your questions in the comments below! ⤵️  $OPUL $ALGO  https://t.co/FLtEHYjGQQ,opulousapp,['askopulous'],"['opul', 'opul', 'algo']",81,306,15
2021-11-25 13:29:37 UTC,A real honour to be featured by  last night!   Supporting $OPUL &amp; always dropping GEMS 💎  Catch the full video ➡️  https://t.co/wZ66RaDMtb  $OPUL $ALGO  https://t.co/qOyzQLmqUS,opulousapp,[],"['opul', 'opul', 'algo']",49,245,9
2021-11-24 17:13:24 UTC,Congratulations to this weeks winners of our Opulous Swag Packs 🎉  ➡️  0x2f22e...8d0c9dc ➡️  0x09996...1741eb9d Drop us a DM to claim! 🤩  Stake $OPUL on  for your chance to WIN! 🔥 ➡️   https://t.co/bHOU0dNGEU  $OPUL $ALGO  https://t.co/lFCry3gBg5,opulousapp,[],"['opul', 'opul', 'algo']",15,96,4
2021-11-23 16:55:18 UTC,"Learn more about #Opulous💡  Our founder,  discusses DeFi solutions for artists + how music copyrights add real value to #NFTs 🚀  Watch the full video ➡️  https://t.co/2uOPgvToSK  Tell us why you're excited about $OPUL in the comments 🤩⤵️  $OPUL $ALGO  https://t.co/BUpfyjVzqN",opulousapp,"['opulous', 'nfts']","['opul', 'opul', 'algo']",90,312,10
2021-11-22 16:25:54 UTC,"Our pool with  has just REOPENED! 🦄  Don't miss out, as the current APY is OVER 3,500% 🚀  Find out more ➡️   https://t.co/ZpkHysnkXl  RT if you're excited for ths one! 🔥  $OPUL $ALGO #Opulous #Uniswap  https://t.co/rPJVMN0dIz",opulousapp,"['opulous', 'uniswap']","['opul', 'algo']",59,223,26
2021-11-21 22:04:27 UTC,We believe in  $ALGO,opulousapp,[],['algo'],106,711,23
2021-11-19 21:15:07 UTC,Don't forget to stake your $OPUL tokens on  💰  We want to keep giving our community the best #Opulous prizes. Let us know what YOU want in the comments below 👀⤵️  Stake $OPUL ➡️   https://t.co/bHOU0dNGEU  $ALGO  https://t.co/YAIGg1AFfi,opulousapp,['opulous'],"['opul', 'opul', 'algo']",40,180,31
2021-11-19 20:03:07 UTC,🔥  What. A. Week. 🔥  This concludes an exciting week of updates! 🚀  Rewind and recap on all of our recent developments via the link below 🙌  ➡️  https://t.co/Hr1tl9al47  This is only the beginning. So stay tuned! 👀  RT if you've enjoyed #AnnouncementWeek!   $OPUL $ALGO  https://t.co/abQeSFjWHa,opulousapp,['announcementweek'],"['opul', 'algo']",78,252,16
2021-11-18 16:04:59 UTC,Congratulations to the winners of our Opulous Swag 🎉  ➡️ 0x616389.....b322258 ➡️ 0x5d3d79....d5c4f19 Drop us a DM to claim!  Stake $OPUL on  for your chance to WIN! 🔥 ➡️  https://t.co/bHOU0e5hws  What else do YOU want to see in our swag packs? 👀  $OPUL $ALGO  https://t.co/S7xRsB0eFC,opulousapp,[],"['opul', 'opul', 'algo']",12,109,10
2021-11-17 10:39:35 UTC,A real honour to be featured in  again last night! 🔥  Amazing to have  aboard as a new $OPUL advisor 🚀  Full video ➡️  https://t.co/221TFJ4BAe  #AnnouncementWeek $OPUL $ALGO   https://t.co/DDKigKLxdv,opulousapp,['announcementweek'],"['opul', 'opul', 'algo']",69,242,13
