created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 20:43:11 UTC,"📣Great question from our friend  to our CEO Seb @ #Algorand #DecipherEvent  Watch this vid for some big info drops about #Yieldly roadmap, casually dropped in 😉  #Metaverse is coming to Yieldly + #autocompounding #NFTmarketplace #liquiditymining #governance + more!  https://t.co/Tlyvy6vChR",yieldlyfinance,"['algorand', 'decipherevent', 'yieldly', 'metaverse', 'autocompounding', 'nftmarketplace', 'liquiditymining', 'governance']",[],169,369,59
2021-11-30 13:45:04 UTC,"Great to meet you at #DecipherEvent🎙 Keep pumping out these awesome vids.   #Yieldly fam🦩make sure to follow  and check out his videos, they’re 🔥🔥🔥 👀  #Algorand #Yieldly #StakeYourStack #Decipher21",yieldlyfinance,"['decipherevent', 'yieldly', 'algorand', 'yieldly', 'stakeyourstack', 'decipher21']",[],7,49,3
2021-11-30 12:33:28 UTC,"Hey Folks, who’s kicking it at #Decipher today?😎  Keep an eye out for our illustrious CEO Seb Quinn 👀 📣He’ll be talking later this morning 💬   Catch the team tomorrow at the #Algorand Miami accelerator, sponsored by #Yieldly home of #DeFi on Algorand  https://t.co/iHVEnilBWQ  https://t.co/kjLWqL3apP",yieldlyfinance,"['decipher', 'algorand', 'yieldly', 'defi']",[],20,166,3
2021-11-30 10:17:40 UTC,This right here is one 🔥 #Flamborean 😍A framed Stitchbob original 👨‍🎨 featured in the #Algorand #DecipherEvent gallery.   And just look at that charity donation👀 Way to go 🦩  One of many talented artists #Yieldly are proud to work with. 💪  #NFT #ASAlliance #DeFi  https://t.co/HaU8BLQMVN,yieldlyfinance,"['flamborean', 'algorand', 'decipherevent', 'yieldly', 'nft', 'asalliance', 'defi']",[],24,188,7
2021-11-30 01:05:35 UTC,"📣 The 1st  pool has launched on Yieldly!  Stake $YLDY to get $Choice! 🤩  #ChoiceCoin #Yieldly #ASAlliance #Algorand  ✅ The largest open source #ASA project to date, Choice Coin powers #decentralised decisions &amp; #blockchain #governance🔥  https://t.co/oj4bE1b8fU",yieldlyfinance,"['choicecoin', 'yieldly', 'asalliance', 'algorand', 'asa', 'decentralised', 'blockchain', 'governance']","['yldy', 'choice']",77,225,26
2021-11-29 21:51:32 UTC,"P.S Our team will be giving away exclusive #Miami #merch for this week’s  Accelerator Networking Event sponsored by Yieldly🦩  This is your chance to meet us in-person, chat with #Algorand #accelerator teams + get free swag!  Register here:  https://t.co/0FRb1xsWGR  https://t.co/7EoQIknPHB",yieldlyfinance,"['miami', 'merch', 'algorand', 'accelerator']",[],4,47,9
2021-11-29 16:12:46 UTC,"📣 SAVE THE DATE:🗓 Wed, Dec 1  Yieldly is delighted to sponsor the  Accelerator Networking Event🦩  Register &amp; join Yieldly in-person &amp; the accelerator teams building on !  ⏰Time: 6PM – 8PM EST 🍸Venue:  📍Register here:  https://t.co/0FRb1xsWGR",yieldlyfinance,[],[],32,171,2
2021-11-29 11:28:29 UTC,"🏖#Decipher21 is upon us! 😎  #Yieldly are in town and ready to show the world that #Algorand is the future of #Defi   Check out the latest post from Yieldly CEO, Sebastian Quinn, to learn more about how and why Ethereum is in #Algorands sights.🎯   https://t.co/4MxR4HOhlD  https://t.co/KUgWifrX1e",yieldlyfinance,"['decipher21', 'yieldly', 'algorand', 'defi', 'algorands']",[],58,287,9
2021-11-26 02:05:40 UTC,"🥂Congrats to this week’s lucky #ALGO prize winner!🥂  🦩~1.5M ALGO #staked 🦩26,679 ALGO #won  #StakeYourStack on #Yieldly. Home of the #NFT no loss prize games and the most rewarding #DeFi on #Algorand  $ALGO $YLDY $SMILE $OPUL $ARCC $GEMS $XET $CHOICE  https://t.co/PXalYTpg07",yieldlyfinance,"['algo', 'staked', 'won', 'stakeyourstack', 'yieldly', 'nft', 'defi', 'algorand']","['algo', 'yldy', 'smile', 'opul', 'arcc', 'gems', 'xet', 'choice']",18,158,28
2021-11-25 23:09:26 UTC,📣 Welcome  to the #ASAlliance on #Algorand 🙌  The 1st $Choice pool launches on Yieldly 30 November 👀  ✅ Choice Coin powers #decentralised decisions &amp; #blockchain #governance. It’s also the largest open source #ASA project!  Details here👇 https://t.co/dqGRp6ZEYv,yieldlyfinance,"['asalliance', 'algorand', 'decentralised', 'blockchain', 'governance', 'asa']",['choice'],113,305,45
