created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-26 00:46:40 UTC,There's literally nothing I or anyone else can do to stop anyone from using #Avalanche.,el33th4xor,['avalanche'],[],0,6,2
2021-11-25 14:16:50 UTC,"There is indeed too much money chasing too few worthy assets. So much that at some point even memestocks and memecoins start looking attractive compared to overinflated equity and blue-chip crypto (L1's like ETH, AVAX, and others).",el33th4xor,[],[],5,44,3
2021-11-24 18:17:42 UTC,"Avalanche built a great engine for the EVM, but the fee management algo is in need of an update because it doesn't let users tap into the underlying capacity. There is also a bad interaction with metamask that we are looking into. Expect updates in the next two weeks.",el33th4xor,[],[],48,379,18
2021-11-24 14:50:04 UTC,"Hi Ryan, wishing you and yours a wonderful Thanksgiving. In the same way that ETH innovated on BTC and supported different use cases, AVAX innovates on ETH and advances the science of blockchains. We are stronger together.",el33th4xor,[],[],42,437,19
2021-11-23 21:41:21 UTC,Avalanche chains would 100% benefit from rollups! And anything that works on the EVM would immediately work on Avalanche C-Chain.,el33th4xor,[],[],0,25,2
2021-11-22 16:38:10 UTC,"Interesting point. Avalanche is akin to a microkernel, with subnet plugins that add new features. You can use the underlying machinery to add support for any VM you like.",el33th4xor,[],[],35,329,27
2021-11-22 07:56:43 UTC,"Avalanche is already scaling with subnets, and this will continue. That said, Avalanche Layer-2's will always exist. Anyone who wants to use them is most welcome.",el33th4xor,[],[],0,3,0
2021-11-22 04:12:52 UTC,"I understand that emotions are charged right now, but we're all in this together in the same EVM ecosystem, and I am a member of the Ethereum community. ETH is doing well, as is Avalanche. The space will grow substantially. Let's be civil going forward.",el33th4xor,[],[],1,44,2
2021-11-22 03:02:53 UTC,"At Avalanche, we are proud of the thousands of people whose *nodes participate in every single decision*.",el33th4xor,[],[],3,39,2
2021-11-21 18:27:36 UTC,"I keep hearing this: ""but but but some day Avalanche will be as slow as Ethereum.""  No. Avalanche brought us the biggest breakthroughs in consensus and bridging. We will address lesser engineering problems without batting an eyelid.",el33th4xor,[],[],255,1602,111
2021-11-21 01:55:01 UTC,"All but one of them performs an all-to-all signature collection. Only one of them, #Avalanche, does something more efficient.",el33th4xor,['avalanche'],[],0,12,0
2021-11-21 00:51:20 UTC,"This, crypto assets passing real world assets, is the kind of flippening we are excited about in the #Avalanche community.",el33th4xor,['avalanche'],[],69,684,29
2021-11-19 21:19:18 UTC,"That concludes the lesson for the smug kid in the back. Now, #Avalanche is a fun chain with arbitrage opportunities. Come and take advantage of them! Liquid markets are great! And you don't need to be a miner to take advantage of arb opportunities!",el33th4xor,['avalanche'],[],11,223,16
2021-11-18 17:57:33 UTC,"Particle Launches a New Way to Own, Collect and Experience Fine Art Through NFTs on the #Avalanche Platform.  https://t.co/l8kOG8YiDp",el33th4xor,['avalanche'],[],80,399,25
2021-11-18 15:38:21 UTC,"Sure, they can message me.",el33th4xor,[],[],0,9,0
2021-11-17 22:05:38 UTC,"Please don't be an Avalanche maxi. Let's always be open-minded, kind, and scientifically driven -- that's what got us here.",el33th4xor,[],[],231,1914,94
2021-11-16 18:00:21 UTC,"5/ And because Avalanche is a carbon neutral system, being eco-friendly aligns with the goals and values of Deloitte, and it's efforts to better help communities during natural disasters.",el33th4xor,[],[],12,268,5
2021-11-16 18:00:21 UTC,"4/ The security and fast consensus of the Avalanche network quickly gathers, processes and authenticates required documents, improving the accuracy of federal disaster claims because of the nature of how code governs the process.",el33th4xor,[],[],10,226,1
2021-11-16 18:00:21 UTC,"2/ Ava Labs and  are launching the Close As You Go platform that leverages the Avalanche blockchain to improve security, speed and accuracy of FEMA funding.  https://t.co/vHK0U3UpUk",el33th4xor,[],[],17,212,4
2021-11-16 18:00:20 UTC,"1/ Ava Labs is thrilled to announce its partnership with  to build more efficient disaster relief platforms using the Avalanche blockchain.   This effort combines the speed, resilience and adaptability of Avalanche, and Deloitte's Fortune 100 enterprise knowledge. 🧵⬇️",el33th4xor,[],[],305,1530,55
2021-11-16 12:28:54 UTC,"First of all, I lost track of the number of times ""China banned Bitcoin mining."" Just this year alone.  Second, these bans on PoW mining have no functional impact whatsoever on PoS currencies like #AVAX, ADA, DOT, SOL. Zilch. Nada.  Trade accordingly.",el33th4xor,['avax'],[],128,789,45
2021-11-13 18:44:54 UTC,"Can one do better? Maybe, but that will probably require centralization. If I build a chain that's implemented on my laptop, I can get even lower numbers, but such systems are worthless. With thousands of validators, #Avalanche is also one of the most decentralized chains.",el33th4xor,['avalanche'],[],21,281,8
2021-11-13 18:44:54 UTC,"For instance, #Avalanche doesn't even have block times, it only issues a block when there's work to do. What matters is how quickly that block is finalized. Turns out, finalization is around 750ms for Avalanche these days, making it the fastest chain I've measured.",el33th4xor,['avalanche'],[],50,402,14
2021-11-13 18:44:51 UTC,"An AMM, like Trader Joe, Pango, and YetiSwap, on a fast chain, like #Avalanche (yes, it's both high capacity and low latency), will track real time prices better and offer better trading opportunities to users.",el33th4xor,['avalanche'],[],68,385,14
