username,id,language,retweets_count,tweet,hashtags,replies_count,cashtags,name,likes_count,created_at
intocryptoverse,1462831738191855618,en,102,I think this is what $AVAX is saying to $BTC right now  https://t.co/2SYHYPvx1E,[],191,"['avax', 'btc']",Benjamin Cowen,1661,2021-11-22 17:13:59 UTC
intocryptoverse,1462450993191436302,en,16,$AVAX: A Parabolic Rally  https://t.co/SrW1aN7AGg,[],142,['avax'],Benjamin Cowen,277,2021-11-21 16:01:02 UTC
intocryptoverse,1462425203687018499,en,105,$AVAX is pulling a $SOL,[],279,"['avax', 'sol']",Benjamin Cowen,2155,2021-11-21 14:18:33 UTC
intocryptoverse,1462420585124876297,en,173,$AVAX flipped $DOGE 🚀🚀🚀,[],300,"['avax', 'doge']",Benjamin Cowen,2801,2021-11-21 14:00:12 UTC
intocryptoverse,1462199382451888134,en,111,$AVAX is coming for you too $DOGE  https://t.co/zOupubsGPz,[],188,"['avax', 'doge']",Benjamin Cowen,1465,2021-11-20 23:21:13 UTC
intocryptoverse,1462085126133854228,en,306,$AVAX has flipped $SHIB Utility &gt; Memes,[],328,"['avax', 'shib']",Benjamin Cowen,4011,2021-11-20 15:47:12 UTC
intocryptoverse,1461910596291596295,en,98,$AVAX is coming for you $SHIB,[],273,"['avax', 'shib']",Benjamin Cowen,2167,2021-11-20 04:13:41 UTC
intocryptoverse,1461094027340746755,en,17,$AVAX: Green In A Sea Of Red  https://t.co/NgZ8yszzGm,[],37,['avax'],Benjamin Cowen,201,2021-11-17 22:08:56 UTC
intocryptoverse,1461034643445137421,en,12,Stake and earn rewards on your $AVAX with ITC:  https://t.co/9mmvGAo0xi,[],25,['avax'],Benjamin Cowen,124,2021-11-17 18:12:58 UTC
intocryptoverse,1460731419974635524,en,102,$AVAX is not aware of any dip,[],160,['avax'],Benjamin Cowen,2261,2021-11-16 22:08:04 UTC
intocryptoverse,1460475796724793345,en,19,$AVAX up 1.69% on the week.  https://t.co/Zee67XmAG3,[],55,['avax'],Benjamin Cowen,349,2021-11-16 05:12:18 UTC
intocryptoverse,1460088713669664775,en,20,Stake your $AVAX and earn rewards with Into The Cryptoverse:   https://t.co/9mmvGAo0xi,[],28,['avax'],Benjamin Cowen,141,2021-11-15 03:34:11 UTC
intocryptoverse,1459561343460204555,en,15,A modest 69M $ADA and 292k $AVAX staked with ITC!    https://t.co/PvYSPsUr4O  https://t.co/vrj6wYGY60,[],42,"['ada', 'avax']",Benjamin Cowen,379,2021-11-13 16:38:36 UTC
intocryptoverse,1458969837963776002,en,28,Subscribe to my youtube channel for data-driven insights on $BTC $ETH $ADA $DOT $AVAX $LINK and more!   https://t.co/FICZecLgl7,[],57,"['btc', 'eth', 'ada', 'dot', 'avax', 'link']",Benjamin Cowen,412,2021-11-12 01:28:10 UTC
intocryptoverse,1457952090026741762,en,18,Stake your $AVAX and $ADA with the ITC stake pools:  https://t.co/PvYSPsCPGe,[],37,"['avax', 'ada']",Benjamin Cowen,202,2021-11-09 06:04:00 UTC
intocryptoverse,1457712242909229058,en,39,"Houston, we have $100 $AVAX cleared for landing",[],37,['avax'],Benjamin Cowen,882,2021-11-08 14:10:56 UTC
intocryptoverse,1457485995658649604,en,84,$100 $AVAX is inevitable,[],88,['avax'],Benjamin Cowen,1350,2021-11-07 23:11:54 UTC
intocryptoverse,1457394923347619844,en,32,Pick One $BTC $ETH $DOT $AVAX $ADA $LINK,[],231,"['btc', 'eth', 'dot', 'avax', 'ada', 'link']",Benjamin Cowen,331,2021-11-07 17:10:01 UTC
intocryptoverse,1457359335374434306,en,116,$LUNA and $AVAX will flip $SHIB,[],149,"['luna', 'avax', 'shib']",Benjamin Cowen,2022,2021-11-07 14:48:36 UTC
intocryptoverse,1457163862432784387,en,45,I like $AVAX  But I like it more in price-discovery mode🚀,[],49,['avax'],Benjamin Cowen,954,2021-11-07 01:51:52 UTC
intocryptoverse,1456473815324708865,en,15,$AVAX: Price Discovery?  https://t.co/vFwxehovai,[],26,['avax'],Benjamin Cowen,195,2021-11-05 04:09:52 UTC
intocryptoverse,1456415418554408960,en,117,$AVAX should be in the top 10,[],204,['avax'],Benjamin Cowen,1757,2021-11-05 00:17:49 UTC
intocryptoverse,1456074801144025091,en,54,$AVAX making a run at the all-time-high!,[],60,['avax'],Benjamin Cowen,1144,2021-11-04 01:44:19 UTC
intocryptoverse,1454464610048819208,en,10,Come talk about $BTC $ETH $ADA $DOT $LINK $MATIC $AVAX etc. here:  https://t.co/zcOjz4tY36 Ignored messages from people pretending to be me. I will not DM you!,[],27,"['btc', 'eth', 'ada', 'dot', 'link', 'matic', 'avax']",Benjamin Cowen,163,2021-10-30 15:06:00 UTC
intocryptoverse,1454443700768153602,en,37,Pick One $AVAX $ATOM,[],127,"['avax', 'atom']",Benjamin Cowen,195,2021-10-30 13:42:55 UTC
intocryptoverse,1452840727063498752,en,12,Stake your #ADA and #AVAX with the ITC stake pools!  https://t.co/PvYSPsUr4O,"['ada', 'avax']",21,[],Benjamin Cowen,182,2021-10-26 03:33:16 UTC
intocryptoverse,1451583754728841216,en,17,#AVAX: Showing Strength  https://t.co/zwaZbaabaV,['avax'],24,[],Benjamin Cowen,231,2021-10-22 16:18:30 UTC
intocryptoverse,1451080813441798148,en,4,Stake your $ADA and $AVAX with the ITC stake pools!  https://t.co/PvYSPsCPGe,[],30,"['ada', 'avax']",Benjamin Cowen,151,2021-10-21 07:00:00 UTC
intocryptoverse,1444543235288862725,en,10,Stake your $AVAX and $ADA with the ITC stake pools:  https://t.co/PvYSPsUr4O,[],23,"['avax', 'ada']",Benjamin Cowen,212,2021-10-03 06:02:00 UTC
intocryptoverse,1440891882813501440,en,11,$AVAX: Price Discovery  https://t.co/4N79l0zvOS,[],29,['avax'],Benjamin Cowen,179,2021-09-23 04:12:49 UTC
intocryptoverse,1440833086162235394,en,28,$AVAX on the move,[],67,['avax'],Benjamin Cowen,758,2021-09-23 00:19:11 UTC
intocryptoverse,1440720758146097164,en,10,Stake your $AVAX and $ADA with the ITC stake pools:  https://t.co/PvYSPsCPGe,[],12,"['avax', 'ada']",Benjamin Cowen,169,2021-09-22 16:52:50 UTC
intocryptoverse,1439348866772570118,en,14,Where do you guys think the price of $AVAX is headed in 1 week?,[],245,['avax'],Benjamin Cowen,655,2021-09-18 22:01:26 UTC
intocryptoverse,1439067708973326336,en,29,Will $AVAX flip $SOL?,[],102,"['avax', 'sol']",Benjamin Cowen,185,2021-09-18 03:24:13 UTC
intocryptoverse,1439042929855811589,en,15,#Avalanche: Step-By-Step Tutorial on Earning Rewards On Your $AVAX!  https://t.co/mMc0Zz8liH,['avalanche'],8,['avax'],Benjamin Cowen,145,2021-09-18 01:45:45 UTC
intocryptoverse,1439031059073703937,en,12,A modest 60M $ADA and 290K $AVAX stake with ITC stake pools😎   https://t.co/PvYSPsUr4O,[],8,"['ada', 'avax']",Benjamin Cowen,235,2021-09-18 00:58:35 UTC
intocryptoverse,1436746204826767365,en,9,Come talk about $BTC $ETH $ADA $DOT $LINK $AVAX and more here:  https://t.co/zcOjz4tY36,[],18,"['btc', 'eth', 'ada', 'dot', 'link', 'avax']",Benjamin Cowen,220,2021-09-11 17:39:23 UTC
intocryptoverse,1435728174399295488,en,6,Stake your $ADA and $AVAX with the ITC Stake pools!  https://t.co/PvYSPsUr4O,[],14,"['ada', 'avax']",Benjamin Cowen,163,2021-09-08 22:14:05 UTC
intocryptoverse,1434293458777296897,en,121,Pick One $ADA $SOL $AVAX $DOT,[],478,"['ada', 'sol', 'avax', 'dot']",Benjamin Cowen,604,2021-09-04 23:13:03 UTC
intocryptoverse,1433945101835845638,en,484,"If you think #Ethereum is going to replaced, then you likely do not understand it.   #Cardano, #Polkadot, #Avalanche, #Solana etc. are all great projects, but they are not going to replace #Ethereum.","['ethereum', 'cardano', 'polkadot', 'avalanche', 'solana', 'ethereum']",957,[],Benjamin Cowen,6009,2021-09-04 00:08:48 UTC
intocryptoverse,1433251924317454336,en,127,I have my ticket $BTC $ETH $ADA $DOT $LINK $AVAX  https://t.co/LgGUzxnS3K,[],92,"['btc', 'eth', 'ada', 'dot', 'link', 'avax']",Benjamin Cowen,1509,2021-09-02 02:14:21 UTC
