created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-24 19:49:17 UTC,$AVAX Rewards have now stopped for...  🔺 $PEFI / $AVAX 🔺 $SNOB / $AVAX 🔺 $JOE / $AVAX 🔺 $MIM on Banker Joe  $JOE Rewards remain will remain  We wanted to continue $JOE / $AVAX but the farm needs a lot of $AVAX to sustain  https://t.co/DDc3FzMHVj,traderjoe_xyz,[],"['avax', 'pefi', 'avax', 'snob', 'avax', 'joe', 'avax', 'mim', 'joe', 'joe', 'avax', 'avax']",4,36,8
2021-11-24 19:49:14 UTC,Joe Rush: Phase 3  $AVAX Rewards: 🔺 $xJOE Collateral $AVAX Rewards: Continues 🔺 Two Community Farms boosted  We also have some exciting new Double Reward Farms coming very soon  Shoutout to  and  for the graphic  https://t.co/PivK0IQowH,traderjoe_xyz,[],"['avax', 'xjoe', 'avax']",32,222,11
2021-11-24 18:21:41 UTC,Maybe we should do that tonight  and also add $AVAX rewards,traderjoe_xyz,[],['avax'],1,5,2
2021-11-24 12:26:55 UTC,"Rocketed past 80,000 Followers. Over 10,000 new followers were added in 6 days📈  A clear sign of user growth for the platform and for #Avalanche 🔺  No giveaway for this one ... so are you a supporter of the $JOE community?  RT + Comment below  'Honestly, $JOE good community'  https://t.co/PiWOISisC5",traderjoe_xyz,['avalanche'],"['joe', 'joe']",242,640,211
2021-11-23 19:32:23 UTC,🔐 Risk Harbour has deployed and makes it debut as the first-ever automated risk management protocol on #Avalanche  Users can purchase protection for the Banker Joe lending pool.  Check out the thread from  below 👇,traderjoe_xyz,['avalanche'],[],17,118,7
2021-11-23 14:09:45 UTC,Imagine what a V3 Farm at Trader Joe looks like?  ...Imagine no more.   On Friday we will launch a new Double Reward farm with partners    $MELT / $AVAX with $JOE + $MELT rewards  ...Could this be the start of more double reward farms?  https://t.co/cj6nieML4J,traderjoe_xyz,[],"['melt', 'avax', 'joe', 'melt']",45,320,18
2021-11-22 19:48:03 UTC,Give us a shout when you come to #Avalanche,traderjoe_xyz,['avalanche'],[],0,7,0
2021-11-21 12:21:22 UTC,🌿 Cultivation Club Circular  Trader Joe's biweekly report on the selection and management of community farms.   New Farms 🦀  $CRA / $AVAX  🌱   $GRO / $AVAX 👻 $BLZZ / $AVAX  New Farms soon           https://t.co/pDN09zqHwC,traderjoe_xyz,[],"['cra', 'avax', 'gro', 'avax', 'blzz', 'avax']",32,155,16
2021-11-21 09:31:25 UTC,$AVAX ... and then $JOE,traderjoe_xyz,[],"['avax', 'joe']",9,268,10
2021-11-20 23:19:58 UTC,"🌿A new community farm has now launched  $GRO / $AVAX x0.5   offers leverage yield opportunities on xJOE and select JLP tokens, complete with self-repaying loans.  https://t.co/kcz9tcKQHs",traderjoe_xyz,[],"['gro', 'avax']",68,289,24
2021-11-20 21:13:27 UTC,"So  looks pretty cool ...   If you'd like to learn more about the 'first crafting game to launch on #Avalanche join us on the Trader Joe Discord, Monday 22nd 5pm GMT for a Q&amp;A with the Founder 🧙‍♂️  He might even let you know how you can go about crafting #1 card Joe  https://t.co/68QY7jGnJj",traderjoe_xyz,['avalanche'],[],60,361,17
