created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-29 21:39:22 UTC,The exciting part about a potential $ETH breakout is the layer 1 trade keeps rolling for another month  $SOL $AVAX $LUNA (any of em work except for $ADA),venturecoinist,[],"['eth', 'sol', 'avax', 'luna', 'ada']",43,795,96
2021-11-23 15:59:17 UTC,been on the $AVAX train for a minute: ape early ape often 🔺,venturecoinist,[],['avax'],6,23,2
2021-11-16 21:40:15 UTC,$AVAX is quite literally up only even when the rest of the market is dipping.  The days at 2 digits are numbered.  https://t.co/69pJyFxTvn,venturecoinist,[],['avax'],18,199,21
2021-11-13 15:18:58 UTC,"Pretty wild that the best trade for both September &amp; October is still working this month: long $SOL, $LUNA, $AVAX  Previous months you could have chosen any L1 but so far in November only these 3 are outperforming.  If it ain't broken don't fix it...  https://t.co/kwcCcaqcFZ",venturecoinist,[],"['sol', 'luna', 'avax']",11,156,39
2021-10-26 01:36:38 UTC,Back from nearly a month off the twitterverse and I'm at my desk ready to ape alongside you all once again....  I have a well diversified portfolio of $AVAX &amp; $FTM  Watchlist: •Tungsten cube •The next dog coin to make top 10 •One of  NFTs  What am I missing?  https://t.co/W3C5xprLpT,venturecoinist,[],"['avax', 'ftm']",26,427,112
2021-09-26 14:30:34 UTC,or avax or solana ya know whatever works,venturecoinist,[],[],0,0,2
2021-09-24 18:50:35 UTC,I like the yetis...I also really like the    Is there a place to search/sort all the Avalanche NFTs? That's one thing holding me back is how fragmented learning/finding about the avax nfts are,venturecoinist,[],[],3,32,14
2021-09-24 14:11:18 UTC,"Well, that was fast: $AVAX  If you chose🔺you are gmi.  https://t.co/TrlyF6wAAJ",venturecoinist,[],['avax'],13,125,16
2021-09-24 13:54:42 UTC,been enjoying watching you swing avax like an absolute king,venturecoinist,[],[],0,7,1
2021-09-23 04:57:58 UTC,amended trilemma:    1/ long more AVAX 2/ long more joe/yak/pefi/snob 3/ long more bridge memes,venturecoinist,[],[],1,12,3
2021-09-22 15:32:06 UTC,$AVAX looked strong the entire correction...nothing has changed there 🔺,venturecoinist,[],['avax'],0,7,1
2021-09-22 15:19:06 UTC,Solana breaking above the weekly open and looking stronk.  I imagine there was a lot of people forced out of their favorite L1 trade (SOL or AVAX) that want to jump back in once market finds its footing.  Expecting $SOL to reach for $150-175 soon...wrong below $130.  https://t.co/7Mur9i4Uok,venturecoinist,[],['sol'],21,193,25
2021-09-17 22:23:52 UTC,$AXS &amp; $AVAX have been my two best trades all year so logically I'm ready to ape with full size into the next ticker I see with letters 'A' &amp; 'X',venturecoinist,[],"['axs', 'avax']",14,417,69
2021-09-17 22:17:43 UTC,Talked about why I like $AVAX enough but honestly it's still my favorite chart going into the weekend.   •Dip to weekly open this morning and turned that previous resistance into support •Tapping the all-time-high level for the 3rd time today  Price discovery imminent 🔺  https://t.co/t8tl9ka4Iz,venturecoinist,[],['avax'],16,165,14
2021-09-16 12:12:04 UTC,nah I've been admittedly overweight $AVAX for a month now...and Solana has done insanely well.   but I think one is a far more interesting trade lately/rn,venturecoinist,[],['avax'],0,2,1
2021-09-16 12:08:46 UTC,Be careful out there &amp; use caution...this area is known for Solanavanches.  7 day performance: ⚪️ $SOL = - 25% 🔴 $AVAX = + 63%  https://t.co/bGx4q8SzW1,venturecoinist,[],"['sol', 'avax']",6,44,7
2021-09-14 03:02:20 UTC,it's been really fun to dive in &amp; learn alongside all the other apes...cheers 🙏,venturecoinist,[],[],1,20,3
2021-09-12 05:03:05 UTC,I wonder how much money will flow into $AVAX from these two groups:  •Missed the Solana pump but wants to join layer 1 trade •Caught Solana pump but wants to rotate profits  https://t.co/BXXRLGeztr,venturecoinist,[],['avax'],23,343,50
2021-09-12 04:36:02 UTC,$AVAX just printed a new all time high🔺  https://t.co/8eCZvbgB6Q,venturecoinist,[],['avax'],29,369,17
2021-09-10 22:20:37 UTC,New episode w/  just dropped covering biggest market themes rn &amp; frameworks to approach them:  •True driver of layer 1 trade (SOL-AVAX-FTM) •Real value is bearish in ETH Defi •SEC vs Coinbase scenarios •Bitcoin dominance   Full show:  https://t.co/OiZfj6mb4b,venturecoinist,[],[],31,144,16
2021-09-10 18:44:33 UTC,$AVAX full retrace of this week's dip in 2 days.   🔺 faders in disbelief  https://t.co/3UfVwEfiff,venturecoinist,[],['avax'],21,299,17
2021-09-08 15:24:58 UTC,I need a $AVAX nft,venturecoinist,[],['avax'],0,7,1
