likes_count,name,created_at,retweets_count,id,replies_count,hashtags,language,cashtags,tweet,username
328,Crypto.com,2021-11-30 12:00:37 UTC,69,1465651982987763712,51,[],en,[],@shopping_io Details👉  https://t.co/X91vpw8Neg,cryptocom
576,Crypto.com,2021-11-30 12:00:02 UTC,138,1465651836451393537,123,"['cryptotuesday', 'cryptocompay', 'payeverywhere']",en,[],"💥#CryptoTuesday with  https://t.co/vCNztABJoG Pay x @shopping_io  🛒Shop Amazon, eBay, Walmart and more 💰Up to 50% off 🤗Up to 10% back with  https://t.co/vCNztABJoG Pay  ⏱Sale ends on 1 Dec, 07:00 EST  Shop now👉   https://t.co/dq4CgmZgo2   #CryptoComPay #PayEverywhere  https://t.co/j2Qsmty8pn",cryptocom
299,Crypto.com,2021-11-30 11:31:24 UTC,49,1465644630377074688,36,[],en,[],Trading of BNB and other tokens available on the Binance Smart Chain (BSC) will not be affected.   Details:  https://t.co/OChQUwM2Jq,cryptocom
768,Crypto.com,2021-11-30 11:30:44 UTC,132,1465644462978199556,196,[],en,[], https://t.co/vCNztABJoG is supporting Binance Smart Chain’s mainnet upgrade.   Deposits and withdrawals on the Binance Smart Chain (BSC) network in the App and Exchange will be temporarily suspended at 16:00 UTC on 30 November 2021.  https://t.co/iuBWsKIQM0,cryptocom
1731,Crypto.com,2021-11-30 09:30:17 UTC,288,1465614149715898368,263,[],en,[],"It’s official. Team  https://t.co/vCNztATSCO is now 3,000 strong, and growing 💪  Find your next career on our jobs site, and help accelerate the world’s transition to cryptocurrency.   https://t.co/ceaHxUpqCs  https://t.co/5zccwLejRK",cryptocom
315,Crypto.com,2021-11-30 07:56:33 UTC,74,1465590561994592256,66,[],en,[],Scan this code on Snapchat to unlock the filter!  Full contest T&amp;C 👉   https://t.co/we8M9sjb9Z  https://t.co/jjNNjbSPtE,cryptocom
805,Crypto.com,2021-11-30 07:45:00 UTC,205,1465587652292341761,530,"['fftb', 'fftb', 'crofam']",en,[],Last chance to enter our #FFTB Snapchat AR lens contest!   🤳 Use our AR lens on Snapchat 👩‍🚀 Share your pic with #FFTB #CROfam 🎁 Be entered to win exclusive  https://t.co/vCNztABJoG merch  👤 Make it your Twitter profile pic &amp; 2x your chances!  https://t.co/014cKj8QD8,cryptocom
205,Crypto.com,2021-11-30 07:03:07 UTC,42,1465577112946221057,39,[],en,[],Details:  https://t.co/ZuEDoXsDCi,cryptocom
2577,Crypto.com,2021-11-30 07:02:27 UTC,318,1465576944523968516,164,[],en,[],"Calling all Spot traders…  The USDC Spot Trading Race is now on in the  https://t.co/vCNztATSCO Exchange 🔥  Prizes include: ⚽ PSGvsBrest tickets  👕 Autographed jerseys from PSG 🎁 Share of the USD 25,000 prize pool  Sign up to the campaign to participate!  https://t.co/MwMZeIh3NU",cryptocom
490,Crypto.com,2021-11-30 05:30:00 UTC,113,1465553678882852864,104,[],en,['xyo'],Deposits and withdrawals of $XYO have just been enabled on the  https://t.co/vCNztABJoG App.    Deposit now 👉  https://t.co/TAz25E29Gr   @OfficialXYO  https://t.co/hCoueT0sp8,cryptocom
