created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-23 22:51:02 UTC,$CRO IS WORTH MORE THAN $SHIB NOW LETS GOOOO  https://t.co/Dh8SwP70os,gurgavin,[],"['cro', 'shib']",14,190,33
2021-11-23 22:28:03 UTC,$CRO UP ALMOST 500% SINCE MY CALL  https://t.co/O6oAgljo2o,gurgavin,[],['cro'],3,68,17
2021-11-23 15:36:09 UTC,$CRO NEW ALL TIME HIGH 👀👀  https://t.co/tdAKMdWo14,gurgavin,[],['cro'],5,85,11
2021-11-23 01:56:08 UTC,$CRO ON IT AGAIN LOL  https://t.co/AUQSppq5xk,gurgavin,[],['cro'],4,80,17
2021-11-22 05:01:17 UTC,$CRO DID I SELL THE TOP 🤣🤣  https://t.co/URS2hLgSgl,gurgavin,[],['cro'],2,17,6
2021-11-22 02:04:39 UTC,LOOKS LIKE SOMEONE MISSED THE $CRO RUN 👀👀,gurgavin,[],['cro'],2,27,2
2021-11-21 23:51:41 UTC,$CRO PROFITS GOING BACK INTO $PLTR 👀👀👀👀  https://t.co/eCr01Uz3mn,gurgavin,[],"['cro', 'pltr']",5,132,27
2021-11-21 21:09:00 UTC,SOLD ALL MY $CRO BUT WILL LEAVE 100K LOCKED IN FOR 6 MONTHS 👀👀  https://t.co/VbEYZUYg0m,gurgavin,[],['cro'],2,69,10
2021-11-21 21:07:19 UTC,$CRO JUST HIT A DOLLAR LETS GOOO,gurgavin,[],['cro'],9,127,29
2021-11-21 18:01:48 UTC,$CRO TOKEN ALREADY UP $6 BILLION WAS 100% WORTH IT  https://t.co/CHRpir5pRO,gurgavin,[],['cro'],0,18,2
2021-11-21 17:18:45 UTC,$CRO IS ABOUT TO OVERTAKE $SHIB AND $DOGE ANYTIME NOW 🤫🤫🤫  https://t.co/0j54KmC6ml,gurgavin,[],"['cro', 'shib', 'doge']",19,147,30
2021-11-21 15:38:42 UTC,$CRO UP 270% NEW ALL TIME HIGH 👀  https://t.co/taiRPZGdAg,gurgavin,[],['cro'],7,113,20
2021-11-19 20:24:38 UTC,$CRO UP 200% SINCE MY CALL OUT 2 WEEKS AGO   WHO WANTS MY NEXT CRYPTO PICK 👀👀👀 ????,gurgavin,[],['cro'],3,181,38
2021-11-19 20:01:10 UTC,LETS GOOO $CRO 👀👀👀  https://t.co/3L3p7BDgm3,gurgavin,[],['cro'],3,68,12
2021-11-17 20:51:59 UTC,$CRO ALREADY UP 45% 😈😈😈  https://t.co/nl4LxzvDiM,gurgavin,[],['cro'],0,9,2
2021-11-17 18:31:19 UTC,SOMEONE GO STOP $CRO 🤣🤣🤣🤣  https://t.co/QasQ1ChM9M,gurgavin,[],['cro'],3,121,30
2021-11-17 14:46:10 UTC,$CRO SHOUTOUT IF YOU WERE ON THE  SPACES LAST NIGHT 👀👀👀👀👀  https://t.co/2QJwpRMMxr,gurgavin,[],['cro'],3,61,9
2021-11-17 05:04:43 UTC,TOLD YOU ABOUT $CRO :),gurgavin,[],['cro'],0,22,2
2021-11-15 07:51:28 UTC,CRYPTO PORTFOLIO UP 40% IN THE LAST 24 HOURS LETS GOO $CRO 🤣  https://t.co/ZlfXBrztuB,gurgavin,[],['cro'],1,20,3
2021-11-15 02:57:44 UTC,$CRO UP 140% NEW ALL TIME HIGH :)  https://t.co/h4ODvwiMIS,gurgavin,[],['cro'],1,70,10
2021-11-13 16:49:43 UTC,LETS GOOO $CRO,gurgavin,[],['cro'],0,7,3
2021-11-13 16:36:23 UTC,$CRO UP 120% JUST HIT A NEW ALL TIME HIGH YOU ARE WELCOME 👀👀,gurgavin,[],['cro'],0,54,17
2021-11-08 06:49:49 UTC,$CRO NEW ALL TIME HIGH YOU ARE WELCOME 👀  https://t.co/qXsct4Ac37,gurgavin,[],['cro'],3,69,10
2021-11-05 06:08:06 UTC,$CRO NEW ALL TIME HIGH MIGHT HAVE BEEN BY BUYING LOL 🤣🤣  https://t.co/fYkY1Xiyzt,gurgavin,[],['cro'],3,30,9
2021-11-05 01:23:00 UTC,ALL CRYPTO RED BUT $CRO STILL FLYING 👀👀👀👀  https://t.co/fjgrmnS8BP,gurgavin,[],['cro'],5,38,32
2021-11-04 13:56:27 UTC,$CRO IS  40% ON THE WEEK YOU ARE WELCOME 👀👀  https://t.co/UGxeKIGruR,gurgavin,[],['cro'],1,50,7
2021-11-02 22:32:35 UTC,PERFECT TIMING COINBASE IS NOW LISTING $CRO 🤣🤣🤣  https://t.co/w74NI51xZe,gurgavin,[],['cro'],3,47,3
2021-11-02 14:14:36 UTC,DONT REALLY TALK ABOUT CRYPTO HERE BUT I AM LOADING UP $CRO EVERY DAY I THINK IT CAN HIT $1 👀  https://t.co/MEdpGv7Nez,gurgavin,[],['cro'],19,181,35
