username,name,id,likes_count,hashtags,created_at,tweet,replies_count,cashtags,retweets_count,language
rektcapital,Rekt Capital,1464268183335051268,83,"['btc', 'cro', 'cryptocom', 'cryptocurrency']",2021-11-26 16:21:54 UTC,"$CRO / #BTC - #CRO #Cryptocom   After a phenomenal +450% rally, CRO has rejected from its major Monthly resistance area (red)  #cryptocurrency  https://t.co/DMplNeD3j5",11,['cro'],11,en
rektcapital,Rekt Capital,1463439489506938880,28,"['cro', 'cryptocom', 'crypto']",2021-11-24 09:28:58 UTC,$CRO / USDT - #CRO #Cryptocom   CRO has rallied over +320% since breaking out from its macro Ascending Triangle  CRO is enjoying new All Time Highs &amp; Price Discovery  Shared in the Altcoin newsletter earlier this month  Sign up for $14 a month:   https://t.co/6D0cB8N56X  #Crypto  https://t.co/vsx6RGMuYm,8,['cro'],4,en
rektcapital,Rekt Capital,1463438499898667012,88,"['btc', 'cro', 'cryptocom', 'cryptocurrency']",2021-11-24 09:25:02 UTC,$CRO / #BTC - #CRO #Cryptocom   CRO has rallied +450% since breaking out from its multi-month re-accumulation range  Over +450% up since first discussed in the Rekt Capital Altcoin newsletter  CRO has reached a major Monthly resistance area (red)  #cryptocurrency  https://t.co/jWo2retC89,11,['cro'],10,en
rektcapital,Rekt Capital,1463227098022174720,76,"['btc', 'cro', 'cryptocom', 'cryptocurrency']",2021-11-23 19:25:00 UTC,$CRO / #BTC - #CRO #Cryptocom   CRO has rallied +400% since breaking out from its multi-month re-accumulation range  Over +400% up since first discussed in the Rekt Capital Altcoin newsletter  Sign up for only $14 a month:   https://t.co/6D0cB8N56X  #cryptocurrency  https://t.co/7L6CDF7a3F,6,['cro'],5,en
rektcapital,Rekt Capital,1463222316251455489,65,"['cro', 'cryptocom', 'crypto']",2021-11-23 19:06:00 UTC,$CRO / USDT - #CRO #Cryptocom   CRO has rallied almost +300% since breaking out from its macro Ascending Triangle  CRO is enjoying new All Time Highs &amp; Price Discovery  Shared in the Altcoin newsletter earlier this month  Sign up for $14 a month:   https://t.co/6D0cB8N56X  #Crypto  https://t.co/vX8yHZJkDW,8,['cro'],3,en
rektcapital,Rekt Capital,1463127502210187271,259,['btc'],2021-11-23 12:49:14 UTC,I'm excited to announce a partnership with @cryptocom   Looking forward to testing out my new Metal Visa Card:  • Pay anywhere with Crypto  • Get $ back on purchases (cashback)  Get your card here using the code (rektcapital) and get $25 for free:   https://t.co/BXwmIe2mg2  #BTC  https://t.co/mLAjVE3Wup,46,[],14,en
rektcapital,Rekt Capital,1462497207190536203,65,"['cro', 'cryptocom', 'crypto']",2021-11-21 19:04:40 UTC,$CRO / USDT - #CRO #Cryptocom   CRO has rallied almost +230% since breaking out from its macro Ascending Triangle  CRO is enjoying new All Time Highs and Price Discovery  #Crypto  https://t.co/0flLLVIU7X,3,['cro'],4,en
rektcapital,Rekt Capital,1462495639552634890,89,"['btc', 'cro', 'cryptocom', 'crypto']",2021-11-21 18:58:26 UTC,$CRO / #BTC - #CRO #Cryptocom   CRO has rallied over +300% since breaking out from its multi-month re-accumulation range  Over +300% up since first discussed in the Rekt Capital Altcoin newsletter  Sign up for only $14 a month:   https://t.co/6D0cB8N56X  #Crypto  https://t.co/dy6N4ckw9p,9,['cro'],7,en
rektcapital,Rekt Capital,1462365449572737027,120,"['cro', 'cryptocom', 'crypto']",2021-11-21 10:21:07 UTC,$CRO / USDT - #CRO #Cryptocom   CRO has rallied almost +200% since breaking out from its macro Ascending Triangle  CRO is enjoying new All Time Highs and Price Discovery  Shared in the Altcoin newsletter weeks ago  Sign up for only $14 a month:   https://t.co/6D0cB8N56X  #Crypto  https://t.co/M7zJgL2MOI,237,['cro'],14,en
rektcapital,Rekt Capital,1461258843342753799,47,"['cro', 'cryptocom', 'crypto']",2021-11-18 09:03:51 UTC,$CRO / USDT - #CRO #Cryptocom   CRO breaks out and has rallied +164% since breaking out from its macro Ascending Triangle  CRO is enjoying new All Time Highs  #Crypto  https://t.co/m0iWlxYmQp,2,['cro'],5,en
rektcapital,Rekt Capital,1460192513030041605,76,"['cro', 'cryptocom', 'crypto']",2021-11-15 10:26:38 UTC,$CRO / USDT - #CRO #Cryptocom   CRO breached the final red resistance to make a new All Time High today  #Crypto  https://t.co/EJ6ix8OPVi,9,['cro'],10,en
