created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-24 05:53:47 UTC,"So you’re right, I’m looking and it looks like I’ve accidentally done it more than once. I keep putting eth into cro. Not sure exactly why that keeps happening.",yatesinvesting,[],[],0,0,2
2021-11-24 05:52:17 UTC,Let me see if I can pull up my first buy. It last almost a year ago. It was actually on accident when I transferred over some eth and accidentally put it into cro,yatesinvesting,[],[],0,0,1
2021-11-24 04:47:56 UTC,I mean I see no reason to sell until atleast Christmas because then the staples centers name changes to  https://t.co/UhkhbyLdpJ,yatesinvesting,[],[],0,8,0
2021-11-24 04:39:52 UTC,$CRO is seriously just a tank.,yatesinvesting,[],['cro'],22,307,41
2021-11-23 01:36:50 UTC,"Not even a crypto trader, but here we are!   I’m just super high on $CRO. I mean just look at other exchanges. Kucoin token sitting near $23. Binance coin sitting near $565.   I’m not saying $CRO will do this, but it’s interesting to see. Their marketing team isn’t backing down!  https://t.co/92n5svI4PZ",yatesinvesting,[],"['cro', 'cro']",30,202,48
2021-11-21 23:07:42 UTC,"$CRO for the twitch partnership too?    Yea, I’m not selling this. Future Gold mine.",yatesinvesting,[],['cro'],38,307,28
2021-11-21 06:02:30 UTC,I’m really not sure what kind of price action tj expect out of $CRO. I just believe we’re extremely early.,yatesinvesting,[],['cro'],11,161,26
2021-11-20 18:07:23 UTC,Same here. Love cro,yatesinvesting,[],[],0,1,0
2021-11-19 23:32:41 UTC,Eth and Cro now. All I own. I put all my Bitcoin into eth,yatesinvesting,[],[],0,5,3
2021-11-19 20:13:30 UTC,"Serious question, how is $CRO not talked more about? I mean the staples center is being changed to the  https://t.co/UhkhbyLdpJ stadium. That’s huge….",yatesinvesting,[],['cro'],21,211,59
2021-11-18 17:59:58 UTC,I still love this. $CRO. Makes me happy,yatesinvesting,[],['cro'],2,39,6
2021-11-17 18:15:04 UTC,$CRO is goated!,yatesinvesting,[],['cro'],15,35,3
2021-11-17 18:12:16 UTC,$CRO $CRO $CRO chant in full effect!,yatesinvesting,[],"['cro', 'cro', 'cro']",15,97,11
2021-11-09 00:06:03 UTC,100% agree. $CRO will make a big move.,yatesinvesting,[],['cro'],6,63,9
2021-11-05 22:31:30 UTC,$CRO 15% today.,yatesinvesting,[],['cro'],8,51,8
2021-11-05 01:59:59 UTC,Am I crazy to think that $CRO could be big..,yatesinvesting,[],['cro'],7,95,44
