created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 00:15:00 UTC,Is Binance out of Elon Musk’s DOGE house?   The crypto exchange resumes Dogecoin withdrawals following a system glitch caused by the #DOGE wallet upgrade.   (Reporting via )  https://t.co/PHHWtOr2Zc,cointelegraph,['doge'],[],20,93,31
2021-11-29 18:12:12 UTC,Is Binance out of Elon Musk’s DOGE house?   The crypto exchange resumes Dogecoin withdrawals after a system glitch caused by the $DOGE wallet upgrade.   (Reporting via )  https://t.co/y4Wu4HbOfW,cointelegraph,[],['doge'],24,145,47
2021-11-29 13:00:14 UTC,Is Binance out of Elon Musk’s DOGE house?   The crypto exchange resumes Dogecoin withdrawals following a system glitch caused by the DOGE wallet upgrade.   (Reporting via ) https://t.co/iLiZskT6a9,cointelegraph,[],[],46,243,51
2021-11-29 11:33:33 UTC,"“No single entity was at fault” for the recent #Dogecoin withdrawals issue on Binance, the exchange officially announced.  https://t.co/NwvwNixT1T",cointelegraph,['dogecoin'],[],23,126,31
2021-11-27 15:00:26 UTC,"The major milestone for $SHIB comes as it finally gets listed on a South Korean exchange, the only memecoin available apart from Dogecoin.  https://t.co/Gha2ENvoLB   (Reporting via )",cointelegraph,[],['shib'],128,500,88
2021-11-26 08:30:01 UTC,How much DOGE is a movie ticket these days? Regal Cinemas has partnered up with Flexa to allow customers to purchase tickets with crypto.  https://t.co/vwygdUZHZQ,cointelegraph,[],[],18,77,21
2021-11-26 03:28:03 UTC,"The major milestone for $SHIB comes as it finally gets listed on a South Korean exchange, the only memecoin available apart from Dogecoin.  https://t.co/iv0w73g8Tt",cointelegraph,[],['shib'],391,1397,143
2021-11-24 23:00:30 UTC,Not so much wow.   Ripple CEO  criticizes DOGE for its “inflationary dynamics” and unlimited supply.  https://t.co/ZBhk38tfci,cointelegraph,[],[],14,73,24
2021-11-24 18:00:31 UTC,Not so much wow.   Ripple CEO  criticizes DOGE due to its “inflationary dynamics” and unlimited supply.  https://t.co/TOuwckUoCC,cointelegraph,[],[],14,92,60
2021-11-24 13:30:10 UTC,Not so much wow.   Ripple CEO  says he’s not a fan of DOGE due to its “inflationary dynamics” and unlimited supply.  https://t.co/HSxsHAdJPD,cointelegraph,[],[],30,131,43
2021-11-24 12:07:11 UTC,"It’s looking like a DOGE fight!   Binance CEO  claps back after Elon Musk complains of Dogecoin-related issues on the platform, calling out Tesla's own shortcomings.  https://t.co/7cffjRHgXh",cointelegraph,[],[],28,148,63
2021-11-24 09:55:33 UTC,"“Dogecoin has some inflationary dynamics itself that would make me reluctant to hold it,” Ripple CEO Brad Garlinghouse said.  https://t.co/5RIJgtXp6j",cointelegraph,[],[],32,213,60
2021-11-24 07:00:05 UTC,"Now you can flex with Regal!   The movie theater chain is partnering up with Flexa to allow customers to purchase movie tickets with Bitcoin, Ethereum, Dogecoin, and more.  https://t.co/fsxQi9vRMj",cointelegraph,[],[],17,89,24
2021-11-24 03:30:01 UTC,It’s looking like a DOGE fight!   Binance CEO  responds after Elon Musk complains about Dogecoin-related issues on the platform.  https://t.co/PNjpdRx3HL,cointelegraph,[],[],32,184,36
