created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 14:01:17 UTC,$DOGE tipping would be cool.,davidgokhshtein,[],['doge'],113,967,189
2021-11-28 18:09:32 UTC,I love the fact that $AMC will accept $DOGE.,davidgokhshtein,[],"['amc', 'doge']",155,1448,203
2021-11-27 14:40:25 UTC,I’m wondering if  is working with the $DOGE foundation to come up with a secondary use-case.,davidgokhshtein,[],['doge'],84,589,167
2021-11-26 16:52:19 UTC,Not getting my DOGE.   I want it to go to $0.18 though.   I’d like to pick up more.,davidgokhshtein,[],[],1,16,6
2021-11-26 15:06:57 UTC,I’d get some more $DOGE if it goes down a bit more. 🥷,davidgokhshtein,[],['doge'],70,771,242
2021-11-25 14:46:59 UTC,$DOGE - LFG!  🥷,davidgokhshtein,[],['doge'],51,489,147
2021-11-25 02:34:53 UTC,My feelings for $DOGE will never change. It’s changed everything.,davidgokhshtein,[],['doge'],135,1302,275
2021-11-24 13:20:09 UTC,"Elon is attached to $DOGE and if the expert are right, BTC is going to $500,000 per coin, so that doesn’t make any sense.   Plus, it’s more fun to pay in DOGE.",davidgokhshtein,[],['doge'],26,277,80
2021-11-24 12:54:09 UTC,"Even if Tesla accepts #Bitcoin  as payments, I don’t think people will actually use it.   $DOGE more likely.",davidgokhshtein,['bitcoin'],['doge'],172,1438,343
2021-11-22 02:45:04 UTC,$DOGE is better.,davidgokhshtein,[],['doge'],4,31,28
2021-11-21 01:22:14 UTC,Elon standing behind $DOGE is a great thing for the entire #crypto industry.,davidgokhshtein,['crypto'],['doge'],253,1788,376
2021-11-18 15:12:13 UTC,Check out this item on OpenSea  https://t.co/5vUBc9TmdS via    The $DOGE Pound -- this one is dope.,davidgokhshtein,[],['doge'],21,121,80
2021-11-18 14:47:52 UTC,"I respect $DOGE — I’ve stated that multiple times, but to say that it’s the only Meme that can exist is ridiculous.  Be flattered that someone used the Shiba to market themselves.",davidgokhshtein,[],['doge'],83,715,196
2021-11-18 11:50:37 UTC,$SHIB or $DOGE 🥷,davidgokhshtein,[],"['shib', 'doge']",181,975,530
2021-11-17 23:43:08 UTC,Does $DOGE need Elon in order to move?   I say no.,davidgokhshtein,[],['doge'],82,1123,409
2021-11-17 19:08:05 UTC,This is how $DOGE has become a brand. 🥷💯,davidgokhshtein,[],['doge'],128,590,424
2021-11-17 17:20:52 UTC,The richest person in the world has pretty much picked $DOGE as his cryptocurrency.,davidgokhshtein,[],['doge'],379,2745,465
2021-11-17 17:16:49 UTC,Do not include me with anything related to Matt Wallace.   He’s a clown.,davidgokhshtein,[],[],1,31,4
2021-11-17 17:15:47 UTC,Hey Thomas — he doesn’t know what that is.   He doesn’t even know what blockchain is.   TOOOOOOO THEEEEEEEEE MOOONNNNNN!,davidgokhshtein,[],[],77,619,31
2021-11-15 17:18:38 UTC,Tops in. 🥷  $DOGE community about to go ham.,davidgokhshtein,[],['doge'],0,8,4
2021-11-14 22:51:20 UTC,Do you have anything other than DOGE?,davidgokhshtein,[],[],0,20,1
2021-11-14 22:47:16 UTC,Not allowed to be with anyone other than $DOGE.    Check the rule book. 🥷,davidgokhshtein,[],['doge'],2,22,4
2021-11-14 17:50:35 UTC,"If I let some of the toxic DOGE community members get into my head, I would have flipped it for more $SHIB.",davidgokhshtein,[],['shib'],333,1847,289
2021-11-14 16:44:42 UTC,"Elon, when $DOGE tweet?",davidgokhshtein,[],['doge'],246,2218,679
2021-11-13 22:41:32 UTC,$DOGE will be the main currency used at $AMC until AMC themselves create their own #cryptocurrency.,davidgokhshtein,['cryptocurrency'],"['doge', 'amc']",146,1245,232
2021-11-13 17:46:24 UTC,$SHIB going to bring more people into the #crypto space just like $DOGE did.   Even $FLOKI with their marketing will bring my eyes here.,davidgokhshtein,['crypto'],"['shib', 'doge', 'floki']",543,2852,458
2021-11-13 11:41:31 UTC,"$AMC is now officially accepting #cryptocurrencies.   I can see people using $LTC to make a payment, but $DOGE is what the people want. It just fits the profile.",davidgokhshtein,['cryptocurrencies'],"['amc', 'ltc', 'doge']",115,712,138
2021-11-13 11:18:52 UTC,Somehow this has something to do with $DOGE.,davidgokhshtein,[],['doge'],175,3361,523
2021-11-12 14:07:45 UTC,One person doesn’t speak for $SHIB or any project.   And honestly — this stuff is so petty already with this DOGE vs SHIB.   I don’t care anymore. Real ones will come together and push adoption.,davidgokhshtein,[],['shib'],485,2492,515
2021-11-08 22:13:57 UTC,CEO of $AMC states working on accepting not only $DOGE but $SHIB as well.   🥷,davidgokhshtein,[],"['amc', 'doge', 'shib']",1187,5109,263
2021-11-08 19:30:45 UTC,So no peace between $SHIB and $DOGE?   I got the treaty ready….,davidgokhshtein,[],"['shib', 'doge']",246,2071,515
2021-11-08 13:54:13 UTC,"Elon Musk is now ""Lorde Edge"". Twitter interprets what it means  It spells out $DOGE 😳    https://t.co/nZyRZsAxMX",davidgokhshtein,[],['doge'],60,353,96
2021-11-08 00:25:47 UTC,"Barry, you going to swap your $BTC to $DOGE?",davidgokhshtein,[],"['btc', 'doge']",19,250,42
2021-11-07 17:42:30 UTC,"This is what I said about $SHIB. I stated that if they took off the “doge killer” tagline, I’d look into it.   If it was all about “the money” or the “engagement” I wouldn’t have given two cents about any tagline — I would have went in and been sitting on a lot of M’s.",davidgokhshtein,[],['shib'],77,454,127
2021-11-07 13:34:34 UTC,Let me pay with $DOGE…,davidgokhshtein,[],[],1,15,3
2021-11-07 00:57:57 UTC,Edit - If $DOGE can touch $0.76 — can’t $SHIB touch $0.01? 😏,davidgokhshtein,[],"['doge', 'shib']",936,5346,770
