replies_count,tweet,created_at,cashtags,username,name,id,retweets_count,likes_count,hashtags,language
81,Retweet if you want $DOGE to do this! 🔥  https://t.co/ktWhL6Zb99,2021-11-30 12:09:45 UTC,['doge'],dogecoinride,DogeCoin Ride📈,1465654281839824902,577,1303,[],en
126,Which meme coin has the strongest community? 🧐  • #Dogecoin  • #SHIB  • #FLOKI  • #BabyDogeCoin • #KISHU • #Saitama,2021-11-30 11:23:11 UTC,[],dogecoinride,DogeCoin Ride📈,1465642561184358405,34,160,"['dogecoin', 'shib', 'floki', 'babydogecoin', 'kishu', 'saitama']",en
1,@kucoincom $DOGE,2021-11-30 11:14:20 UTC,['doge'],dogecoinride,DogeCoin Ride📈,1465640331991523331,3,22,[],en
46,$DOGE TRUE VALUE IS $3.00+ 🔥,2021-11-30 08:20:02 UTC,['doge'],dogecoinride,DogeCoin Ride📈,1465596468606246917,147,775,[],en
34,"You receive 100,000 USDT - are you buying   $BTC      $DOGE      #NFTs  👇            👇             👇",2021-11-30 05:32:03 UTC,"['btc', 'doge']",dogecoinride,DogeCoin Ride📈,1465554196107862019,86,99,['nfts'],en
10,Retweet for $DOGE  Like for $SHIB,2021-11-30 03:53:39 UTC,"['doge', 'shib']",dogecoinride,DogeCoin Ride📈,1465529430378528770,122,369,[],en
5,$Doge back up to 0.22 🔥,2021-11-30 03:34:28 UTC,['doge'],dogecoinride,DogeCoin Ride📈,1465524604466774029,30,172,[],en
77,"$DOGE is going to one dollar, RT if you believe! 👏",2021-11-30 03:18:59 UTC,['doge'],dogecoinride,DogeCoin Ride📈,1465520708927250437,402,1033,[],en
25,"If you love $DOGE, RT this post. 💪",2021-11-29 14:38:11 UTC,['doge'],dogecoinride,DogeCoin Ride📈,1465329248349085703,250,584,[],en
23,Let’s goooo $Doge 🔥,2021-11-29 14:05:26 UTC,['doge'],dogecoinride,DogeCoin Ride📈,1465321002733350919,100,577,[],en
59,Amazon should definitely add $DOGE &amp; $SHIB,2021-11-29 04:42:25 UTC,"['doge', 'shib']",dogecoinride,DogeCoin Ride📈,1465179318397677571,124,801,[],en
1,@Naslet7 @krakenfx Doge but I support both!!!,2021-11-28 20:41:53 UTC,[],dogecoinride,DogeCoin Ride📈,1465058387872337929,0,1,[],en
31,$SHIB &amp; $DOGE have the strongest communities in the space.,2021-11-28 20:16:58 UTC,"['shib', 'doge']",dogecoinride,DogeCoin Ride📈,1465052116859469834,65,477,[],en
24,Retweet this tweet let’s get #DogeCoin trending 🔥📊,2021-11-28 08:33:42 UTC,[],dogecoinride,DogeCoin Ride📈,1464875134448291840,127,313,['dogecoin'],en
60,Retweet for $DOGE  Like for $SHIB,2021-11-28 07:15:47 UTC,"['doge', 'shib']",dogecoinride,DogeCoin Ride📈,1464855526496292869,237,1072,[],en
52,Who remembers this. #Tesla $Doge 🤔🐕,2021-11-28 07:01:44 UTC,['doge'],dogecoinride,DogeCoin Ride📈,1464851990186446850,111,687,['tesla'],en
