created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 19:36:52 UTC,"I ❤️  Platform, I Just Want #DOGE To Be Able To Be Staked.",dogecoinrise,['doge'],[],10,44,3
2021-11-30 15:43:49 UTC,Today Is #TippingTuesday  Don’t Forget #DOGE Was Created To Tip And Send Dog Money For Fun.,dogecoinrise,"['tippingtuesday', 'doge']",[],39,188,26
2021-11-30 15:37:03 UTC,Things To Do Today:  ➖Talk About #DOGE ➖Laugh At Memes ➖Drink Water ➖Repeat,dogecoinrise,['doge'],[],27,119,8
2021-11-29 18:56:38 UTC,"Doing A #Dogecoin Care Package Giveaway Today!!!  3 Shirts. “Dogecoin Rise Shirt,  Doge Tournament Shirt &amp;  Doge NASCAR”  Just Retweet &amp; Comment #DogecoinRise   Winner Will Be Announced In 2 Hours.  https://t.co/oQlH1fgOFX",dogecoinrise,"['dogecoin', 'dogecoinrise']",[],50,92,31
2021-11-29 18:39:26 UTC,#Dogecoin Started Memes In The Crypto World.,dogecoinrise,['dogecoin'],[],72,352,15
2021-11-29 16:47:20 UTC,Where Can I Tip You Some #Dogecoin  ?,dogecoinrise,['dogecoin'],[],9,46,5
2021-11-29 16:19:41 UTC,"Hello  Congrats On Being The New CEO At    Could You Add Adding A #Dogecoin Icon To The Hashtag On Your “To Do List”  Thank You,  -#DogeArmy",dogecoinrise,"['dogecoin', 'dogearmy']",[],24,85,8
2021-11-29 16:00:00 UTC,"Whoever The New Twitter CEO Is, Please Add An Icon To #Dogecoin Hashtag.   -#DogeArmy",dogecoinrise,"['dogecoin', 'dogearmy']",[],75,393,24
2021-11-29 15:38:40 UTC,Just Texted Me…   #Dogecoin To The Moon!!!  https://t.co/q8KQNN3Gxu,dogecoinrise,['dogecoin'],[],14,60,12
2021-11-29 15:12:47 UTC,#Dogecoin In The Green This Morning.  https://t.co/pdDf5AlZSb,dogecoinrise,['dogecoin'],[],19,102,6
2021-11-29 03:32:12 UTC,Giving #Dogecoin This Christmas. 🎅🏼🎄⛄️,dogecoinrise,['dogecoin'],[],38,250,21
2021-11-28 16:38:40 UTC,Did You Know You Can Purchase Airplane Tickets And Hotel Rooms With #DOGE On  ?  Tomorrow They Will Be Giving Away $500 In Travel Credits During Our AMA With Them On Twitter Space.   Come Join Myself And   https://t.co/T7xJ7WM1B4,dogecoinrise,['doge'],[],46,154,15
2021-11-27 04:01:00 UTC,#Dogecoin Still Remains In The Top 10 Cryptos. Good Job,dogecoinrise,['dogecoin'],[],65,401,25
2021-11-26 20:52:14 UTC,Has Anyone Spent #DOGE On #BlackFriday Sales?,dogecoinrise,"['doge', 'blackfriday']",[],13,69,6
2021-11-26 20:18:54 UTC,All I Know Is #DOGE Is On Sale.,dogecoinrise,['doge'],[],44,398,41
2021-11-26 14:46:56 UTC,Retweet If You’re Buying The #Dogecoin Dip.  Crypto #BlackFriday Sale  https://t.co/kgF7bdp6sA,dogecoinrise,"['dogecoin', 'blackfriday']",[],28,118,6
2021-11-25 16:06:56 UTC,Thankful For The #DogeArmy And #Dogecoin,dogecoinrise,"['dogearmy', 'dogecoin']",[],52,288,17
2021-11-25 15:59:12 UTC,Happy #Thanksgiving Doge Army. Can’t Wait To Hang Out With You All.  https://t.co/IHoHbmsiEd,dogecoinrise,['thanksgiving'],[],12,55,2
2021-11-24 04:08:14 UTC,Now Takes #Dogecoin Donations. Shoutout  For Being Vocal About This For A Long Time.   #AcceptDOGE,dogecoinrise,"['dogecoin', 'acceptdoge']",[],6,21,2
2021-11-24 03:34:19 UTC,Protect #Dogecoin At All Costs!  https://t.co/3lFgFb2a1A,dogecoinrise,['dogecoin'],[],162,921,65
2021-11-23 04:58:48 UTC,I Believe In #Dogecoin,dogecoinrise,['dogecoin'],[],58,479,35
2021-11-23 00:05:16 UTC,Good Job    420.69 #DOGE Successfully Sent.,dogecoinrise,['doge'],[],66,422,19
2021-11-22 18:14:51 UTC,Who In Los Angeles Would Love To Meet Up With  And I This Week At  And Try Their #Doge Chicken Sandwich?,dogecoinrise,['doge'],[],11,54,8
2021-11-22 16:55:23 UTC,"#Dogecoin Is A Sleeping Giant In My Opinion. It Surprised Us In The Past, It’ll Surprise Us Later On Down The Road. 🐕🪙🚀🌕",dogecoinrise,['dogecoin'],[],28,145,18
2021-11-22 16:44:12 UTC,What Are Your Thoughts On #Dogecoin Within The Next 6 Months?,dogecoinrise,['dogecoin'],[],28,211,89
2021-11-21 03:07:28 UTC,Please Remember That 1 Doge = 1 Doge,dogecoinrise,[],[],21,194,15
2021-11-21 02:28:36 UTC,"This Upcoming Week I’ll Be Giving Away Tons Of #Dogecoin Merch, Physical Coins And Stuff The Community Has Been Sending Me As A Thank You To Everyone.  I’m Thankful For The #DogeArmy   Thank You For Supporting My Page Since January. #DogecoinRise",dogecoinrise,"['dogecoin', 'dogearmy', 'dogecoinrise']",[],19,77,7
2021-11-21 02:20:18 UTC,Am I The Only #Dogecoin Influencer Not Shilling ?,dogecoinrise,['dogecoin'],[],5,37,8
2021-11-21 01:11:41 UTC,I’ll Send You 31 ETH Or 31 Bitcoin Or 31 Doge. Pick 1.,dogecoinrise,[],[],1,22,7
2021-11-20 19:04:15 UTC,That’s Why I Asked My Question Yesterday About The Community Because There Should Be A Community At All Times Not Just When #DOGE Goes Over 30 Cents.,dogecoinrise,['doge'],[],22,104,8
2021-11-19 16:31:07 UTC,Oh I’ve Been Realized That Since SNL. Just Seems Like There’s About 30 Real Doge Army People Left. Maybe 50,dogecoinrise,[],[],6,91,27
2021-11-18 00:25:40 UTC,"Eh Who Cares Tbh. The #DogeArmy Started The Whole Poll Stuff On Crypto Twitter So We Know Wassup. We Can’t Win All The Time. I’d Just Let Them Be. Dogecoin Started It All, Now We Just Watch The Copycats",dogecoinrise,['dogearmy'],[],1,4,1
2021-11-17 17:01:23 UTC,#Dogecoin Has Me Bullish For #Dogecoin,dogecoinrise,"['dogecoin', 'dogecoin']",[],52,309,28
2021-11-17 07:09:22 UTC,“Dogecoin College Of Dentistry” 😂😂,dogecoinrise,[],[],7,57,9
2021-11-17 03:41:51 UTC,Retweet If You Will Be Joining  And Myself Tomorrow Morning.  Our Guest  Will Be Talking About Starting A #DOGE Themed Burger &amp; Their New NFT’s Launching Soon. 🍗 🍔   10:45 AM Pacific | 1:45 PM Eastern  https://t.co/PgJI0KzsO8,dogecoinrise,['doge'],[],21,71,4
2021-11-16 18:19:49 UTC,A Doge Pound,dogecoinrise,[],[],0,12,1
2021-11-16 16:34:07 UTC,Everyone Should Tweet #TippingTuesday   Send Someone Some #Dogecoin   (NFA),dogecoinrise,"['tippingtuesday', 'dogecoin']",[],33,119,47
2021-11-16 16:10:45 UTC,#RiseRadio Doge Node 1.14.5 &amp; #TippingTuesday W/         Sponsored By      https://t.co/uuw30m5Kcq,dogecoinrise,"['riseradio', 'tippingtuesday']",[],7,49,1
2021-11-16 15:12:43 UTC,In Less Than 1 Hour. Join Us. 💻  #RiseRadio Doge Node 1.14.5 &amp; #TippingTuesday W/         Sponsored By    Come Learn About #DogeNodes    https://t.co/uuw30m5Kcq,dogecoinrise,"['riseradio', 'tippingtuesday', 'dogenodes']",[],7,43,6
2021-11-16 05:49:18 UTC,#RiseRadio Doge Node 1.14.5 &amp; #TippingTuesday W/         Sponsored By    Come Learn About #DogeNodes     https://t.co/uuw30m5Kcq,dogecoinrise,"['riseradio', 'tippingtuesday', 'dogenodes']",[],22,92,39
2021-11-16 05:09:20 UTC,Ask Him If He Has Dogecoin,dogecoinrise,[],[],3,37,0
2021-11-15 23:35:41 UTC,What Does That Mean?,dogecoinrise,[],[],1,4,2
2021-11-15 22:46:43 UTC,Mr. Not Wonderful,dogecoinrise,[],[],1,7,1
2021-11-15 21:49:51 UTC,What’s Your Favorite Thing About #Dogecoin 👇🏽,dogecoinrise,['dogecoin'],[],22,190,42
2021-11-15 21:27:59 UTC,Buy Bitcoin in 2015 when I learned about it. Buy more doge and Ethereum. Sell at 73 cents and buy back in the lowest dip.,dogecoinrise,[],[],0,16,1
2021-11-15 17:43:24 UTC,Everyone Is Waiting For  To Do These Things.  ➖Reply To Their Tweet ➖Tweet About #DOGE  ➖Send #DOGE To The Literal Moon ➖Tweet In General,dogecoinrise,"['doge', 'doge']",[],75,391,38
2021-11-15 01:13:32 UTC,Damn!!! Can You Make Dogecoin Rise?,dogecoinrise,[],[],2,6,2
2021-11-14 17:29:55 UTC,I’m Looking For Someone Who Does Illustrations And Is Willing To Be Paid In Crypto. Preferably Ethereum Or #DOGE,dogecoinrise,['doge'],[],39,259,66
2021-11-14 09:29:08 UTC,Retweet If You Want To See #DOGE Pass $0.30 #DogecoinRise  https://t.co/AgQKyQJU7x,dogecoinrise,"['doge', 'dogecoinrise']",[],374,991,60
2021-11-13 16:47:19 UTC,GM GM 😎,dogecoinrise,[],[],0,3,2
2021-11-13 16:42:12 UTC,Robbie G And The G Is For doGe,dogecoinrise,[],[],0,2,1
2021-11-13 16:41:22 UTC,GM Doge Queen NFT Queen,dogecoinrise,[],[],0,3,0
2021-11-13 16:38:22 UTC,Buy Dogecoin,dogecoinrise,[],[],2,17,3
2021-11-12 18:02:27 UTC,"In Case You Didn’t Know, I Love #Dogecoin",dogecoinrise,['dogecoin'],[],81,583,126
2021-11-12 01:52:50 UTC,I Want To Meet Everyone In The #Dogecoin Community.,dogecoinrise,['dogecoin'],[],42,388,37
2021-11-12 00:38:04 UTC,Shoutout To  For Giving #Dogecoin The OG Status.     https://t.co/x2rB4RVqdE,dogecoinrise,['dogecoin'],[],13,56,8
2021-11-11 19:05:08 UTC,I Bet You Listen To Rap Music So Your Comment Makes No Sense. The Reunion Is Just The Community Coming To Vibe Out. We Can Talk About Doge 24/7 On Spaces. It Gets Boring And Played Out. The Title Alone Is Spreading Awareness,dogecoinrise,[],[],0,0,1
2021-11-11 18:53:11 UTC,"I Still Hold My Doge And I Actually Bring Up People From The Community. If You Wanna Join Cool, If You Don’t, COOL.",dogecoinrise,[],[],1,6,1
2021-11-11 16:54:24 UTC,Why Wouldn’t I Be Interested In The Growth Of Doge Lol,dogecoinrise,[],[],1,5,2
2021-11-11 00:03:26 UTC,Please Staking #DOGE Soon.,dogecoinrise,['doge'],[],1,1,0
2021-11-10 18:27:41 UTC,1 DOGE Still = 1 DOGE,dogecoinrise,[],[],74,474,40
2021-11-09 17:55:23 UTC,This Community Is So Amazing,dogecoinrise,[],[],3,19,5
2021-11-09 16:39:26 UTC,😳 #Doge Was On TV Again.,dogecoinrise,['doge'],[],5,18,1
2021-11-09 16:31:50 UTC,Everyone Tweet #Dogecoin,dogecoinrise,['dogecoin'],[],222,683,61
2021-11-09 16:00:55 UTC,Doge Node 1.14.5,dogecoinrise,[],[],83,508,14
2021-11-09 00:06:53 UTC,Cmon #Dogecoin End The Night At $0.30 🐕🪙🚀🌕,dogecoinrise,['dogecoin'],[],88,482,20
2021-11-08 19:53:34 UTC,Doge Nodes 1.14.5  #DogecoinRise,dogecoinrise,['dogecoinrise'],[],114,515,17
2021-11-08 16:58:44 UTC,👏🏽 Everyone Who Ran Doge Node 1.14.4 Made This Happen.   Via     https://t.co/HcQ084dRm1,dogecoinrise,[],[],82,331,19
2021-11-08 15:41:25 UTC,Who Else Missed #Doge At $0.30 This Morning?,dogecoinrise,['doge'],[],60,564,43
2021-11-08 15:41:08 UTC,#Doge Is Now At $0.28  https://t.co/znQsECBzfA,dogecoinrise,['doge'],[],45,402,16
2021-11-08 15:20:19 UTC,Good Morning #DogeArmy  Today At 12 PM Pacific | 3 PM Eastern  And I Will Be Interviewing  A New #DOGE Themed NFT Project.     https://t.co/W38xjWYYFv,dogecoinrise,"['dogearmy', 'doge']",[],4,27,5
2021-11-08 04:57:16 UTC,This Is An Amazing 13 Year Old Kid In The #DogeArmy And Heavily Involved In NFT’s As Well.   Please Tip Him Some DOGE. I’m Proud Of This Young Kid.,dogecoinrise,['dogearmy'],[],19,70,14
2021-11-07 21:13:51 UTC,"I Don’t Care That Much About Crypto That I’m Gonna Defend Or Play Offense To Certain Ones. To Me It’s Not That Serious. I Love Doge, Yes And Love Other Coins. Legit Coins. If You Wanna Buy Altcoins That’s Fine. They Make They Their Money I Make Mine.",dogecoinrise,[],[],0,1,2
2021-11-07 19:24:44 UTC,"Like I Understood Where You Came From Every Time You Did It And I Love You Stood For Doge That Much, But We Can’t Control Others Not Should Care About What They Invest And Speak About.",dogecoinrise,[],[],0,4,2
2021-11-06 15:25:21 UTC,Thank You To Everyone Who Joined My Spaces This Morning. Let’s Continue To Spread Dogecoin And End Crypto Wars. #DogecoinRise,dogecoinrise,['dogecoinrise'],[],30,176,8
2021-11-06 14:51:40 UTC,Doge Nodes,dogecoinrise,[],[],0,9,1
2021-11-05 23:33:35 UTC,I Need To Find Me A Doge Babe. Congrats Nick. Don’t Let Her Spend All Your Doge,dogecoinrise,[],[],1,8,1
2021-11-05 23:32:39 UTC,"1,000 Retweets And I’ll Book  To Give Me A #Dogecoin Tattoo.",dogecoinrise,['dogecoin'],[],112,199,13
2021-11-05 20:52:38 UTC,What City Should Be The First “Doge Tour” Pop Up.   Note: I Am Looking To Make “The Doge Tour” Available In Major Cities Not Just These 4 In The Poll. Just Looking For A Place To Start For Now.  I Will Need Voluntary Help Making This Happen With The Community.   #DogecoinRise,dogecoinrise,['dogecoinrise'],[],5,42,18
2021-11-05 20:39:45 UTC,“The Doge Tour”,dogecoinrise,[],[],0,16,1
2021-11-05 20:08:44 UTC,Dear #Dogecoin Please Go To $1.00 Soon.,dogecoinrise,['dogecoin'],[],146,1046,72
2021-11-05 16:59:12 UTC,Retweet If  Should Let You Stake #Dogecoin For 69% APY Or 420% APY,dogecoinrise,['dogecoin'],[],50,171,24
2021-11-05 03:14:50 UTC,"I Want To Make  Happen Now That I’ve Met People From The Community.   I Want “The Doge Tour” To Be NON Corporate, All Small Creatives And Sponsors.   I Want It To Be Educational &amp; Fun. Most Importantly A Place In Every City Where We Can All Meet IRL.   2022.",dogecoinrise,[],[],18,113,10
2021-11-03 15:37:01 UTC,#DOGE Billboards In NYC By   https://t.co/NXJPT1j9Im,dogecoinrise,['doge'],[],126,523,24
2021-11-02 20:00:04 UTC,Do You Think There Could Be A Spaces With Them Issuing An Apology About The “Kill Dogecoin” Narrative? See If Both Communities Could Hear Eachother Out?,dogecoinrise,[],[],5,46,15
2021-11-02 19:49:56 UTC,Who Should Be The New Fake CEO Of #Dogecoin   I Pick,dogecoinrise,['dogecoin'],[],83,197,48
2021-11-02 19:47:25 UTC,If We Asked The Main Known Accounts We Engage With Daily In The #DogeArmy To Post The Coins They Own On All Echanges I Bet MOST Hold All These Other Altcoins. Everyone Here Is Trying To Make It. Even If It’s Paper Hands Or Converting Gains Into Doge.,dogecoinrise,['dogearmy'],[],5,63,9
2021-11-02 19:24:47 UTC,Is My Friend,dogecoinrise,[],[],0,2,1
2021-11-02 19:22:40 UTC,My Respect For This Message. I Feel The Same Way. I Have Been Active Less Lately Because The Same Reasons. Dogecoin Shouldn’t Be A Coin Protected Against Other Cryptocurrencies. People Shouldn’t Get Emotionally Involved With A Coin And Bash Or Bring Negativity Over Coins.,dogecoinrise,[],[],4,51,2
2021-11-01 17:56:53 UTC,So  Wallet Is Listing #BTC And #DOGE Soon.,dogecoinrise,"['btc', 'doge']",[],64,329,24
2021-11-01 15:00:55 UTC,Because We Haven’t Got Our #DOGE Tattoo Yet.,dogecoinrise,['doge'],[],1,19,2
2021-11-01 03:09:58 UTC,Doge Pound Can Make Anything Happen.,dogecoinrise,[],[],2,10,1
2021-11-01 03:08:57 UTC,Dogecoin Radio Tomorrow Morning. Live From NYC.,dogecoinrise,[],[],27,215,14
2021-10-29 15:30:52 UTC,Doge Node 1.14.4 ⚡️,dogecoinrise,[],[],77,396,12
2021-10-29 13:59:24 UTC,Who’s Ready For #DogecoinRadio This Morning?  Today We Will Be Learning About Doge Node 1.14.4 ⚡️,dogecoinrise,['dogecoinradio'],[],16,67,3
2021-10-29 02:25:25 UTC,People Don’t Have To Stick To JUST Doge. I Think The Problem Is Too Many People Caring What Others Invest In.,dogecoinrise,[],[],1,1,1
2021-10-29 01:58:49 UTC,1 Dogecoin = 1 Dogecoin,dogecoinrise,[],[],78,576,23
2021-10-28 19:10:14 UTC,Trend #Dogecoin To #1 GLOBALLY.  https://t.co/nCj115xX1e,dogecoinrise,['dogecoin'],[],125,453,35
2021-10-28 14:00:25 UTC,Seeing DOGE Jump To $0.34 Last Night Was Amazing. I Wish It Would’ve Happened In The Morning So The Community Could Go Crazy Seeing That. #DogecoinRise,dogecoinrise,['dogecoinrise'],[],70,397,22
2021-10-28 13:47:27 UTC,Good Morning #DogeArmy   Who’s Ready To Keep Seeing #Dogecoin RISE. 📈📈📈,dogecoinrise,"['dogearmy', 'dogecoin']",[],100,499,29
2021-10-28 07:34:57 UTC,Cmon #DOGE Don’t Stop!!!,dogecoinrise,['doge'],[],226,1015,37
2021-10-28 07:24:32 UTC,In #DOGE We Trust.  https://t.co/DZDEZBArTK,dogecoinrise,['doge'],[],127,532,30
