created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 18:57:08 UTC,I pick three.  #Dogecoin #ShibaInu,investments_ceo,"['dogecoin', 'shibainu']",[],13,40,9
2021-11-30 18:56:01 UTC,Hey  are you still holding your $DOGE 🤔,investments_ceo,[],['doge'],168,1493,160
2021-11-30 16:56:43 UTC,$DOGE &amp; #BABYTK,investments_ceo,['babytk'],['doge'],7,32,7
2021-11-29 23:47:31 UTC,"$DOGE is going to one dollar, RT if you believe! 👏",investments_ceo,[],['doge'],489,1329,85
2021-11-29 16:17:22 UTC,Let the $DOGE RISE! 🚀  https://t.co/Kyx5OAyBI3,investments_ceo,[],['doge'],47,244,19
2021-11-29 16:08:24 UTC,Amazon should definitely add $DOGE &amp; $SHIB,investments_ceo,[],"['doge', 'shib']",40,327,18
2021-11-29 15:40:48 UTC,If #Dogecoin hit the same market cap as #Bitcoin it would be around 8$ a coin.,investments_ceo,"['dogecoin', 'bitcoin']",[],29,220,21
2021-11-29 15:33:55 UTC,I love Dogecoin,investments_ceo,[],[],2,38,2
2021-11-29 15:06:36 UTC,#Binance fully reopens $DOGE withdrawals.,investments_ceo,['binance'],['doge'],111,926,76
2021-11-29 14:36:25 UTC,"If you love $DOGE, RT this post. 💪",investments_ceo,[],['doge'],296,656,36
2021-11-29 14:26:40 UTC,$DOGE is now trading at $0.2180.,investments_ceo,[],['doge'],33,253,13
2021-11-29 01:51:46 UTC,$DOGE TRUE VALUE IS $3.00+ 🔥,investments_ceo,[],['doge'],123,983,102
2021-11-28 22:25:52 UTC,Tesla needs to add $SHIB &amp; $DOGE 🤝,investments_ceo,[],"['shib', 'doge']",246,1454,162
2021-11-28 18:20:57 UTC,$SHIB &amp; $DOGE have the strongest communities in the space.,investments_ceo,[],"['shib', 'doge']",104,753,94
2021-11-28 18:19:29 UTC,Are you holding your $DOGE through this market? 🤔,investments_ceo,[],['doge'],86,1096,181
2021-11-28 02:20:59 UTC,$DOGE 👋,investments_ceo,[],['doge'],8,72,8
2021-11-27 07:37:20 UTC,Amazon should definitely add $DOGE &amp; $SHIB,investments_ceo,[],"['doge', 'shib']",328,1830,159
2021-11-27 05:22:29 UTC,Retweet for $DOGE  Like for $SHIB,investments_ceo,[],"['doge', 'shib']",530,2796,147
2021-11-27 05:06:49 UTC,$DOGE is up 5% in the last hour.  (0.21¢),investments_ceo,[],['doge'],38,376,35
2021-11-27 01:52:15 UTC,"If you want this to happen to $DOGE, retweet this post! 🔥  https://t.co/FSWG0q1bd8",investments_ceo,[],['doge'],1028,1798,127
2021-11-26 13:43:24 UTC,$DOGE is now at 0.20¢,investments_ceo,[],['doge'],100,914,158
2021-11-25 21:01:39 UTC,Hey  is  going to accept $DOGE in the future?,investments_ceo,[],['doge'],138,1098,94
