created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 19:57:47 UTC,"Great refresher, thank you Christine and Devs!",itsallrisky,[],[],12,126,3
2021-11-30 01:00:17 UTC,NEW article out now “The DogeArmy is Taking the Fight to Exchanges”  https://t.co/UFakPtBaEA $DOGE #Dogecoin,itsallrisky,['dogecoin'],['doge'],67,210,17
2021-11-29 18:44:04 UTC,Never miss a #Dogecoin update: Subscribe to my newsletter to stay up to date on $DOGE  https://t.co/3F06eI9qBa,itsallrisky,['dogecoin'],['doge'],12,52,4
2021-11-29 15:58:19 UTC,New #Dogecoin newsletter goes out later today about the #Binance withdrawal shenanigans and an update on Robinhood wallets! $DOGE   Sign up fam:  https://t.co/3F06eIr1sI,itsallrisky,"['dogecoin', 'binance']",['doge'],31,142,15
2021-11-29 14:06:11 UTC,Good morning to everyone especially #Dogecoin hodlers,itsallrisky,['dogecoin'],[],93,683,72
2021-11-28 14:39:11 UTC,Good Morning to everyone hodling #Dogecoin!,itsallrisky,['dogecoin'],[],93,700,72
2021-11-28 05:51:10 UTC,Good night to everyone hodling #Dogecoin!,itsallrisky,['dogecoin'],[],44,411,28
2021-11-27 18:11:06 UTC,If you're running an older Dogecoin node be sure to upgrade to the latest version!,itsallrisky,[],[],78,391,22
2021-11-26 07:08:12 UTC,Goodnight to all the #Dogecoin holders out there!,itsallrisky,['dogecoin'],[],53,384,73
2021-11-25 18:27:11 UTC,Dogecoin,itsallrisky,[],[],130,855,79
2021-11-25 02:43:05 UTC,Friendly reminder to consider running a Dogecoin Node!,itsallrisky,[],[],69,480,47
2021-11-25 00:02:08 UTC,Will you buy a Tesla with your $DOGE? Which one?,itsallrisky,[],['doge'],130,1279,322
2021-11-24 23:08:05 UTC,Make sure you're subscribed to my #Dogecoin newsletter to stay in the loop on the latest $DOGE news and updates!  https://t.co/3F06eI9qBa,itsallrisky,['dogecoin'],['doge'],29,116,15
2021-11-24 20:01:19 UTC,Doge,itsallrisky,[],[],103,814,119
2021-11-24 17:18:36 UTC,Billy after warding off Twitter trolls and crypto bots:  https://t.co/DtlzeCfReL,itsallrisky,[],[],4,52,5
2021-11-24 17:06:48 UTC,"Thanks CZ, keep working hard, it means a lot to the $DOGE community to prioritize this and keep us updated so we can make sure The People's Crypto is back in the hands of the people!",itsallrisky,[],['doge'],28,260,0
2021-11-24 13:46:11 UTC,Good morning to everyone except Dogecoin haters!!,itsallrisky,[],[],68,630,78
2021-11-24 05:59:10 UTC,Good night Dogecoin Family!,itsallrisky,[],[],14,229,21
2021-11-24 02:23:08 UTC,Describe Dogecoin with one emoji 👇,itsallrisky,[],[],48,479,340
2021-11-24 01:28:36 UTC,Lots of good things happening for $DOGE:  - Largest wallet is confirmed  - Devs are HARD at work making $DOGE amazing -  continues to support #Dogecoin - Community is still here months after ATH - Crypto market growing strong  Doge is JUST GETTING STARTED!!!,itsallrisky,['dogecoin'],"['doge', 'doge']",343,1278,89
2021-11-23 06:31:12 UTC,Goodnight #DOGE Family! 🚀,itsallrisky,['doge'],[],34,376,37
2021-11-23 04:41:11 UTC,"No highs, no lows, only #DOGE 🚀",itsallrisky,['doge'],[],107,726,44
2021-11-22 18:44:07 UTC,"New #Dogecoin Newsletters go out every week! Get on the email list, it's free! Sign up here:  https://t.co/3F06eI9qBa",itsallrisky,['dogecoin'],[],20,80,6
2021-11-22 05:52:09 UTC,Goodnight to everyone who loves $DOGE!,itsallrisky,[],['doge'],34,285,38
2021-11-21 23:11:10 UTC,Doge is about positivity,itsallrisky,[],[],86,653,76
2021-11-21 05:51:11 UTC,Goodnight to everyone except the folks that don’t like #Dogecoin!,itsallrisky,['dogecoin'],[],45,410,32
2021-11-20 18:11:38 UTC,Are you running a Dogecoin node?,itsallrisky,[],[],65,424,85
2021-11-20 14:33:17 UTC,Good morning to everyone with $DOGE in their portfolio!,itsallrisky,[],['doge'],104,921,138
2021-11-20 02:06:13 UTC,#Dogecoin is only just beginning,itsallrisky,['dogecoin'],[],111,669,46
2021-11-19 13:49:11 UTC,Good morning #Dogecoin Army! 🚀,itsallrisky,['dogecoin'],[],70,517,71
2021-11-19 07:08:25 UTC,Goodnight #Dogecoin Army! 🚀,itsallrisky,['dogecoin'],[],28,287,37
2021-11-19 01:30:19 UTC,"Not to mention that Genesis is owned by Digital Currency Group, Barry Silbert's parent company  They are bad news for #Dogecoin!",itsallrisky,['dogecoin'],[],19,88,4
2021-11-18 18:27:13 UTC,Dogecoin is the People's Coin,itsallrisky,[],[],154,939,79
2021-11-18 02:43:14 UTC,"If you're running a Dogecoin Core node then be sure to update to 1.14.5!  With more folks running 1.14.5 we can push through the transaction fee reduction, which will cement $DOGE as the most practical crypto, a true coin for the people!",itsallrisky,[],['doge'],92,411,32
2021-11-17 23:08:05 UTC,Never miss a #Dogecoin update: Subscribe to my newsletter to stay up to date on $DOGE  https://t.co/3F06eI9qBa,itsallrisky,['dogecoin'],['doge'],19,75,13
2021-11-17 20:01:09 UTC,Don't Doubt Doge,itsallrisky,[],[],94,697,74
2021-11-17 02:23:09 UTC,What are your price predictions for $DOGE at the end of the year?,itsallrisky,[],['doge'],89,755,439
2021-11-15 19:06:26 UTC,This is why Doge is inevitable  https://t.co/6KEy9BLLak,itsallrisky,[],[],80,640,42
2021-11-15 18:44:07 UTC,Make sure you're subscribed to my #Dogecoin newsletter to stay in the loop on the latest $DOGE news and updates!  https://t.co/3F06eI9qBa,itsallrisky,['dogecoin'],['doge'],19,94,9
2021-11-15 14:06:15 UTC,GOOD MORNING #DOGE FAMILY! 🚀,itsallrisky,['doge'],[],62,570,68
2021-11-14 23:11:10 UTC,Root for the underdoge #Dogecoin,itsallrisky,['dogecoin'],[],89,540,36
2021-11-14 05:51:10 UTC,Good night to everyone hodling #Dogecoin!,itsallrisky,['dogecoin'],[],59,482,74
2021-11-14 01:58:09 UTC,"Live, Laugh, Doge",itsallrisky,[],[],115,571,109
2021-11-13 22:00:08 UTC,Were you always a $DOGE person?,itsallrisky,[],['doge'],99,1078,165
2021-11-13 18:11:07 UTC,If you're running an older Dogecoin node be sure to upgrade to the latest version!,itsallrisky,[],[],104,436,31
2021-11-13 14:33:16 UTC,Good morning to everyone especially #Dogecoin hodlers,itsallrisky,['dogecoin'],[],69,538,60
2021-11-13 02:06:10 UTC,#Dogecoin is a cultural phenomenon,itsallrisky,['dogecoin'],[],117,657,42
2021-11-13 01:00:15 UTC,NEW newsletter out now: “This Is Why Tesla  Will Accept Dogecoin”  https://t.co/2DJPWB6LVg #Dogecoin $DOGE,itsallrisky,['dogecoin'],['doge'],106,344,23
2021-11-13 00:25:58 UTC,"Do you think $Tesla will accept #Dogecoin?  I do!   Article on this in a half hour, subscribe to the email list quickly to get it in your inbox:  https://t.co/3F06eIr1sI",itsallrisky,['dogecoin'],['tesla'],61,325,39
2021-11-12 20:30:14 UTC,New #Dogecoin newsletter goes out TODAY!  Make sure you're subscribed! 👇  https://t.co/3F06eIr1sI,itsallrisky,['dogecoin'],[],33,143,12
2021-11-12 13:49:12 UTC,Good Morning to everyone hodling #Dogecoin!,itsallrisky,['dogecoin'],[],79,643,52
2021-11-12 07:08:10 UTC,Goodnight to all the #Dogecoin holders out there!,itsallrisky,['dogecoin'],[],37,391,35
2021-11-11 18:27:10 UTC,Doge brings folks together,itsallrisky,[],[],108,687,60
