created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 06:43:24 UTC,Top 15 #cryptocurrencies in the world by market capitalization (Updated 11/30/21)   1. #Bitcoin    2. #Ethereum  3. #BNB     4. #Usdtether     5. #SOL 6. #ADA 7. #XRP  8. #DOT 9. #USDC  10. #DOGE  11. #SHIB 12. #AVAX 13. #LUNA 14. #CRO 15. #WBTC,watcherguru,"['cryptocurrencies', 'bitcoin', 'ethereum', 'bnb', 'usdtether', 'sol', 'ada', 'xrp', 'dot', 'usdc', 'doge', 'shib', 'avax', 'luna', 'cro', 'wbtc']",[],317,1473,714
2021-11-30 00:37:30 UTC,Top 10 #cryptocurrencies in the world by Twitter followers (Updated 11/29/21)   1: #BNB 6.3M 2: #Bitcoin 3.8M 3: #Dogecoin 2.5M 4: #XRP 2.2M 5: #SHIB 2.1M 6: #Ethereum 1.8M  7. #CRO 1.3M 8: #SafeMoon 1.2M 9: #Cardano 1.1M 10: #Solana 1M,watcherguru,"['cryptocurrencies', 'bnb', 'bitcoin', 'dogecoin', 'xrp', 'shib', 'ethereum', 'cro', 'safemoon', 'cardano', 'solana']",[],194,995,114
2021-11-29 21:43:46 UTC,Which meme coin has the strongest community? 🧐  • #Dogecoin  • #SHIB  • #FLOKI  • #BabyDogeCoin • #KISHU • #Saitama,watcherguru,"['dogecoin', 'shib', 'floki', 'babydogecoin', 'kishu', 'saitama']",[],1035,4826,4868
2021-11-29 19:56:50 UTC,"Top 10 Cryptocurrencies Mentioned on Twitter in November 📣  1. #BTC 10,710,315 2. #SHIB 4,024,575 3. #ETH 2,747,488 4. #CAKE 1,862,156 5. #DOGE 1,760,398 6. #SOL 1,318,662 7. #SAFEMOON 1,062,273  8. #XTZ 980,792 9. #ADA 899,510 10. #CATE 699,840  (via )",watcherguru,"['btc', 'shib', 'eth', 'cake', 'doge', 'sol', 'safemoon', 'xtz', 'ada', 'cate']",[],409,1626,299
2021-11-29 14:09:59 UTC,Most Mentioned Cryptocurrencies on Twitter (Last 24 Hours)  1. $SHIB 2. $ETH 3. $BTC 4. $SOL 5. $ADA 6. $XRP 7. $DOGE 8. $XTZ 9. $LUNA 10. $AVAX,watcherguru,[],"['shib', 'eth', 'btc', 'sol', 'ada', 'xrp', 'doge', 'xtz', 'luna', 'avax']",1158,5068,873
2021-11-29 13:27:35 UTC,Can we have just 1 $DOGE,watcherguru,[],['doge'],68,700,105
2021-11-29 12:09:26 UTC,JUST IN: #Binance  fully reopens $DOGE withdrawals.,watcherguru,['binance'],['doge'],252,1998,296
2021-11-28 22:51:38 UTC,Top 15 #cryptocurrencies in the world by market capitalization (Updated 11/28/21)   1. #Bitcoin   2. #Ethereum  3. #BNB    4. #Usdtether    5. #SOL 6. #ADA 7. #XRP  8. #DOT 9. #USDC  10. #DOGE  11. #AVAX  12. #SHIB 13. #CRO    14. #LUNA  15. #WBTC,watcherguru,"['cryptocurrencies', 'bitcoin', 'ethereum', 'bnb', 'usdtether', 'sol', 'ada', 'xrp', 'dot', 'usdc', 'doge', 'avax', 'shib', 'cro', 'luna', 'wbtc']",[],112,644,202
2021-11-28 20:06:09 UTC,Top 10 #cryptocurrencies in the world by Twitter followers (Updated 11/28/21)   1: #BNB 6.2M 2: #Bitcoin 3.8M 3: #Dogecoin 2.5M 4: #XRP 2.2M 5: #SHIB 2.1M 6: #Ethereum 1.8M  7. #CRO 1.3M 8: #SafeMoon 1.2M 9: #Cardano 1.1M 10: #Solana 1M,watcherguru,"['cryptocurrencies', 'bnb', 'bitcoin', 'dogecoin', 'xrp', 'shib', 'ethereum', 'cro', 'safemoon', 'cardano', 'solana']",[],246,1259,202
2021-11-28 05:54:01 UTC,You can only choose one 🧐  1. #Dogecoin  2. #SHIB  3. #FLOKI  4. #BabyDogeCoin 5. #KISHU 6. #Saitama,watcherguru,"['dogecoin', 'shib', 'floki', 'babydogecoin', 'kishu', 'saitama']",[],1277,6070,6484
