created_at,id,hashtags,likes_count,name,cashtags,language,tweet,username,retweets_count,replies_count
2021-11-26 16:32:00 UTC,1464270724701442049,[],1345,Altcoin Daily,['dot'],en,The year is 2025. $DOT hits 8k. Would you sell?,altcoindailyio,61,383
2021-11-23 20:21:43 UTC,1463241373289619457,"['efinity', 'metaverse', 'polkadot']",723,Altcoin Daily,['efi'],en,How #Efinity will onboard the next 100M+ users into the crypto #metaverse?! 🚀  Let's discuss: -- What is Efinity? -- #Polkadot Parachain Auction -- $EFI and NFT Rewards -- &amp; MORE!  WATCH 👇 &gt;&gt;  https://t.co/uOvUOcQmTP  https://t.co/TzryJrsPul,altcoindailyio,155,258
2021-11-19 14:24:00 UTC,1461701797182062597,[],4476,Altcoin Daily,"['ada', 'dot']",en,$ADA and $DOT are just babies. We are early. 👶,altcoindailyio,345,545
2021-11-19 01:44:05 UTC,1461510557941452803,"['cryptocurrency', 'bitcoin']",206,Altcoin Daily,"['dot', 'matic', 'avax', 'floki']",en,"Let's discuss the LATEST #cryptocurrency news: -- #Bitcoin in Congress -- $DOT Parachain Auctions -- $MATIC, $AVAX, $FLOKI -- &amp; MORE!  WATCH 👇 &gt;&gt;  https://t.co/LkTmxWiRUp  https://t.co/2AR4Bi43bI",altcoindailyio,18,97
2021-11-18 17:51:39 UTC,1461391668700012548,"['acala', 'polkadot']",850,Altcoin Daily,['dot'],en,JUST IN: #Acala wins first #Polkadot parachain auction w/ $1.3B in $DOT committed 🥇,altcoindailyio,92,95
2021-11-17 19:44:57 UTC,1461057791859183616,[],2207,Altcoin Daily,"['btc', 'eth', 'dot', 'sol', 'egld', 'avax']",en,"INSANE how some people will spend $35,000 on a brand new car but will scoff at investing in $BTC, $ETH, $DOT $SOL, $EGLD, or $AVAX.",altcoindailyio,216,345
2021-11-06 07:07:20 UTC,1456880863560364036,['crypto'],353,Altcoin Daily,"['btc', 'eth', 'dot', 'avax', 'egld', 'sol', 'cro']",en,"LATE NIGHT #CRYPTO NEWS!!! 🌃🌃🌃  $BTC, $ETH, $DOT, $AVAX, $EGLD, $SOL, $CRO  GOOD VIDEO! 👇👇 &gt;&gt;  https://t.co/uICwrBBJw0  https://t.co/rYqSdbjPdY",altcoindailyio,32,122
2021-11-04 15:33:00 UTC,1456283343918489607,[],2264,Altcoin Daily,['dot'],en,"The more I learn about $DOT, the more I like it.",altcoindailyio,133,213
2021-11-04 04:23:24 UTC,1456114834110439424,"['ethereum', 'solana', 'polkadot']",1717,Altcoin Daily,[],en,"#Ethereum, #Solana, &amp; #Polkadot have all set new all time highs recently. 🔥🚀💎",altcoindailyio,204,1524
2021-11-03 23:03:14 UTC,1456034263636353033,['crypto'],470,Altcoin Daily,"['omi', 'vet', 'lrc', 'atom', 'ada', 'sol', 'dot', 'eth', 'btc']",en,"MAJOR #CRYPTO NEWS TODAY!!! 🚀🚀🚀  $OMI, $VET, $LRC, $ATOM, $ADA, $SOL, $DOT, $ETH, $BTC  GOOD VIDEO 👇 &gt;&gt;  https://t.co/WK1lJCa5kd  https://t.co/P9AxTGp8cB",altcoindailyio,84,222
2021-11-02 21:24:35 UTC,1455647046237450245,[],3648,Altcoin Daily,"['sol', 'shib', 'xrp', 'dot', 'ada', 'eth']",en,"$SOL has flipped $SHIB, $XRP, $DOT, &amp; now $ADA. Is $ETH next?",altcoindailyio,278,540
2021-11-02 07:26:21 UTC,1455436101624090626,[],2480,Altcoin Daily,['dot'],en,Polkadot $DOT price hit $50 for the first time ever. 📈,altcoindailyio,183,706
2021-11-01 22:28:25 UTC,1455300724280025088,"['mcdonalds', 'burgerking', 'crypto', 'altcoins']",346,Altcoin Daily,"['doge', 'rune', 'axax', 'ada', 'dot', 'btc']",en,"#McDonalds &amp; #BurgerKing are about to PUMP the #crypto markets!  Top 5 Best #Altcoins Making News!!! 👈👈👈  $DOGE, $RUNE, $AXAX, $ADA, $DOT, $BTC &amp; MORE!  GOOD VIDEO 👇 &gt;&gt;  https://t.co/cpgTFVD9OS  https://t.co/Q7A0pUEzcR",altcoindailyio,50,194
2021-11-01 19:49:56 UTC,1455260840865632256,['polkadot'],530,Altcoin Daily,['dot'],en,November 4th is the day #Polkadot holders.  Parachain auctions likely to begin. 👈  $DOT,altcoindailyio,67,119
2021-10-27 05:03:21 UTC,1453225785851093011,"['ethereum', 'cardano', 'solana', 'polkadot', 'cosmos', 'elrond']",793,Altcoin Daily,[],en,"Most people know #Ethereum. Many have heard of #Cardano. #Solana is on people's radar. Few have heard of #Polkadot, #Cosmos, or #Elrond.",altcoindailyio,78,293
2021-10-27 04:50:24 UTC,1453222528399388679,[],1310,Altcoin Daily,['dot'],en,Polkadot $DOT about to make a new ATH. 🚀,altcoindailyio,74,109
2021-10-20 23:36:36 UTC,1450969228979281921,['polkadot'],3417,Altcoin Daily,['dot'],en,Who likes #Polkadot? Does $DOT have fans?,altcoindailyio,147,274
2021-10-20 23:23:49 UTC,1450966010660462593,"['ethereum', 'bitcoin']",268,Altcoin Daily,"['dot', 'ada', 'luna']",en,"#ETHEREUM BREAKING OUT!!! 🚀🚀🚀  #Bitcoin Going MUCH Higher!  How High? What Next?  $DOT, $ADA, $LUNA  GOOD VIDEO 👇 &gt;&gt;  https://t.co/fSbdM8E3Xi  https://t.co/FECdtgvALg",altcoindailyio,24,54
2021-10-17 15:00:00 UTC,1449752058639228933,['polkadot'],1420,Altcoin Daily,[],en,🎯 What makes you bullish on #Polkadot?,altcoindailyio,69,293
