created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-29 21:09:48 UTC,"The future is multi-chain.  The future is multi-metaverse.  And the underlying NFT's will be multi-layered, composable, forward-compatible NFT ""lego's"" using the $RMRK 2.0 standard.   You better start paying attention to what's happening on    https://t.co/JvU1b5i26Y",donniebigbags,[],['rmrk'],144,708,40
2021-11-29 10:49:21 UTC,"Haha I'll try  I'm actually waiting for the later rounds of $DOT auctions, I think we're going to find something with a high ROI  Always looking for the next MOVR's",donniebigbags,[],['dot'],0,87,5
2021-11-29 10:46:56 UTC,"I've been holding $DOT since the public sale at $1.25  I've been holding $KSM since under $2  And I'm going be holding and crowdloaning for years to come.  200+ projects building within Dotsama now, will be thousands. Next month we see the first parachains go live on .",donniebigbags,[],"['dot', 'ksm']",130,1149,62
2021-11-29 10:19:56 UTC,$MOVR chart is well structured and in-tact even after the recent market shakeout.   This IS the most bullish layer 1 smart contract blockchain that's live in the entire Polkadot ecosystem.   No doubt the team have even more integrations up their sleeve ready to announce.  https://t.co/CwHZCMitkk,donniebigbags,[],['movr'],94,524,35
2021-11-29 09:32:43 UTC,Should be a BIG week for $KILT when these exchange listings appear.   A lot of people including myself aint touching a tier 22 exchange.   Remember it's the same token for both $DOT and $KSM. Fomo hits hard when we see what mcap Moonbeam/Acala list at,donniebigbags,[],"['kilt', 'dot', 'ksm']",117,635,50
2021-11-28 05:42:18 UTC,$DOT will   the others wont,donniebigbags,[],['dot'],26,695,31
2021-11-26 18:33:14 UTC,It's still incredibly early for the  ecosystem.   So much innovation happening and I hope we can integrate other projects such as        We'll showcase them to you all in the Kusamaverse,donniebigbags,[],[],36,335,15
2021-11-26 18:21:27 UTC,I don't care about short term price action. I make big moves and invest long term.   These are the most important tokens in my portfolio right now because we're actually BUILDING on top of them.   They are VITAL to the ecosystem.   $DOT $KSM $MOVR $RMRK $KILT,donniebigbags,[],"['dot', 'ksm', 'movr', 'rmrk', 'kilt']",142,871,61
2021-11-26 01:17:23 UTC,"The number 1 Metaverse/NFT token right now in the $DOT $KSM ecosystem is.....  $RMRK  And it has better tokenomics than everything being shilled on this post. Nearly fully circulating, 10m supply, deflationary, no parachain required",donniebigbags,[],"['dot', 'ksm', 'rmrk']",52,400,20
2021-11-25 17:30:59 UTC,Congratulations,donniebigbags,[],[],6,181,7
2021-11-25 04:11:30 UTC,My $KILT prediction was pretty spot on.   Happy it listed on a tier 22 exchange first and has all the listings coming soon.   It's drenched in FA and I'm going to enjoy tweeting it over the next months.   Just remember it's the same $KILT token for both $DOT and $KSM.  https://t.co/7k3SLRyOgg,donniebigbags,[],"['kilt', 'kilt', 'dot', 'ksm']",78,626,46
2021-11-23 22:22:04 UTC,"Well $DOT is the same thing.   It's just the that the parachains are live on $KSM right now. That's where we are buliding, and I guess that's where all the fun shit will get built first",donniebigbags,[],"['dot', 'ksm']",0,32,3
2021-11-22 20:08:46 UTC,If you want to donate to this anyway here's the just giving page.    https://t.co/FXjGVPsH2o  At the bottom they have addresses for $ETH / $DOT / $KSM  I've already donated but we're going to raise some more.,donniebigbags,[],"['eth', 'dot', 'ksm']",40,271,12
2021-11-22 18:04:46 UTC,YO  you guys are missing out on the biggest NFT/metaverse play of the $DOT $KSM ecosystem.... $RMRK   C'mon,donniebigbags,[],"['dot', 'ksm', 'rmrk']",16,130,5
2021-11-22 13:37:58 UTC,"Exactly why I am investing in the $DOT $KSM metaverse/NFT ecosystem.   Exactly why I started buying $RMRK before the banks/institutions do.   Exactly why we recruited a team to work on the protocol level, building a multiverse bridge to connect everything together",donniebigbags,[],"['dot', 'ksm', 'rmrk']",48,336,12
2021-11-22 12:36:54 UTC,KYC compliance  They can use KILT for this without having to reveal their KYC info to the DEX's themselves  But they can prove on-chain that they are NOT a USA resident for example,donniebigbags,[],[],1,14,1
2021-11-22 12:05:43 UTC,"They will want the stability/security benefits of being on Polkadot for their enterprise use cases.   Plus for the brand purposes (marketing).   But right now, there is no reason to even switch over from Kusama.",donniebigbags,[],[],0,9,1
2021-11-22 11:57:06 UTC,$KILT is the reason I got into $GLMR / $MOVR   They've been working on a liquidity mechanism for  - Polimec.   Regulators WILL crackdown on dex's. $KILT WILL create fully regulatory compliant DeFi infrastructure.   DeFi needs verified on-chain digital credentials.  https://t.co/N7c0NwVZmN,donniebigbags,[],"['kilt', 'glmr', 'movr', 'kilt']",111,594,23
2021-11-22 11:40:50 UTC,Let's look at the other top tier $DOT projects:  Moonbeam / Moonriver Acala / Karura Astar / Shiden etc.  But with $KILT it's more simple:  KILT / KILT.   One token. Both networks.,donniebigbags,[],"['dot', 'kilt']",18,308,13
2021-11-22 11:39:53 UTC,The real catalyst for $KILT comes at the end of the Kusama lease period.   After their $KSM parachain they will migrate to their parachain on $DOT.   One token for BOTH networks. They will be the first team to do this.   This is the ONLY top-tier  project with ONE token.,donniebigbags,[],"['kilt', 'ksm', 'dot']",82,532,36
2021-11-22 10:36:59 UTC,"Don't know yet.   If I had to bet money on it:  Kucoin, Kraken, Gate  They're the ones who seem to fully support the KSM auctions and the altcoins which list",donniebigbags,[],[],0,35,5
2021-11-22 10:25:31 UTC,"$KILT launches today.  Has a working product.   Working with the German federal energy agency, EU (GAIA-X), banks + more.   Former CMO and current CFO of    $KILT is the SAME token on both $DOT and $KSM  And it has a ruthless army of degens:    https://t.co/v47LCPHj7Q",donniebigbags,[],"['kilt', 'kilt', 'dot', 'ksm']",121,668,44
2021-11-21 10:39:59 UTC,"$RMRK   It's the main NFT/Metaverse play of the Polkadot ecosystem.   Token nearly fully circulating and is deflationary.   Significantly undervalued and ""cheaper"" than a LOT of low quality metaverse plays.   Perhaps a lack of shilling/marketing which only delays the inevitable",donniebigbags,[],['rmrk'],15,92,5
2021-11-21 10:33:00 UTC,I don't think anyone can provide an effective argument AGAINST that,donniebigbags,[],[],0,67,0
2021-11-21 10:32:24 UTC,Why do you think they are expensive? They should be $10b+ FDV networks,donniebigbags,[],[],0,3,1
2021-11-21 10:31:40 UTC,"Well I hold $GLMR (takeflight + parachain auction)  I just think like $KSM, $MOVR will have insane potential due to the lack of education in the market. Retail can't grasp the canary network concept yet.   $MOVR is the bull run play, $GLMR wont be out until after that",donniebigbags,[],"['glmr', 'ksm', 'movr', 'movr', 'glmr']",7,85,2
2021-11-21 10:29:46 UTC,"Well technically we got $MOVR at $0   And yeah it listed at $5  I remember buying it on the market at $50  Still though, insane gains and people were dumping it under $100   Still isn't even in the top 100",donniebigbags,[],['movr'],0,52,1
2021-11-21 10:27:30 UTC,"Yeah you're going to make a LOT of money from the take flight sale.   ROI will be crazy, congrats!",donniebigbags,[],[],0,43,3
2021-11-21 10:25:28 UTC,"But yeah, I just go for the best of the main verticals.   $DOT is the King.  $KSM is the relay chain play.  $MOVR is the Layer 1 play.   $RMRK is the NFT/metaverse play.   And next week $KILT will be the decentralised identity play.",donniebigbags,[],"['dot', 'ksm', 'movr', 'rmrk', 'kilt']",104,622,40
2021-11-21 10:19:21 UTC,"Crypto is ""easy"" if you just find the best bets in the  ecosystem.   I've been holding $KSM from $2 (ATH $621) I've been holding $MOVR from $5 (ATH $494)  Now I'm holding $RMRK from $10 to the triple digits.   All have 10m supply. But $RMRK is deflationary.",donniebigbags,[],"['ksm', 'movr', 'rmrk', 'rmrk']",193,1117,73
2021-11-15 16:01:28 UTC,"3/ Project clearly has a lot of potential, but if it succeeds it could be HUGE for the  and  ecosystem.   They've got some stuff lined up for sure.  I don't know the full details of the launch/mint etc yet. Those details will come soon I'd imagine.",donniebigbags,[],[],156,204,1
2021-11-15 06:19:47 UTC,"$ACA and $GLMR are literally neck and neck in the $DOT auctions.   It doesn't matter who wins first, the first 5 auction winners will be onboarded at the same time.   But competition within the $DOT ecosystem is great. It makes these projects deliver harder for all of us.  https://t.co/IA3LxDe1BT",donniebigbags,[],"['aca', 'glmr', 'dot', 'dot']",223,631,46
2021-11-15 06:06:57 UTC,"$RMRK   So early. Undervalued. Consolidating after the first pump.  Biggest metaverse/NFT play in the $DOT $KSM ecosystem.   Start looking into the fully diluted valuations of other ""metaverse"" tokens. They all have huge unlocks.   RMRK = nearly all tokens circulating  https://t.co/lIpeJVJN8a",donniebigbags,[],"['rmrk', 'dot', 'ksm']",329,828,72
2021-11-14 11:00:09 UTC,"Probably waiting for the perfect entry, he knows the $DOT $KSM ecosystem really well and wont want to miss out on the number 1 metaverse play",donniebigbags,[],"['dot', 'ksm']",0,8,2
2021-11-14 10:54:18 UTC,$RMRK will be the BIGGEST metaverse play in the Polkadot/Kusama ecosystem   https://t.co/dFBkXooxQK,donniebigbags,[],['rmrk'],52,172,11
2021-11-14 10:53:44 UTC,"People don't realise that RMRK is building their own metaverse  And with the entire DOT/KSM community behind it, it shall be the biggest one.   And all land sales will be done via $RMRK",donniebigbags,[],['rmrk'],7,45,3
2021-11-14 10:50:04 UTC,"not on a dex yet, we are that early lol  can only get it on kucoin/gate and whichever exchanges are coming soon",donniebigbags,[],[],0,21,1
2021-11-14 10:48:19 UTC,"Currently there is over 75million $DOT locked up in the first round of  auctions.  $3,478,500,000 of capital.   $KSM was just as crazy.   Now I wonder how much $RMRK is going to be locked up in land sales in what will be the biggest metaverse of the Dotsama ecosystem.  https://t.co/k7AgldxHyz",donniebigbags,[],"['dot', 'ksm', 'rmrk']",175,640,30
2021-11-13 11:42:40 UTC,oh FFS looks like I need to put in another 5 million $DOT,donniebigbags,[],['dot'],7,133,11
2021-11-13 07:38:00 UTC,Just look at the investors list and tokenomics  You want projects that look like this  https://t.co/CZqIls1XmJ,donniebigbags,[],[],2,12,3
2021-11-13 07:37:20 UTC,The majority of shitcoins that influencers are being paid to shill are ones with 12+ month unlocks.  Every month they're just waiting for their unlocks to dump.   They're literally ran by VC mafia's. They incubate the projects.   I will NOT invest in that crap,donniebigbags,[],[],2,12,1
2021-11-13 07:30:45 UTC,"The other token that has 10m supply is $KSM  I don't know what it is with the top  ecosystem projects, they're literal pump machines.   Normies sadly fall for the fake ""polka"" vapourware incubated by the scumbag VC's  https://t.co/nvOtrRSZay",donniebigbags,[],['ksm'],10,130,8
2021-11-13 07:26:34 UTC,"Well $KSM did go parabolic too lol   Normal behaviour for the  ecosystem I guess  Took a bit longer at the start than it did with MOVR, but then people finally woke up to it.  https://t.co/KWD5ONhLXu",donniebigbags,[],['ksm'],2,17,1
2021-11-13 07:23:36 UTC,"Put a few mil in this thing called $RMRK and bought a $770k NFT to go with it   It's only the biggest NFT/Metaverse play in the Polkadot ecosystem. Not listed on any tier 1 exchanges.   I mean, it can't go that big right? It's not like Coinbase and Facebook are entering NFT's",donniebigbags,[],['rmrk'],43,265,25
2021-11-13 07:21:00 UTC,"Well the team have tokens of course :)   And it's more sustainable than any other Polkadot/Kusama project I invest in, simply because it doesn't require a parachain.   It runs on top of Kusama itself. No parachain auctions to worry about, no node incentivisation/inflation etc  https://t.co/YUxlnXNALQ",donniebigbags,[],[],1,10,0
2021-11-13 07:16:37 UTC,"Moonriver is a fully fledged Layer 1 EVM.   With on-chain governance and forkless upgrades, it's already more superior than any supposedly ""decentralised"" chains.   Fully interoperable natively with the Polkadot and Kusama ecosystems.   Why use Matic over Movr?",donniebigbags,[],[],0,6,0
2021-11-13 07:11:12 UTC,"I did a comprehensive thread on why I went into this one, a general overview.   Business fundamentals? Any idiot can run a business.   Crypto fundamentals? Biggest NFT/metaverse play in the Polkadot ecosystem? Near fully circulated? Deflationary token mechanics?",donniebigbags,[],[],0,9,3
2021-11-12 22:46:09 UTC,"Exactly why I aped into the biggest NFT/Metaverse play on Dotsama - $RMRK  The same reason I aped into the biggest Layer 1 play on there too - $MOVR  We want the VC's to buy our bags, not buy theirs.   And it's going to happen, $DOT and $KSM are inevitable.",donniebigbags,[],"['rmrk', 'movr', 'dot', 'ksm']",240,506,20
2021-11-12 19:14:17 UTC,"12/ I want to support  and  to the best of my ability.   And to do that I have to support , it is the biggest NFT/Metaverse(announced soon) project in that ecosystem.   So from today onwards, it's going to get our full long term support.",donniebigbags,[],[],115,328,8
2021-11-12 19:13:59 UTC,"11/ What's really cool is that  is not a parachain.   100% legit substrate-based DOT/KSM project. Their NFT marketplace is built on top of KSM without smart contracts.    Gavin Wood event minted an NFT on there, he seems to be supportive of it.    https://t.co/oNO3KHa9W1",donniebigbags,[],[],122,262,4
2021-11-12 19:13:05 UTC,6/ I am such a believer in the vision of    I want to be here to witness the NFT ecosystem on  and  flourish.  But the vision is multi-chain and everything's going to be bridged to other networks including Moonriver and Ethereum.,donniebigbags,[],[],103,232,4
2021-11-12 19:12:03 UTC,"1/ I have invested heavily into $RMRK  this week.   I consider it one of the most undervalued projects in the $DOT and $KSM ecosystem.   With Coinbase's upcoming NFT platform and Facebook's foray into the metaverse, I will NOT be missing out on this vertical.",donniebigbags,[],"['rmrk', 'dot', 'ksm']",495,1492,161
