created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-29 18:54:20 UTC,#Alt top targets so far:  $ETH $ADA $VRA 👉  https://t.co/N4oE2Fxgdb  $TEL $ICX $DOT $SOL 👉  https://t.co/UDWgY3M0D1  $MATIC $LUNA $TRIAS 👉  https://t.co/SYmppMglP9  What would you like to see next?,techdev_52,['alt'],"['eth', 'ada', 'vra', 'tel', 'icx', 'dot', 'sol', 'matic', 'luna', 'trias']",71,556,261
2021-11-23 14:39:53 UTC,Thank you for all the replies on next alt targets.  $ETH $ADA $VRA  ➡️  https://t.co/bpGaC1BhSL  $TEL $ICX $SOL $DOT  ➡️  https://t.co/Mu7cDo4v8k  $LUNA $MATIC $TRIAS will be next.  Sign up at 👉  https://t.co/sFaBSgjO0W  https://t.co/NInVTRM9H9,techdev_52,[],"['eth', 'ada', 'vra', 'tel', 'icx', 'sol', 'dot', 'luna', 'matic', 'trias']",75,633,79
2021-11-20 19:40:25 UTC,Last week's issue looked at top targets for $ETH $ADA $VRA.  This week's analyzed $TEL $ICX $SOL $DOT.  All issues available now 👉  https://t.co/sFaBSgjO0W  Which would you like to see next?  https://t.co/wdse6WoSRG,techdev_52,[],"['eth', 'ada', 'vra', 'tel', 'icx', 'sol', 'dot']",100,924,274
2021-11-20 04:46:22 UTC,Thank you so much🙏. Truly delighted to read this.   Targets on $TEL $SOL $DOT $ICX in the latest issue.  Members have access to all past issues.  Register here if interested👉  https://t.co/sFaBSgjO0W,techdev_52,[],"['tel', 'sol', 'dot', 'icx']",18,373,30
2021-11-19 17:03:44 UTC,"$ICX structure looks like young $ETH.  $TEL looks like an $XRP 2017 twin.  I dive into top targets for each, plus $SOL and $DOT.  And analysis of #BTC's latest correction.  Full issue here 👉  https://t.co/UDWgY3M0D1  https://t.co/uOZN5DAdlJ",techdev_52,['btc'],"['icx', 'eth', 'tel', 'xrp', 'sol', 'dot']",265,1247,116
2021-11-19 06:08:08 UTC,"Latest full newsletter issue just sent to all members.  ➡️ #Bitcoin Top Gauge update ➡️ Detailed review of recent #BTC price action ➡️ Top targets for $ICX $DOT $SOL $TEL ➡️ Update on #alt cap  Yes, we're still very much in a bull market.  https://t.co/UDWgY3M0D1",techdev_52,"['bitcoin', 'btc', 'alt']","['icx', 'dot', 'sol', 'tel']",47,524,46
2021-11-19 02:12:23 UTC,Today's full issue *will* be out tonight to all members.  Top targets for $SOL $DOT $ICX $TEL and updates on #BTC and overall alt market.  Become a member at 👉  https://t.co/sFaBSgjO0W,techdev_52,['btc'],"['sol', 'dot', 'icx', 'tel']",24,510,27
2021-11-18 14:31:46 UTC,Today’s full issue will be released later this evening EST.  Top targets for $SOL $DOT $ICX $TEL.  Update on latest #BTC price action and where we look to be heading.  Latest issue with $ETH $ADA $VRA targets available here 👇  https://t.co/N4oE2Fxgdb,techdev_52,['btc'],"['sol', 'dot', 'icx', 'tel', 'eth', 'ada', 'vra']",51,483,52
2021-11-17 17:47:33 UTC,Working on charting top targets for $SOL $DOT $ICX $TEL for tomorrow's full issue.  All targets based on historical structures.  Will also update on #BTC and discuss timing the alt top.  All past issues at:  https://t.co/jmZZqPDQIO,techdev_52,['btc'],"['sol', 'dot', 'icx', 'tel']",76,1042,68
2021-11-16 18:08:39 UTC,Last full issue I estimated top targets for $ETH $ADA $VRA based on their similarities to past structures.  Thank you for all the replies.   This week I will cover $ICX $TEL $SOL $DOT along with #BTC updates.  Issue out Thursday to members.   https://t.co/N4oE2Fxgdb,techdev_52,['btc'],"['eth', 'ada', 'vra', 'icx', 'tel', 'sol', 'dot']",112,958,85
