created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-26 12:23:00 UTC,Congrations to  on winning the second $dot parachain auction!   Stoked for $glmr    https://t.co/CsWkNVnQ22,thecryptolark,[],"['dot', 'glmr']",34,379,83
2021-11-12 04:20:11 UTC,More than 4% of the supply of $DOT is already bid and will be locked up for the first round of parachains.,thecryptolark,[],['dot'],149,1730,124
2021-11-10 07:05:44 UTC,What top 10 #crypto has no business being there?   #bitcoin #ethereum #binance #solana $usdt #cardano #xrp $dot $doge $usdc,thecryptolark,"['crypto', 'bitcoin', 'ethereum', 'binance', 'solana', 'cardano', 'xrp']","['usdt', 'dot', 'doge', 'usdc']",141,1564,1017
2021-11-09 05:12:12 UTC,#bitcoin new all time high!  $dot crowdloans        https://t.co/FHrx6hIhLt,thecryptolark,['bitcoin'],['dot'],23,367,37
2021-11-09 03:22:10 UTC,I have put about 75% of my $dot into crowdloans. The rest I will sell later to make some sweet sweet gains with.,thecryptolark,[],['dot'],55,1547,209
2021-11-08 07:41:49 UTC,"Just so damn easy, really disliked polka dot js wallet. Guess I could have downloaded another, but instead of screwing around I just did it there",thecryptolark,[],[],0,2,2
2021-11-08 03:19:06 UTC,Just contributed to 4 $dot crowdloans via Binance  Here's what I backed   $glmr  $aca  $para  $efi,thecryptolark,[],"['dot', 'glmr', 'aca', 'para', 'efi']",44,656,109
2021-11-08 03:16:03 UTC,"Hot take, the Polka $dot JS wallet sucks",thecryptolark,[],['dot'],56,1944,333
2021-11-08 02:35:20 UTC,The huge success of $movr will likely push a lot of money into $glmr (the $dot version),thecryptolark,[],"['movr', 'glmr', 'dot']",40,492,54
2021-11-05 21:34:00 UTC,Pumped for $dot parachain auctions in a few days!,thecryptolark,[],['dot'],87,1541,104
2021-11-04 01:56:01 UTC,"Wealth Mastery issue #70 out now!  This issue  - Earn 399% on $movr by   - Music #NFTs by  - Polka $dot parachains guide  -  interview 🔥🔥🔥 - Portfolio updates, #crypto airdrops, and much more  Become a member today  https://t.co/zCSVr5zxoo",thecryptolark,"['nfts', 'crypto']","['movr', 'dot']",9,97,14
2021-11-03 09:23:00 UTC,"The #crypto dot com app was the most popular app download on Google's App Store today, the herd is coming!   BTW Coinbase was top on Apple store a few days ago!",thecryptolark,['crypto'],[],139,1695,145
2021-11-02 11:00:47 UTC,$dot going to flip $sol and $ada before parachain auctions start?,thecryptolark,[],"['dot', 'sol', 'ada']",361,5125,487
2021-11-02 03:48:34 UTC,#ethereum layer one has become the domain of rich users only. Thankfully ETH layer two is cheap to use and has a good user experience. However this is a huge opportunity for other chains to pick up users. #avalanche #solana $dot,thecryptolark,"['ethereum', 'avalanche', 'solana']",['dot'],119,1504,256
2021-11-01 22:11:07 UTC,"If #cardano could hit around 100 billion market cap on smart contract hype, then Polka $dot can probably come close based on parachain hype! $100 DOT coming",thecryptolark,['cardano'],['dot'],261,2708,163
2021-11-01 22:04:19 UTC,$dot smashing new all time highs! 9 days until parachain auctions start! I expect this will go higher before then.,thecryptolark,[],['dot'],148,2073,93
2021-10-31 07:26:28 UTC,"$efi is the #nft play by the Enjin team for the $dot ecosystem, it will be huge",thecryptolark,['nft'],"['efi', 'dot']",223,1722,131
2021-10-31 06:43:00 UTC,"Seriously though, $dot auctions 2 weeks away, going to be HUGE!",thecryptolark,[],['dot'],236,2477,147
2021-10-28 04:17:17 UTC,"Yes, I will do some content on DOT chains next week",thecryptolark,[],[],0,1,0
2021-10-27 04:55:44 UTC,"Polka $dot going to hit a new all time high before parachains in 2 weeks, wonder if we can get to $100?",thecryptolark,[],['dot'],182,2034,121
2021-10-23 22:13:00 UTC,I remain very bullish on Polka $dot in the run up to parachains launching in November.   Top 3 Auctions I plan on backing,thecryptolark,[],['dot'],131,979,116
2021-10-23 02:25:00 UTC,Are you excited about the launch of parachains on Polka $Dot next month?,thecryptolark,[],['dot'],183,3387,264
2021-10-15 10:28:18 UTC,The $dot auctions are going to be insane!,thecryptolark,[],['dot'],238,3052,191
2021-10-13 21:56:43 UTC,"$100 $dot just before parachain launch, then sell the news.",thecryptolark,[],['dot'],217,3055,231
2021-10-13 21:42:40 UTC,Polka $dot parachains coming soon!    https://t.co/9f4SgoDNri,thecryptolark,[],['dot'],80,762,34
2021-10-12 04:17:02 UTC,"Yes, I will use DOT when it is live",thecryptolark,[],[],3,42,8
2021-10-10 09:01:21 UTC,$dot face melting season will come as soon as Gavin announces parachains.,thecryptolark,[],['dot'],500,4616,282
2021-09-21 00:13:51 UTC,"Bids in right now #bitcoin $40,000 and $38,000 #ethereum $2,500 $luna $20 $dot $25 and $22  These bids represent about 20% of my cash on Binance, and about 5%-6% of my total stablecoin position.",thecryptolark,"['bitcoin', 'ethereum']","['luna', 'dot']",86,1041,130
2021-09-15 02:07:37 UTC,Download a polka dot JS wallet and participate in KSM crowdloans or some exchanges like Kraken offer it.,thecryptolark,[],[],1,13,3
2021-09-15 01:59:26 UTC,"All of this is happening and Polka Dot has not even got back to its previous all time high yet!   Buy and stake KSM or DOT to earn free crypto, bond that to earn more free crypto in one of the most anticipated networks in #crypto!   #winning",thecryptolark,"['crypto', 'winning']",[],81,554,37
2021-09-15 01:59:25 UTC,Polka Dot is also the most held asset by VCs and hedge funds. Translation big money players are balls deep in DOT.  https://t.co/7psfNZ8rBW,thecryptolark,[],[],120,577,20
2021-09-15 01:59:24 UTC,Polka Dot has been one of the biggest pre launch chains in terms of dev commitment to build. Dotsama combined has more dev activity than anyone else. KSM is number 2 right now!  https://t.co/EbG4KOdwpA,thecryptolark,[],[],87,320,6
2021-09-15 01:59:22 UTC,"DOT ecosystem is massive and growing all the time, although the hype has come down a bit with the rise of BSC, Polygon, Terra, &amp; Solana which are in production now.   But DOT has some seriously good devs building really powerful products on DOT.   It has an ecosystem ready to go  https://t.co/kdMny9nmVY",thecryptolark,[],[],100,367,4
2021-09-15 01:59:21 UTC,"So for moon mathematicians.  The more KSM bonded the less there is available the higher the price will go, plus bonding makes super sicks gains, plus you get all your KSM back = M O O N  And that is just Kusama, any day now we should be hearing from Gavin re Polka Dot paras IMO",thecryptolark,[],[],46,219,10
2021-09-15 01:59:20 UTC,I remain very bullish on the Polka $dot $ksm ecosystem.   Thread,thecryptolark,[],"['dot', 'ksm']",394,2779,163
2021-09-12 11:22:12 UTC,The insane success of $movr is going to bring a lot of attention to both $ksm and $dot!   Parachain bonders made insane gains and will get their KSM back later to once again bond for more insane gains!   Dotsama is a money machine,thecryptolark,[],"['movr', 'ksm', 'dot']",401,2178,169
2021-09-10 05:20:57 UTC,The day Gavin tells us when parachains are going live on $dot it will moon hard!,thecryptolark,[],['dot'],243,2428,191
2021-09-07 22:57:15 UTC,"Got orders filled on $dot and $egld, just missed my buy order for #bitcoin at $42,500!",thecryptolark,['bitcoin'],"['dot', 'egld']",67,1310,138
2021-09-07 06:09:47 UTC,"Polka $dot has not yet reclaimed its all time high. Parachains, when announced will probably send it to $100.",thecryptolark,[],['dot'],404,3634,248
