created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 16:32:18 UTC,Hey  Aaron Wright is another person that would probably love to speak with you about The Brooklyn Project(SEC Sanctioned) and it's involvement with Bill Hinman and the Ethereum Free Pass back in 2018.,digitalassetbuy,[],[],34,132,3
2021-11-30 16:07:56 UTC,Shots Fired! SEC &amp; ETH / Bitcoin vs. Ripple / XRP Solana Gets Clarity(Where?) #xrp #xrpthestandard    https://t.co/w6DeBaHYRq,digitalassetbuy,"['xrp', 'xrpthestandard']",[],58,255,9
2021-11-30 12:31:47 UTC,Option 1  They Didn't Know Bitcoin(And ETH) Weren't Decentralized Option 2 They Knew and they still thought it was decentralized Option 3 Someone told them they had to figure out a way to rationalize getting Bitcoin and ETH out from under Securities laws Credit   https://t.co/D6FKj9Qdye,digitalassetbuy,[],[],64,207,10
2021-11-29 22:03:37 UTC,MEDIA SILENCE On Fox Biz SEC &amp; ETH vs. Ripple / XRP / USA Coverage #xrp #xrpthestandard       https://t.co/OTHLtzoIPH,digitalassetbuy,"['xrp', 'xrpthestandard']",[],71,270,9
2021-11-29 14:53:25 UTC,Congress Watching👀👀: SEC &amp; ETH vs. Ripple / XRP / USA #xrp #xrpthestandard    https://t.co/gJ4HSeo6Y3,digitalassetbuy,"['xrp', 'xrpthestandard']",[],41,205,6
2021-11-29 14:03:19 UTC,"Joseph Grundfest  1.Helped ETH ""Create Reality"" Pre ICO(SEC loved the idea) 2. VCWG Member helped get SEC ETH Free Pass 3.Thought most ICOs were securities/frauds 4.Advised Clayton that going After XRP and not ETH would raise fundamental fairness questions about the SEC  https://t.co/vba5s50zee",digitalassetbuy,[],[],86,192,6
2021-11-28 16:28:53 UTC,After watching hundreds of hours of video on Ethereum with it's founders I can say one thing for 100%.  It is not decentralized and never was.  The plan was to say it was decentralized over and over until it became an accepted reality(with the SEC's help.  ONE BIG LIE!,digitalassetbuy,[],[],479,1741,83
2021-11-27 17:09:23 UTC,"Hey  I think you need to go back to the SEC and challenge them on what they told you in the below tweet.  Ethereum is not decentralized, the infrastructure is still being built and Joseph Lubin himself calls it a prototype and they knew it was from the very start.  https://t.co/bL0Ppebpwx",digitalassetbuy,[],[],119,479,16
2021-11-27 15:49:39 UTC,1.SEC Ethereum Free Pass 2.Ethereum Token Creation Monopoly 3.Ethereum Defi Monopoly,digitalassetbuy,[],[],64,200,11
2021-11-27 15:14:33 UTC,"Looks like Jacob Franek knew The Brooklyn Project was working with the SEC on 3/29/18.  This was about an SEC Ethereum Free Pass, Creating a token factory/money printing machine/Monopoly for ETH only and creating a Monopoly in DEFI for ETH only.  👀👀👀 ANTITRUST RETWEET Congress  https://t.co/eT2cWkpNYN",digitalassetbuy,[],[],110,271,7
2021-11-26 21:50:44 UTC,"""Similar to the Ripple Network"" Almosts sounds like an Ethereum competitor  https://t.co/DCXrY9dxl2",digitalassetbuy,[],[],47,187,5
2021-11-25 17:26:38 UTC,I’m watching Tiger King season 2 on  There are 5 Tiger Kings/Big Shorts in the  SEC XRP Ethereum Free Pass digital currency drama.,digitalassetbuy,[],[],12,122,4
2021-11-25 15:48:15 UTC,He is literally telling you Ethereum is AOL.  POW doesn't work.  They needed the Ethereum Free Pass so they could hold off competition while coordinating(because ETH has never been decentralized) the Ethereum 2.0 release.  https://t.co/QkH6PqjvKT,digitalassetbuy,[],[],155,493,43
2021-11-25 14:42:31 UTC,It Was A Weapon! SEC &amp; ETH vs. Ripple / XRP / USA #xrp #xrpthestandard    https://t.co/200VoWdm6M,digitalassetbuy,"['xrp', 'xrpthestandard']",[],62,265,9
2021-11-25 12:39:51 UTC,"?  Was this meeting about a framework for the crypto industry or for Ethereum, thus giving Eth a monopoly , a token factory and complete control of Defi?  Next we look at what all the people who were invited are currently investing their money/time in.",digitalassetbuy,[],[],25,101,4
2021-11-25 12:39:51 UTC,"Here are the top 10 Digital Assets On March 28, 2018 the day of the SEC Ethereum Free Pass Party At The SEC to create policy.   didn't get the invite.  What about the other industry leaders involved in projects on the list      https://t.co/wVuSuKEXaf",digitalassetbuy,[],[],66,254,8
2021-11-25 03:08:00 UTC,Hey  I am trying to put the SEC Ethereum Free Pass Party Guest List together.  didn’t get an invite.  Did  ?,digitalassetbuy,[],[],103,626,21
2021-11-25 03:05:09 UTC,It’s Time To Put The SEC Ethereum Free Pass Party Guest list Together.  On it.,digitalassetbuy,[],[],67,253,9
2021-11-24 23:46:17 UTC,Fox Biz Exposed! SEC &amp; ETH vs. Ripple / XRP / USA #xrp #xrpthestandard    https://t.co/0i1AUjinEo,digitalassetbuy,"['xrp', 'xrpthestandard']",[],73,296,8
2021-11-24 23:04:22 UTC,"It's only going to get worse for the Ethereum gang now.  The multiple ""no comments"" in the   OPUS.  The timeline/video(their own words) will be their downfall.  All we want is a level playing field.",digitalassetbuy,[],[],195,874,28
2021-11-24 22:54:08 UTC,The following had no comment on the   Opus / Ethereum Free Pass story.   THIS IS THE STORY:   Bill Hinman Jay Clayton      Marc Berger Am I missing anyone?,digitalassetbuy,[],[],98,322,19
