created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-29 22:01:23 UTC,"Leave a ❤️ if you know one day #Bitcoin will be trading above $100,000 and #Ethereum above $10,000!  Never get scared in the short term!",themooncarl,"['bitcoin', 'ethereum']",[],135,3134,285
2021-11-29 20:33:51 UTC,"Future Top 7:  1. $BTC 2. $ETH 3. $SOL 4. $KASTA 5. $DOT 6. $BNB 7. $ATLAS  No, neither $XRP, $SHIB nor $DOGE deserve to be there.",themooncarl,[],"['btc', 'eth', 'sol', 'kasta', 'dot', 'bnb', 'atlas', 'xrp', 'shib', 'doge']",532,4312,1871
2021-11-28 17:57:33 UTC,Top 10 cryptocurrencies:   1. #Bitcoin   2. #Ethereum  3. #BNB    4. #USDTETHER    5. #SOL 6. #ADA 7. #XRP  8. #DOT 9. #USDC  10. #DOGE   Next year we will see #Kasta⚡️ in this list!,themooncarl,"['bitcoin', 'ethereum', 'bnb', 'usdtether', 'sol', 'ada', 'xrp', 'dot', 'usdc', 'doge', 'kasta']",[],135,1182,414
2021-11-27 11:21:09 UTC,"#Ethereum will hit $20,000. Deal with it.",themooncarl,['ethereum'],[],354,3950,639
2021-11-26 22:02:56 UTC,"#Ethereum at $4,000 is cheap 🤌🏻",themooncarl,['ethereum'],[],53,920,124
2021-11-26 08:58:24 UTC,#Ethereum took a massive dump...,themooncarl,['ethereum'],[],43,741,188
2021-11-26 07:46:04 UTC,"Prices exactly 1 year ago:  #Bitcoin : $17,150 #Ethereum: $518 #BNB : $28 #Solana: $1.90 #Cardano: $0.13 #XRP: $0.53",themooncarl,"['bitcoin', 'ethereum', 'bnb', 'solana', 'cardano', 'xrp']",[],394,2317,274
2021-11-25 22:32:35 UTC,In this video I'll show you some of my huge #Bitcoin &amp; #Ethereum trades!   https://t.co/CNNLyJpVp6,themooncarl,"['bitcoin', 'ethereum']",[],14,178,57
2021-11-25 18:50:54 UTC,I’m so bullish for #Ethereum and #Kasta,themooncarl,"['ethereum', 'kasta']",[],4,117,17
2021-11-25 17:19:59 UTC,Biggest coins sorted by Twitter followers:  1: #BNB  6.2M 2: #Bitcoin  3.8M 3: #Dogecoin 2.5M 4: #XRP 2.2M 5: #SHIB 2.1M 6: #Ethereum 1.8M  7. #CRO  1.2M 8: #SafeMoon 1.2M 9: #Cardano 1.1M 10: #Solana 1M 11: #Kasta 60k  Tag you favorite Twitter community below! 👇🏻👇🏻👇🏻,themooncarl,"['bnb', 'bitcoin', 'dogecoin', 'xrp', 'shib', 'ethereum', 'cro', 'safemoon', 'cardano', 'solana', 'kasta']",[],321,1856,767
2021-11-24 19:15:31 UTC,Pick your favorite:  $BTC  $BNB  $ETH  $VET $XRP  $CRO $KASTA $AVAX $SHIB $DOGE  $ADA  $SFM $MATIC,themooncarl,[],"['btc', 'bnb', 'eth', 'vet', 'xrp', 'cro', 'kasta', 'avax', 'shib', 'doge', 'ada', 'sfm', 'matic']",513,4235,3774
2021-11-23 22:16:54 UTC,"#Ethereum could snap to $10,000 any day now.",themooncarl,['ethereum'],[],379,3928,694
2021-11-23 14:14:00 UTC,Will Ethereum flip Bitcoin next year?,themooncarl,[],[],255,3432,1221
2021-11-22 11:54:52 UTC,"#Bitcoin under $100,000 is cheap!  #Ethereum under $10,000 is cheap!",themooncarl,"['bitcoin', 'ethereum']",[],316,2929,348
2021-11-21 05:35:10 UTC,MAKE SURE TO WATCH THIS ASAP!!!  #Kasta #Bitcoin #Ethereum   https://t.co/2x4vjR6oGm,themooncarl,"['kasta', 'bitcoin', 'ethereum']",[],15,184,58
2021-11-21 05:04:07 UTC,"Price predictions for 2022!  #Bitcoin: $100,000  #Ethereum: $10,000 #BNB: $2,000  #Kasta: $20 #Solana: $600 #Shib: $0",themooncarl,"['bitcoin', 'ethereum', 'bnb', 'kasta', 'solana', 'shib']",[],629,5200,1358
2021-11-20 21:49:09 UTC,"#Ethereum could snap to $10,000 any day now!",themooncarl,['ethereum'],[],275,2897,546
2021-11-20 07:10:46 UTC,$ETH decoupling from $BTC?,themooncarl,[],"['eth', 'btc']",123,2051,415
2021-11-19 19:55:42 UTC,#ETHEREUM BREAKING OUT!!!,themooncarl,['ethereum'],[],159,2403,298
2021-11-19 19:49:26 UTC,The #ETH bullish divergence in playing out.  https://t.co/6gBn7htb2B,themooncarl,['eth'],[],97,973,139
2021-11-19 11:37:42 UTC,Buy $BTC &amp; $ETH ❤️,themooncarl,[],"['btc', 'eth']",503,4665,858
2021-11-18 21:07:25 UTC,"$BTC to $6,900 and $ETH to $420? 😅",themooncarl,[],"['btc', 'eth']",567,6404,1334
2021-11-18 17:45:02 UTC,"Would you rather buy a $4,059 watch or 1 #Ethereum right now? 👀",themooncarl,['ethereum'],[],47,924,441
2021-11-18 05:33:15 UTC,"Buy $ETH, hold 6 months. Thank me later.",themooncarl,[],['eth'],819,7718,838
2021-11-17 16:02:07 UTC,Buy #Ethereum now and thank me in a few years! 💸🤑,themooncarl,['ethereum'],[],342,3832,625
2021-11-16 15:44:20 UTC,Are you buying $ETH in this dip?,themooncarl,[],['eth'],253,4270,956
2021-11-15 12:29:24 UTC,Do you believe #Ethereum will flip #Bitcoin over the next 1 year?  No            Sure            Yes 👇            👇                👇,themooncarl,"['ethereum', 'bitcoin']",[],199,3339,857
2021-11-14 15:16:57 UTC,"I think Ethereum can flip Bitcoin, but only for a short while!",themooncarl,[],[],4,115,12
2021-11-14 10:25:02 UTC,"A $5,000 #Ethereum is still cheap in my opinion! 🤑",themooncarl,['ethereum'],[],232,2529,443
2021-11-13 21:31:45 UTC,Will $BNB flip $ETH next year?,themooncarl,[],"['bnb', 'eth']",162,2444,843
2021-11-13 19:31:34 UTC,I ❤️ $ETH,themooncarl,[],['eth'],201,2453,460
2021-11-13 13:02:25 UTC,I'm VERY bullish on #Ethereum,themooncarl,['ethereum'],[],2,119,14
2021-11-13 06:46:30 UTC,"$ETH under $5,000 is CHEAP!",themooncarl,[],['eth'],347,3861,438
2021-11-12 11:43:33 UTC,"$ETH to $10,000 will not be the top, we’re going MUCH higher!",themooncarl,[],['eth'],301,3525,425
2021-11-11 19:27:38 UTC,Buy #ethereum before  announces it.,themooncarl,['ethereum'],[],1237,11790,794
2021-11-11 10:43:46 UTC,"BITCOIN GETS A CORRECTION, WHATS NEXT?? $ETH, $BNB, $SHIB, $XRP UPDATE!!!!  https://t.co/uuQiE3mEWK",themooncarl,[],"['eth', 'bnb', 'shib', 'xrp']",47,528,211
2021-11-10 18:42:58 UTC,"#ETH could snap to $5,000 any minute now!",themooncarl,['eth'],[],64,1160,134
2021-11-09 19:03:04 UTC,Will $ADA flip $ETH next year?,themooncarl,[],"['ada', 'eth']",361,5288,1436
2021-11-09 18:59:52 UTC,⚠️ HUGE WARNING!!! ⚠️   #Bitcoin #Ethereum #Shiba   https://t.co/cqGd0weJCr,themooncarl,"['bitcoin', 'ethereum', 'shiba']",[],13,224,66
2021-11-09 09:32:21 UTC,I’m very bullish on $ETH!,themooncarl,[],['eth'],166,2972,349
2021-11-08 20:25:11 UTC,#Ethereum looking bullish!!!,themooncarl,['ethereum'],[],136,2029,186
2021-11-08 08:12:44 UTC,"If you like $ETH at $4,700, I’m sure you’ll LOVE it at $4,800!",themooncarl,[],['eth'],88,1685,179
2021-11-08 06:46:00 UTC,"#Ethereum could snap to $5,000 any minute now!",themooncarl,['ethereum'],[],121,1458,154
2021-11-08 04:55:47 UTC,"I’m excited for $4,800 $ETH!",themooncarl,[],['eth'],71,1472,120
2021-11-07 19:49:10 UTC,$eth will breakout very soon 🚀,themooncarl,[],['eth'],196,3370,306
2021-11-07 14:49:04 UTC,BREAKING NEWS: $shib just surpassed $eth in Twitter followers.   1.8m  1.7m,themooncarl,[],"['shib', 'eth']",624,3179,443
2021-11-07 08:48:45 UTC,Leave a ❤️ if you made gains with $ETH!,themooncarl,[],['eth'],32,1898,168
2021-11-07 07:24:04 UTC,Buy more $ETH!,themooncarl,[],['eth'],165,2369,349
2021-11-06 19:39:33 UTC,I’m very bullish on $ETH &amp; $BTC,themooncarl,[],"['eth', 'btc']",226,3463,437
