created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-26 00:45:00 UTC,"Still good here for #Litecoin. The point of interest is reached.   Regularly, if you want to trade those flips, you'd be in a position now.  https://t.co/k4dbYJbCfb",cryptomichnl,['litecoin'],[],50,470,107
2021-11-23 22:04:18 UTC,#Litecoin is getting into a sweet spot for some entries. Very sweet spot. Been watching for a while.,cryptomichnl,['litecoin'],[],88,1151,158
2021-11-17 19:10:32 UTC,"#Litecoin finally getting into a point of interest?  Yes, let's go.   Check the update here:  https://t.co/BBGuhHYvt6  Don't forget to subscribe!",cryptomichnl,['litecoin'],[],45,364,41
2021-11-17 09:58:57 UTC,"#Bitcoin is correcting.   We discuss the reason of this correction, how to move in those markets and we dive into #Litecoin in this update.  Check it here:  https://t.co/TYdA4rNnvo  Don't forget to subscribe!",cryptomichnl,"['bitcoin', 'litecoin']",[],17,218,31
2021-11-17 08:53:04 UTC,#Litecoin is getting to a sweet spot here.  https://t.co/UtaDxjWguC,cryptomichnl,['litecoin'],[],53,566,72
2021-11-16 20:37:12 UTC,"Discussed $LTC a lot on my YouTube earlier.  FOMO is never a good thing in the markets to look for, as we touched 1.618 Fibonacci here.   Looking at a retest is probably the wisest, which is around $200.   Going according to plan.  https://t.co/iDyqX4Wamw",cryptomichnl,[],['ltc'],21,220,37
2021-11-13 04:14:00 UTC,Nothing changed on #Litecoin.  https://t.co/2c7u5tPIIP,cryptomichnl,['litecoin'],[],33,444,58
2021-11-11 17:30:01 UTC,This is what I'd be looking at with #Litecoin.  https://t.co/GNckMotfoS,cryptomichnl,['litecoin'],[],28,336,75
2021-11-10 13:45:00 UTC,"Nice, 1.618 Fibonacci reached for #Litecoin at $290 here.  https://t.co/gTu0BKOWz3",cryptomichnl,['litecoin'],[],25,336,49
2021-11-08 19:49:35 UTC,Want to know my idea about trading #Litecoin and $XRP?   Want to know my idea about trading #altcoins in the upcoming run in general?  Check the update here:  https://t.co/R0RrJSdShL,cryptomichnl,"['litecoin', 'altcoins']",['xrp'],18,222,36
2021-11-08 18:29:38 UTC,"#Litecoin to $1,000? $XRP for moonsession?  All discussions on Twitter today. Let's discuss in a new update.  Check it here:  https://t.co/R0RrJSdShL",cryptomichnl,['litecoin'],['xrp'],26,287,27
2021-11-08 17:54:06 UTC,"Ain't too hard when everyone on CT shouts moon for $LTC.  If you think about it, quite sad returns.",cryptomichnl,[],['ltc'],1,15,5
