created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 20:50:41 UTC,I’ve laid out my plans on many #Altcoins tonight in my private group legends   Updates just now on $BTC $ETH $LTC $ETHBTC $HOT $BNB $HTR $SUSHI   Check it out  https://t.co/p3HicSFNfJ  https://t.co/7RoYeW1KOb,cryptotony__,['altcoins'],"['btc', 'eth', 'ltc', 'ethbtc', 'hot', 'bnb', 'htr', 'sushi']",4,44,11
2021-11-29 22:30:50 UTC,Same to you bro 😎❤️,cryptotony__,[],[],0,1,0
2021-11-29 21:22:13 UTC,Anytime bro,cryptotony__,[],[],0,3,0
2021-11-29 20:59:11 UTC,Aw your welcome bro and thanks mate it is crazy ♥️,cryptotony__,[],[],1,6,0
2021-11-29 20:23:11 UTC,Your welcome bro,cryptotony__,[],[],0,8,0
2021-11-29 20:20:30 UTC,Let’s get them bro 😎,cryptotony__,[],[],0,5,1
2021-11-29 20:20:06 UTC,Always a pleasure to talk and have banter daily .. Your one of the breast .. I mean best 👑❤️,cryptotony__,[],[],0,3,2
2021-11-29 18:14:24 UTC,$LTC / $USD - Update   Dare i say it is possible we have bottomed out on #Litecoin here ... Eyes are pealed legends  https://t.co/y2kQLAxt4A,cryptotony__,['litecoin'],"['ltc', 'usd']",26,212,38
2021-11-29 17:56:52 UTC,You lady’s 😏,cryptotony__,[],[],0,4,1
2021-11-29 17:27:40 UTC,Forking hell,cryptotony__,[],[],0,3,1
2021-11-29 17:19:52 UTC,Now hold a spoon please,cryptotony__,[],[],0,25,7
2021-11-29 10:09:00 UTC,I’ve laid out my plans on many #Altcoins this morning in my private group legends   Updates on $BTC $ETH $LTC $SOL $LUNA $ZIL $HTR $LINK $VET $SUSHI   Check it out  https://t.co/nIqyxGD7lv  https://t.co/elaVhR8vkg,cryptotony__,['altcoins'],"['btc', 'eth', 'ltc', 'sol', 'luna', 'zil', 'htr', 'link', 'vet', 'sushi']",7,57,10
2021-11-24 21:57:12 UTC,Just sent out my weekly newsletter and the discord group .. Updates on   - $BTC $ETH $LTC ✅ - $HOT $MANA $CRV ✅  Constant updates with targets and invalidation points ‼️    https://t.co/nIqyxGD7lv  https://t.co/VpCqtVhcts,cryptotony__,[],"['btc', 'eth', 'ltc', 'hot', 'mana', 'crv']",2,22,8
2021-11-21 11:43:22 UTC,Check out my private discord group legends .. I’ve updated $BTC $ETH $LTC daily and have shown my plans going into the new week 🍭  - #Altcoin requests from the legend  ✅ - Daily updates ✅ - Educational content ✅   https://t.co/nIqyxGD7lv  https://t.co/YCOy0jxCj9,cryptotony__,['altcoin'],"['btc', 'eth', 'ltc']",6,33,9
2021-11-20 20:07:00 UTC,"Hoping to wake up tomorrow to :  $100,000 #Bitcoin  $10,000 #Ethereum $1,000 #Litecoin  $589 #Ripple  $100 #Hathor $10 #OKLG $1 #KIBA $0 #Bitconnect   Let's go 🥳",cryptotony__,"['bitcoin', 'ethereum', 'litecoin', 'ripple', 'hathor', 'oklg', 'kiba', 'bitconnect']",[],51,530,134
2021-11-18 15:31:00 UTC,Never go all in on a single trade 💯  Spread your capital across different assets and categories to help mitigate losses   I spread mine between   - Established #Altcoins $ETH $LTC etc ✅ - #Memecoins such as $FLOKI $KIBA $DOGE ✅ - Presales ✅ - #Metaverse ✅,cryptotony__,"['altcoins', 'memecoins', 'metaverse']","['eth', 'ltc', 'floki', 'kiba', 'doge']",11,88,19
2021-11-17 21:39:06 UTC,I have to wait that long 🥺  https://t.co/xF10J7lVAO,cryptotony__,[],[],2,66,7
2021-11-17 18:25:17 UTC,$LTC / $USD - Update   This is what you want to look for to help confirm the local bottom .. The supply zone at 236 will need to be flipped into support for continuation legends .. Let us see if the bulls have the strength to do so  https://t.co/NuqfRkmNGQ,cryptotony__,[],"['ltc', 'usd']",20,172,14
2021-11-15 18:36:25 UTC,Don’t you dare sell 😘,cryptotony__,[],[],0,10,1
2021-11-14 20:14:50 UTC,Shared a few invalidation levels today in my private discord group. It’s important to know when a bias is invalid and when to consider a change in behaviour 😎   Updates on $BTC $LTC $ETH $HTR $BNB  $ZIL $XRP $VET .. Thanks for all the support legends  https://t.co/nIqyxGD7lv  https://t.co/GPOhzyVLyY,cryptotony__,[],"['btc', 'ltc', 'eth', 'htr', 'bnb', 'zil', 'xrp', 'vet']",4,60,12
2021-11-14 20:09:21 UTC,It’s a start ✅,cryptotony__,[],[],0,2,0
2021-11-14 20:09:07 UTC,Always haha,cryptotony__,[],[],0,1,0
2021-11-14 20:08:33 UTC,It’s big sir .. oh and yes that’s what she said 😎,cryptotony__,[],[],0,3,1
2021-11-14 20:08:20 UTC,That’s up to you mate. I will support mass adoption personally 😎,cryptotony__,[],[],0,4,1
2021-11-14 20:05:44 UTC,Big news come out from the legends at  .. Wherever  is then so is $LTC .. LTC converts into FIAT at the time of purchase ‼️  Mass adoption = Send our bags up ✅  https://t.co/3IhIAnZzvw,cryptotony__,[],['ltc'],70,363,26
2021-11-14 17:56:09 UTC,It is a weird feeling when $LTC actually looks more bullish than $BTC and $ETH right now ..   I do not like this feeling lol,cryptotony__,[],"['ltc', 'btc', 'eth']",56,669,88
2021-11-13 19:47:58 UTC,New high incoming in $AVAX / $USD .. Fully prepared for this in the private discord group .. Check it out legends   - Daily updates on $BTC $ETH $LTC aswell as plans on #Altcoin trades I am taking ✅   https://t.co/nIqyxGD7lv  https://t.co/UeX8InBKm2,cryptotony__,['altcoin'],"['avax', 'usd', 'btc', 'eth', 'ltc']",9,59,8
2021-11-11 20:46:01 UTC,Legends,cryptotony__,[],[],1,13,3
2021-11-11 06:42:58 UTC,Good morning legends   Green on the menu ✅ A day of recovery and strong bounces will be delightful   $ZIL $LTC $XRP $CRV $THETA $DOT $LINK,cryptotony__,[],"['zil', 'ltc', 'xrp', 'crv', 'theta', 'dot', 'link']",24,273,24
2021-11-10 09:34:00 UTC,"$LTC is like ... Dip what dip   I say full send to $1,000 ++ 😎",cryptotony__,[],['ltc'],63,653,29
2021-11-09 18:00:54 UTC,Who’s making money on #Litecoin 💯  https://t.co/PQMIegmFXc,cryptotony__,['litecoin'],[],22,295,31
2021-11-09 11:37:00 UTC,$LTC / $USD - Update   I am ready for a dirty pump on #Litecoin .. Anyone else  https://t.co/pDTiir5odp,cryptotony__,['litecoin'],"['ltc', 'usd']",31,295,25
2021-11-09 10:49:58 UTC,Detailed explanation of my $LTC / $USD long I placed end of October .. the Ichimoku was a big reason for my long and consolidation 😎 Currently 28% up on this trade alone 👑  Check out my private discord group legends  https://t.co/nIqyxGD7lv  https://t.co/pMEEUdbLWt,cryptotony__,[],"['ltc', 'usd']",5,59,4
2021-11-09 10:09:00 UTC,So many good looking #Altcoins i have suggested to the private group and on CT over the past few months and weeks including :  $ZIL $HTR $EOS  $CRV $LTC $XRP $THETA $DOT  $FLOKI  What Alts are you guys positioned in for the next run ‼️,cryptotony__,['altcoins'],"['zil', 'htr', 'eos', 'crv', 'ltc', 'xrp', 'theta', 'dot', 'floki']",20,273,105
2021-11-08 18:10:47 UTC,"Goooo #Litecoin .. Like I said earlier this one can be a slow mover most of the time, but when it moves .. IT MOVESS 👑  https://t.co/Z0ak2Cw7EY",cryptotony__,['litecoin'],[],20,149,14
2021-11-08 10:05:00 UTC,"Some coins move quick and others move slowly .. So you need to develop patience with those coins you chose to invest in that move slowly   Two of them are $LTC and $XRP .. They move slow for most of the time, but pump huge when they get going   I have a bag 😎",cryptotony__,[],"['ltc', 'xrp']",41,448,55
2021-11-07 18:19:14 UTC,Tonight’s newsletter has been posted with the following :   - Updates on $BTC $ETH $LTC $ZIL $BAT $THETA $MANA $CRV ✅ - Educational content on how to play Liquidation events ✅ - Educational content on Expanded flats ✅  Check out the discounted prices  https://t.co/nIqyxGD7lv  https://t.co/8pIgGF60D8,cryptotony__,[],"['btc', 'eth', 'ltc', 'zil', 'bat', 'theta', 'mana', 'crv']",2,20,5
2021-11-06 09:43:43 UTC,"It’s over used yes .. Litecoin isn’t dead, it just requires patience which 90% of people don’t have",cryptotony__,[],[],0,1,1
2021-11-05 10:01:00 UTC,$LTC / $USD - Update   We remain in the ascending triangle formation gearing up to flip the EQ into support .. This would be the first great step for the bulls legends  https://t.co/QJ8NUfIguc,cryptotony__,[],"['ltc', 'usd']",23,158,22
2021-11-05 07:51:02 UTC,Another 76% monthly swing trade locked in this morning on $OMG / $USD .. The swing trades for me are the easiest to manage   Just updated $BTC $ETH $LTC $TRIAS $BNB $AKRO in the group ! Check it out for the discounted rate  https://t.co/nIqyxGD7lv  Let’s go legends ❤️  https://t.co/ByO3uyOhfL,cryptotony__,[],"['omg', 'usd', 'btc', 'eth', 'ltc', 'trias', 'bnb', 'akro']",3,31,9
2021-11-04 12:32:00 UTC,$LTC / $USD - Update   We could also see something like this on #Litecoin which would tie in with the C wave drop i am expecting on #Bitcoin over the next week or so  https://t.co/eOyHXZAjCP,cryptotony__,"['litecoin', 'bitcoin']","['ltc', 'usd']",15,122,12
2021-11-04 07:51:07 UTC,Every morning and evening I will update $BTC $ETH and $LTC a long with any Altcoins I am in or looking to get in on ‼️  Enjoy the 30% discount applied for a limited time  https://t.co/nIqyxGD7lv  https://t.co/eHC44inolk,cryptotony__,[],"['btc', 'eth', 'ltc']",7,87,8
2021-11-04 06:50:52 UTC,"Good morning legends   So no change in my #Bitcoin plan shared yesterday .. The ranging has allowed a few #Altcoins to see new ATHs such as $DOT and $AVAX .. Both of which I am long on formal previous updates ‼️   $XRP and $LTC gaining momentum too, which is hopeful 😎",cryptotony__,"['bitcoin', 'altcoins']","['dot', 'avax', 'xrp', 'ltc']",9,159,21
2021-11-03 06:47:33 UTC,"Good morning legends   So we are seeing some nice advances on $XRP $MATIC $LTC $SOL to name a few .. But damn those #Ethereum gas fees are insane ‼️   #Bitcoin seems to be stabilising for now, which is why we are seeing #Altcoins push .. can we continue today 👀",cryptotony__,"['ethereum', 'bitcoin', 'altcoins']","['xrp', 'matic', 'ltc', 'sol']",8,189,21
2021-11-02 14:21:32 UTC,My 30% discount still applies to my private discord group with daily updates on all your favourite #Cryptocurrencies   Updated so far today we have $BTC $ETH $LTC $ATOM $VRA $ZIL $DOT $AVAX $THETA $AXS  Come check it out legends  https://t.co/nIqyxGD7lv  #Ethereum scalp yesterday  https://t.co/4uCas5rjVC,cryptotony__,"['cryptocurrencies', 'ethereum']","['btc', 'eth', 'ltc', 'atom', 'vra', 'zil', 'dot', 'avax', 'theta', 'axs']",5,31,6
2021-11-01 22:22:59 UTC,$LTC / $USD /  - Update   Ascending triangle still in force .. Wen Moon 💯  https://t.co/sOUFnx8OjJ,cryptotony__,[],"['ltc', 'usd']",34,204,16
2021-11-01 08:19:29 UTC,Just updated my private group with $BTC $ETH $LTC $SAND $CHZ $HTR $FET $HBAR .. And many more to come tonight   Check out the private group while my biggest discount is ongoing 👑   https://t.co/nIqyxGD7lv  https://t.co/wQpj0LUnzc,cryptotony__,[],"['btc', 'eth', 'ltc', 'sand', 'chz', 'htr', 'fet', 'hbar']",5,73,9
