created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 15:15:18 UTC,"WisdomTree adds #Litecoin to two new ETP exchange-traded products to its lineup in Europe tracking the spot price of digital assets. The ETPs are listed on SIX, the Swiss stock exchange and Börse Xetra in Germany and can be sold across the European Union.   https://t.co/itIzDY8Gcl",litecoin,['litecoin'],[],156,548,256
2021-11-29 19:42:06 UTC,Regal Cinemas and AMC Theaters accepting #Litecoin $LTC   https://t.co/KUkp5givJ9,litecoin,['litecoin'],['ltc'],283,1164,273
2021-11-24 18:05:34 UTC,Need to explain #Litecoin at #Thanksgiving?  https://t.co/ysZFqfEka6,litecoin,"['litecoin', 'thanksgiving']",[],73,356,215
2021-11-24 06:07:06 UTC,MidChains is the only Emirati founded virtual asset exchange in the UAE launching #Litecoin and #crypto trading. $LTC,litecoin,"['litecoin', 'crypto']",['ltc'],98,465,62
2021-11-23 21:58:58 UTC,"The 2nd largest US theater chain Regal Cinemas with accept #Litecoin!   500 locations, 7,000 screens in 42 states across the country in partnership with    https://t.co/UEB7wEkRkX",litecoin,['litecoin'],[],328,1426,184
2021-11-23 02:29:12 UTC,Litecoin is accepted anywhere VISA is.. the #Litecoin Card converts $LTC at the time of purchase. You can also connect the card with the  #PaywithLitecoin    https://t.co/EKezeYIdka  https://t.co/LqbuhS9umb,litecoin,"['litecoin', 'paywithlitecoin']",['ltc'],291,1455,125
2021-11-21 17:59:44 UTC,Black Friday deals  are now live and.. the good news... you can pay it for anything you want with #Litecoin!   Shop now with :  https://t.co/mul8Lw6wss #paywithlitecoin $LTC #BlackFriday  https://t.co/qVkK5WXyWL,litecoin,"['litecoin', 'paywithlitecoin', 'blackfriday']",['ltc'],115,543,96
2021-11-21 05:45:52 UTC,"The first bank in Estonia, LHV, the countries largest domestic financial group and capital provider announces trading in #Litecoin and investing directly in #crypto assets!   Learn more at:  https://t.co/ZLblam6VSN #Estonia $LTC #Crypto  https://t.co/qAuBQxJcBZ",litecoin,"['litecoin', 'crypto', 'estonia', 'crypto']",['ltc'],269,1122,170
2021-11-20 17:04:26 UTC,"That last word after explaining #MWEB to a friend.. #BOOM   MWEB is set to be the largest upgrade to the #Litecoin network ever, promising to provide fungibility for all, while improving $LTC's scalability.    https://t.co/ibUhOmrKmS  https://t.co/IyuLtM0BNF",litecoin,"['mweb', 'boom', 'litecoin']",['ltc'],130,540,62
2021-11-20 06:49:07 UTC,Looking for #Blackfriday deals? Our friends at  have a list of Merchants Deals for #Litecoin users to #PayWithLitecoin    https://t.co/A4ofiWihsK,litecoin,"['blackfriday', 'litecoin', 'paywithlitecoin']",[],69,316,60
