replies_count,tweet,created_at,cashtags,username,name,id,retweets_count,likes_count,hashtags,language
1,@CryptoTony__ @AshleyDCan @eliz883 @CryptoGodJohn @CryptoNewton @Mesawine1 @trader1sz @TraderDaink @TraderNJ1 @DaanCrypto @CryptoWarrior01 @JJcycles @ltc_angel @AltcoinSherpa @HerroCrypto @Hayess5178 @TheTradingHubb Thank you for the shoutout man!,2021-11-29 20:22:52 UTC,[],rektcapital,Rekt Capital,1465415990888615936,0,7,[],en
10,$LTC / USD - #LTC #Litecoin   Rebounds from the historical demand area (orange)  LTC would need to eclipse the green level and turn it into support to generate additional bull-side momentum following this rebound   #Crypto  https://t.co/pgEru1OR5w,2021-11-29 17:21:32 UTC,['ltc'],rektcapital,Rekt Capital,1465370356433174532,8,50,"['ltc', 'litecoin', 'crypto']",en
8,"$LTC / USD - #LTC #Litecoin   LTC has rejected from $225, confirming it as a new resistance  Now approaching a historical demand area (orange)  #Crypto  https://t.co/1FVFfgcWLd",2021-11-26 11:27:06 UTC,['ltc'],rektcapital,Rekt Capital,1464193993655435280,4,35,"['ltc', 'litecoin', 'crypto']",en
22,"#BTC, $ETH and $LTC all rejected from their resistances after failing to confirm new breakouts  #Ethereum #Crypto #Bitcoin",2021-11-26 11:13:05 UTC,"['eth', 'ltc']",rektcapital,Rekt Capital,1464190466610675739,11,155,"['btc', 'ethereum', 'crypto', 'bitcoin']",en
17,"Will #BTC Make New All Time Highs This Year?  Checkout my new YouTube video:   https://t.co/k9RqpVVEc7  In today's video, I share my thoughts on $BTC, $ETH and $LTC   Enjoy and Subscribe!  #Ethereum #Crypto #Bitcoin",2021-11-25 15:54:32 UTC,"['btc', 'eth', 'ltc']",rektcapital,Rekt Capital,1463898908325818376,6,103,"['btc', 'ethereum', 'crypto', 'bitcoin']",en
29,"#BTC, $ETH and $LTC are all at resistance right now  In fact, ETH is pressing beyond its own key resistance now  However, it's important that all of these Daily Close above their resistances in an effort to avoid rejection &amp; flip these levels into new supports  #Crypto #Bitcoin",2021-11-25 13:35:45 UTC,"['eth', 'ltc']",rektcapital,Rekt Capital,1463863983266488324,54,601,"['btc', 'crypto', 'bitcoin']",en
4,$LTC has reached the top of its Ascending Triangle  Daily Close above the red area brings LTC closer to confirming a breakout  #ETH #LTC #Litecoin  https://t.co/8vHcqNQqvr,2021-11-25 13:33:06 UTC,['ltc'],rektcapital,Rekt Capital,1463863316284153856,18,113,"['eth', 'ltc', 'litecoin']",en
9,$LTC may be following $ETH in forming an Ascending Triangle  #ETH #LTC #Litecoin  https://t.co/uKB0joB5LF,2021-11-25 12:34:19 UTC,"['ltc', 'eth']",rektcapital,Rekt Capital,1463848521824710656,10,102,"['eth', 'ltc', 'litecoin']",en
6,$LTC / USD - #LTC #Litecoin   The retest of the Higher Low support at ~$206 was successful  LTC has since rebounded towards the $225 area (red)  LTC needs to Weekly Close above $225 to avoid this flipping into a new resistance  #Crypto  https://t.co/49FYV9QB2s,2021-11-25 12:29:12 UTC,['ltc'],rektcapital,Rekt Capital,1463847235779710977,4,51,"['ltc', 'litecoin', 'crypto']",en
20,"$LTC / USD - #LTC #Litecoin   Ultimately LTC wasn't able to secure a 1W Close above $225, going against the grain of history  As a result $225 has been lost as support  That said, LTC is forming a black Higher Low at the green $206 support in an effort to recover to $225  #Crypto  https://t.co/ywkOiLwz6R",2021-11-23 10:47:06 UTC,['ltc'],rektcapital,Rekt Capital,1463096765821898754,13,131,"['ltc', 'litecoin', 'crypto']",en
