created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count,coin
2021-11-30 19:22:31 UTC,Don’t tell anyone! Wait until mid December and $LUNA projects will all explode.,cryptomanran,[],['luna'],144,1191,148,LUNA
2021-11-29 13:11:34 UTC,What are your favorite projects building on $LUNA today?,cryptomanran,[],['luna'],120,1822,525,LUNA
2021-11-28 10:41:39 UTC,"$LUNA will be top 5,here’s why;  1.Insane Tokenomics (Luna/Terra burn) 2.Great tech 3.Decentralized web 3 money narrative. 4.Charismatic/genius figure head! 5.Strong community- increasing momentum 6. Best VC support-all made insane returns  7.Lots of high caliber complex Projects",cryptomanran,[],['luna'],1044,5356,360,LUNA
2021-11-25 19:34:45 UTC,Soon everyone will see it.,cryptomanran,[],[],8,113,22,LUNA
2021-11-22 18:55:21 UTC,We broke down the number of new projects we are seeing by chain (last 60 days):  Solana          - 31% Ethereum     - 7% ETH Layer 2 - 11% Luna              - 15% AVAX            - 6% Thorchain     - 2% Cardano        - 6% DOT/Kusama- 7% Other              - 15%  Follow the DEVS.,cryptomanran,[],[],743,4959,880,LUNA
2021-11-13 20:44:01 UTC,The Metaverse has triggered  the inevitable WEB3 Narrative. It’s my next bet!  Storage:  $AR $FIL $CLS $ARGO  Compute:  $RNDR $AKT $AIOZ  Money:  $LUNA  What else?,cryptomanran,[],"['ar', 'fil', 'cls', 'argo', 'rndr', 'akt', 'aioz', 'luna']",1011,4967,1225,LUNA
2021-11-11 19:38:26 UTC,Nothing to see here. Move along $LUNA!!!,cryptomanran,[],['luna'],65,683,68,LUNA
2021-11-11 19:21:44 UTC,"I took profit on $LUNA at $17! I landed up buying them back at $34!  I took profit on $AR at $12, I bought them back at $55.  I took profits on $ETH at $330, I bought them back at $2000!  Don’t chase short term profit in a technology that will change the world given enough time.",cryptomanran,[],"['luna', 'ar', 'eth']",1276,9742,763,LUNA
2021-11-11 09:59:29 UTC,Scenario:  - Evergrande defaults (not this time) - global credit markets take a hit. - USDT loses its peg as it is holding a lot of credit - Major migration to $UST. - Massive $LUNA burns and price explodes. - Beginning of a new era.   thoughts?,cryptomanran,[],"['ust', 'luna']",404,3032,237,LUNA
2021-10-11 20:06:49 UTC,What’s wrong with this picture?   (Hint: It’s not $LUNA)  https://t.co/TCVJtyh4Rh,cryptomanran,[],['luna'],95,1722,644,LUNA
2021-10-07 05:04:20 UTC,"Hashed is the most successful crypto fund in the world, the incubated $LUNA and now they have bought 2 gaming studios to build games on top of $LUNA. It’s probably nothing….",cryptomanran,[],"['luna', 'luna']",111,723,51,LUNA
2021-10-04 17:21:13 UTC,All of a sudden I have way more $LUNA than $BTC . It feels really good.,cryptomanran,[],"['luna', 'btc']",127,2108,217,LUNA
2021-10-03 14:38:04 UTC,"I told you to buy 1000 $Luna in November, would have cost you $350.",cryptomanran,[],['luna'],129,2359,348,LUNA
2021-10-03 06:16:16 UTC,Both will hit $100 this year.  Which one has more upside?  $LUNA $AR  https://t.co/jSemuo4oj9,cryptomanran,[],"['luna', 'ar']",130,1402,388,LUNA
2021-09-26 18:40:30 UTC,Don't underestimate how big the Columbus 5 upgrade is for $LUNA. We will discuss the impact on the show tomorrow.,cryptomanran,[],['luna'],188,1598,109,LUNA
2021-09-11 07:56:00 UTC,$LUNA $AR $SOL $RUNE $MOVR $NII $FOLD $RNDR $SUNNY $MNGO $RAY $KSM,cryptomanran,[],"['luna', 'ar', 'sol', 'rune', 'movr', 'nii', 'fold', 'rndr', 'sunny', 'mngo', 'ray', 'ksm']",315,2574,567,LUNA
2021-09-10 18:39:22 UTC,Holy shit!! $LUNA.  https://t.co/h4SoYtGVI6,cryptomanran,[],['luna'],96,1138,157,LUNA
2021-11-30 20:46:31 UTC,$XTM  In since $0.9  Lots of updates coming this month and also a tier 1 listing 👀🏆?  Kucoin and huobi are investors  Magic soon  $NFTB $MLT $MTRG $BRKL $VRA $LUNA $FET  https://t.co/Qs47XXsa0y,cryptowizardd,[],"['xtm', 'nftb', 'mlt', 'mtrg', 'brkl', 'vra', 'luna', 'fet']",36,263,32,LUNA
2021-11-30 18:03:07 UTC,This market isnt going away. I see many People be like... wizz i missed $luna $fet $chz and many more.  Much oppurtunities Will come in the future. New projects Will probably do x 100 x 1000 aswell  Stay focus. Have patience,cryptowizardd,[],"['luna', 'fet', 'chz']",103,1512,170,LUNA
2021-11-30 11:44:22 UTC,$LUNA Will flip those 3 soon  $Shiba $avax $doge   Getting into top 10 🌖,cryptowizardd,[],"['luna', 'shiba', 'avax', 'doge']",108,1212,55,LUNA
2021-11-28 20:00:38 UTC,Selling my twitter acc going full into $LUNA,cryptowizardd,[],['luna'],75,1413,80,LUNA
2021-11-28 19:50:03 UTC,Shitcoin money flows into $luna,cryptowizardd,[],['luna'],49,588,32,LUNA
2021-11-28 19:49:28 UTC,$shib money flowing into $luna,cryptowizardd,[],"['shib', 'luna']",34,409,23,LUNA
2021-11-28 19:49:12 UTC,$DOGE MONEY FLOWING INTO $LUNA,cryptowizardd,[],"['doge', 'luna']",29,392,11,LUNA
2021-11-28 15:54:36 UTC,The diff i was shilling luna non stop pleb. Dont come here with this nonsense if u clearly didnt follow me the last 3 years.,cryptowizardd,[],[],0,18,0,LUNA
2021-11-28 15:08:52 UTC,Do i need to say more ?  $LUNA was trading at $0.10 there  https://t.co/8jP0TOuu5W,cryptowizardd,[],['luna'],67,1482,124,LUNA
2021-11-26 19:34:22 UTC,🌖 mike knows  $LUNA,cryptowizardd,[],['luna'],12,178,11,LUNA
2021-11-26 19:33:45 UTC,My longterm target for $LUNA is $500 +  🌖,cryptowizardd,[],['luna'],180,1810,130,LUNA
2021-11-26 09:14:36 UTC,For cloud  Shilled 24/7  $VRA at 600 k mc $CHZ at 0.02 $ENJ at 0.10 $FET at 0.008 $luna at 0.10 $floki at 20 mil mc $mlt at $0.03 $NFTB at 0.03 $QRDO at $1 $MATIC below $0.02 $LIGHT Below 0.05 $TRAC below $0.20 $VGX at 0.15  never Shilled $XRP $ADA $SHIBA and those other crap,cryptowizardd,[],"['vra', 'chz', 'enj', 'fet', 'luna', 'floki', 'mlt', 'nftb', 'qrdo', 'matic', 'light', 'trac', 'vgx', 'xrp', 'ada', 'shiba']",58,963,145,LUNA
2021-11-23 15:41:18 UTC,More LUNA on Stader = Less in Circulation = LUNA price increases  1+1 =2  🌖 $LUNA $SD,cryptowizardd,[],"['luna', 'sd']",21,231,14,LUNA
2021-11-20 12:35:18 UTC,$CWS  50% almost after 14 hours  Magic is hitting all over the place   $RFOX $LUNA $VRA $BRKL $NFTB $MLT $MTRG  https://t.co/B99CIBU1q8,cryptowizardd,[],"['cws', 'rfox', 'luna', 'vra', 'brkl', 'nftb', 'mlt', 'mtrg']",9,129,27,LUNA
2021-11-16 21:48:25 UTC,UST BY #TERRA on its way to 10 bil  Probably nothing anon,cryptowizardd,['terra'],[],47,617,20,LUNA
2021-11-12 11:37:24 UTC,In other words 3 digits $luna soon,cryptowizardd,[],['luna'],47,514,17,LUNA
2021-11-12 11:37:07 UTC,In other words 3 digits $luna soon,cryptowizardd,[],['luna'],14,233,8,LUNA
2021-11-11 22:02:23 UTC,One of my calls that didnt perform good yet.  But risk reward down here is to good.  this is Just a regular call of me. Means my allocation is small compared to top tier projects such as $QRDO $LUNA $ANC   $BUY  https://t.co/bVwd8NVvQe,cryptowizardd,[],"['qrdo', 'luna', 'anc', 'buy']",52,368,60,LUNA
2021-11-11 21:54:54 UTC,$ZCX  binance shared liquidity  Smart advisor on board  Token utility   I expect much higher numbers   Baggs loaded   $QRDO $ZCX $LUNA $MLT $NFTB $BRKL $FLOKI  https://t.co/kN34MCKRiD,cryptowizardd,[],"['zcx', 'qrdo', 'zcx', 'luna', 'mlt', 'nftb', 'brkl', 'floki']",63,322,31,LUNA
2021-11-11 16:16:17 UTC,They'll be issuing liquid tokens as a representation of your stake. So now you can use the liquid tokens to leverage more $LUNA and restake it again . That earns you more rewards. Do this multiple times and the rewards shoot through the roof.,cryptowizardd,[],[],0,50,5,LUNA
2021-11-11 16:16:17 UTC,They are also adding liquid staking on top. That alone makes Stader a promising project… But there is more: They solve the 21 days unbonding period. It will still take 21 days to undelegate your $LUNA. But the fun part is that you can use your staked LUNA without unstaking it.,cryptowizardd,[],['luna'],2,38,1,LUNA
