retweets_count,likes_count,id,cashtags,username,language,hashtags,replies_count,tweet,created_at,name
144,1192,1465763188956348420,['luna'],cryptomanran,en,[],149,Don’t tell anyone! Wait until mid December and $LUNA projects will all explode.,2021-11-30 19:22:31 UTC,Ran NeuNer
120,1823,1465307447422341126,['luna'],cryptomanran,en,[],525,What are your favorite projects building on $LUNA today?,2021-11-29 13:11:34 UTC,Ran NeuNer
1044,5356,1464907334015201281,['luna'],cryptomanran,en,[],360,"$LUNA will be top 5,here’s why;  1.Insane Tokenomics (Luna/Terra burn) 2.Great tech 3.Decentralized web 3 money narrative. 4.Charismatic/genius figure head! 5.Strong community- increasing momentum 6. Best VC support-all made insane returns  7.Lots of high caliber complex Projects",2021-11-28 10:41:39 UTC,Ran NeuNer
8,113,1463954328234999812,[],cryptomanran,en,[],22,@LUNA_UST @crypto_banter Soon everyone will see it.,2021-11-25 19:34:45 UTC,Ran NeuNer
744,4961,1462857250146594816,[],cryptomanran,en,[],882,We broke down the number of new projects we are seeing by chain (last 60 days):  Solana          - 31% Ethereum     - 7% ETH Layer 2 - 11% Luna              - 15% AVAX            - 6% Thorchain     - 2% Cardano        - 6% DOT/Kusama- 7% Other              - 15%  Follow the DEVS.,2021-11-22 18:55:21 UTC,Ran NeuNer
1011,4969,1459623103827525641,"['ar', 'fil', 'cls', 'argo', 'rndr', 'akt', 'aioz', 'luna']",cryptomanran,en,[],1225,The Metaverse has triggered  the inevitable WEB3 Narrative. It’s my next bet!  Storage:  $AR $FIL $CLS $ARGO  Compute:  $RNDR $AKT $AIOZ  Money:  $LUNA  What else?,2021-11-13 20:44:01 UTC,Ran NeuNer
65,683,1458881826425131019,['luna'],cryptomanran,en,[],68,Nothing to see here. Move along $LUNA!!!,2021-11-11 19:38:26 UTC,Ran NeuNer
1276,9744,1458877621303918592,"['luna', 'ar', 'eth']",cryptomanran,en,[],762,"I took profit on $LUNA at $17! I landed up buying them back at $34!  I took profit on $AR at $12, I bought them back at $55.  I took profits on $ETH at $330, I bought them back at $2000!  Don’t chase short term profit in a technology that will change the world given enough time.",2021-11-11 19:21:44 UTC,Ran NeuNer
404,3032,1458736128140484619,"['ust', 'luna']",cryptomanran,en,[],237,Scenario:  - Evergrande defaults (not this time) - global credit markets take a hit. - USDT loses its peg as it is holding a lot of credit - Major migration to $UST. - Massive $LUNA burns and price explodes. - Beginning of a new era.  @stablekwon thoughts?,2021-11-11 09:59:29 UTC,Ran NeuNer
95,1723,1447654946158125056,['luna'],cryptomanran,en,[],644,What’s wrong with this picture?   (Hint: It’s not $LUNA)  https://t.co/TCVJtyh4Rh,2021-10-11 20:06:49 UTC,Ran NeuNer
111,723,1445978275340300289,"['luna', 'luna']",cryptomanran,en,[],51,"Hashed is the most successful crypto fund in the world, the incubated $LUNA and now they have bought 2 gaming studios to build games on top of $LUNA. It’s probably nothing….",2021-10-07 05:04:20 UTC,Ran NeuNer
127,2109,1445076553675821065,"['luna', 'btc']",cryptomanran,en,[],217,All of a sudden I have way more $LUNA than $BTC . It feels really good.,2021-10-04 17:21:13 UTC,Ran NeuNer
130,2359,1444673109009866752,['luna'],cryptomanran,en,[],348,"I told you to buy 1000 $Luna in November, would have cost you $350.",2021-10-03 14:38:04 UTC,Ran NeuNer
130,1402,1444546828351979520,"['luna', 'ar']",cryptomanran,en,[],388,Both will hit $100 this year.  Which one has more upside?  $LUNA $AR  https://t.co/jSemuo4oj9,2021-10-03 06:16:16 UTC,Ran NeuNer
188,1598,1442197405928099846,['luna'],cryptomanran,en,[],109,Don't underestimate how big the Columbus 5 upgrade is for $LUNA. We will discuss the impact on the show tomorrow.,2021-09-26 18:40:30 UTC,Ran NeuNer
315,2575,1436599392220364803,"['luna', 'ar', 'sol', 'rune', 'movr', 'nii', 'fold', 'rndr', 'sunny', 'mngo', 'ray', 'ksm']",cryptomanran,en,[],567,$LUNA $AR $SOL $RUNE $MOVR $NII $FOLD $RNDR $SUNNY $MNGO $RAY $KSM,2021-09-11 07:56:00 UTC,Ran NeuNer
96,1138,1436398911317549057,['luna'],cryptomanran,en,[],157,Holy shit!! $LUNA.  https://t.co/h4SoYtGVI6,2021-09-10 18:39:22 UTC,Ran NeuNer
