likes_count,name,created_at,retweets_count,id,replies_count,hashtags,language,cashtags,tweet,username
263,THEWIZARD ( dont dm u ),2021-11-30 20:46:31 UTC,36,1465784329330638852,32,[],en,"['xtm', 'nftb', 'mlt', 'mtrg', 'brkl', 'vra', 'luna', 'fet']",$XTM  In since $0.9  Lots of updates coming this month and also a tier 1 listing 👀🏆?  Kucoin and huobi are investors  Magic soon  $NFTB $MLT $MTRG $BRKL $VRA $LUNA $FET  https://t.co/Qs47XXsa0y,cryptowizardd
1512,THEWIZARD ( dont dm u ),2021-11-30 18:03:07 UTC,101,1465743207594135561,170,[],en,"['luna', 'fet', 'chz']",This market isnt going away. I see many People be like... wizz i missed $luna $fet $chz and many more.  Much oppurtunities Will come in the future. New projects Will probably do x 100 x 1000 aswell  Stay focus. Have patience,cryptowizardd
1212,THEWIZARD ( dont dm u ),2021-11-30 11:44:22 UTC,107,1465647892606197760,55,[],en,"['luna', 'shiba', 'avax', 'doge']",$LUNA Will flip those 3 soon  $Shiba $avax $doge   Getting into top 10 🌖,cryptowizardd
1412,THEWIZARD ( dont dm u ),2021-11-28 20:00:38 UTC,74,1465048004533096460,80,[],en,['luna'],Selling my twitter acc going full into $LUNA,cryptowizardd
588,THEWIZARD ( dont dm u ),2021-11-28 19:50:03 UTC,49,1465045340290273287,32,[],en,['luna'],Shitcoin money flows into $luna,cryptowizardd
409,THEWIZARD ( dont dm u ),2021-11-28 19:49:28 UTC,34,1465045193992904717,23,[],en,"['shib', 'luna']",$shib money flowing into $luna,cryptowizardd
392,THEWIZARD ( dont dm u ),2021-11-28 19:49:12 UTC,29,1465045129505423370,11,[],en,"['doge', 'luna']",$DOGE MONEY FLOWING INTO $LUNA,cryptowizardd
18,THEWIZARD ( dont dm u ),2021-11-28 15:54:36 UTC,0,1464986090411106310,0,[],en,[],@N1NSKO @hititshort @Origina76778599 The diff i was shilling luna non stop pleb. Dont come here with this nonsense if u clearly didnt follow me the last 3 years.,cryptowizardd
1482,THEWIZARD ( dont dm u ),2021-11-28 15:08:52 UTC,65,1464974582104965120,124,[],en,['luna'],Do i need to say more ?  $LUNA was trading at $0.10 there  https://t.co/8jP0TOuu5W,cryptowizardd
178,THEWIZARD ( dont dm u ),2021-11-26 19:34:22 UTC,12,1464316620684341254,11,[],en,['luna'],🌖 mike knows  $LUNA,cryptowizardd
1808,THEWIZARD ( dont dm u ),2021-11-26 19:33:45 UTC,179,1464316466405195784,130,[],en,['luna'],My longterm target for $LUNA is $500 +  🌖,cryptowizardd
965,THEWIZARD ( dont dm u ),2021-11-26 09:14:36 UTC,58,1464160650754773005,145,[],en,"['vra', 'chz', 'enj', 'fet', 'luna', 'floki', 'mlt', 'nftb', 'qrdo', 'matic', 'light', 'trac', 'vgx', 'xrp', 'ada', 'shiba']",For cloud  Shilled 24/7  $VRA at 600 k mc $CHZ at 0.02 $ENJ at 0.10 $FET at 0.008 $luna at 0.10 $floki at 20 mil mc $mlt at $0.03 $NFTB at 0.03 $QRDO at $1 $MATIC below $0.02 $LIGHT Below 0.05 $TRAC below $0.20 $VGX at 0.15  never Shilled $XRP $ADA $SHIBA and those other crap,cryptowizardd
231,THEWIZARD ( dont dm u ),2021-11-23 15:41:18 UTC,21,1463170804867338255,14,[],en,"['luna', 'sd']",More LUNA on Stader = Less in Circulation = LUNA price increases  1+1 =2  🌖 $LUNA $SD,cryptowizardd
129,THEWIZARD ( dont dm u ),2021-11-20 12:35:18 UTC,9,1462036832917590023,27,[],en,"['cws', 'rfox', 'luna', 'vra', 'brkl', 'nftb', 'mlt', 'mtrg']",$CWS  50% almost after 14 hours  Magic is hitting all over the place   $RFOX $LUNA $VRA $BRKL $NFTB $MLT $MTRG  https://t.co/B99CIBU1q8,cryptowizardd
618,THEWIZARD ( dont dm u ),2021-11-16 21:48:25 UTC,47,1460726477301981188,20,['terra'],en,[],UST BY #TERRA on its way to 10 bil  Probably nothing anon,cryptowizardd
515,THEWIZARD ( dont dm u ),2021-11-12 11:37:24 UTC,47,1459123155377733648,17,[],en,['luna'],In other words 3 digits $luna soon,cryptowizardd
233,THEWIZARD ( dont dm u ),2021-11-12 11:37:07 UTC,14,1459123085219610629,8,[],en,['luna'],@stablekwon In other words 3 digits $luna soon,cryptowizardd
368,THEWIZARD ( dont dm u ),2021-11-11 22:02:23 UTC,52,1458918051676573704,60,[],en,"['qrdo', 'luna', 'anc', 'buy']",One of my calls that didnt perform good yet.  But risk reward down here is to good.  this is Just a regular call of me. Means my allocation is small compared to top tier projects such as $QRDO $LUNA $ANC   $BUY  https://t.co/bVwd8NVvQe,cryptowizardd
