created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 19:23:45 UTC,Slow and steady   And then… BOOM!  🚀 $LUNA $KDA $RNDR $RUNE $WAXP 🚀,nicolasflamelx,[],"['luna', 'kda', 'rndr', 'rune', 'waxp']",29,383,26
2021-11-30 18:22:24 UTC,TLDR: Terra $Luna market cap will go into the trillions. And I tend to agree.,nicolasflamelx,[],['luna'],0,35,1
2021-11-30 18:17:04 UTC,"And apparently the more the #Ethereum community hates $LUNA, the more it go up👀",nicolasflamelx,['ethereum'],['luna'],0,38,1
2021-11-30 17:38:07 UTC,"Never forget:  It’s NOT about what you think  It’s about what you think others think  But for $Luna, none of that matter:  It’s gonna go up bigly regardless",nicolasflamelx,[],['luna'],23,248,2
2021-11-30 15:56:02 UTC,"Yo  you always were right about $Luna  But in May, your emotions shaked you out of it  Look, you were just starting out and it’s totally understandable  Recognizing the above, and buying back before the major run, is how your turn a mistake into a big win  🤝",nicolasflamelx,[],['luna'],7,211,5
2021-11-30 15:50:38 UTC,Broke: $LUNA to top 10  Woke: $LUNA will flip $ADA  Bespoke: $LUNA is undervalued as long as it’s not ranked #3,nicolasflamelx,[],"['luna', 'luna', 'ada', 'luna']",63,632,24
2021-11-30 15:19:00 UTC,"Wanna tip?  Next time you scared about beginning of bear market  Go on CoinGecko and check if $ADA is above $LUNA  If it is, you know bull market not over",nicolasflamelx,[],"['ada', 'luna']",27,358,14
2021-11-30 15:06:33 UTC,The cool thing is we don’t even need CT to FOMO into $Luna to hit $100… $200… etc  The $Luna buy / burn will take care of that  We just spreading the gospel because we want everybody to make it,nicolasflamelx,[],"['luna', 'luna']",65,474,18
2021-11-30 14:37:02 UTC,Imagine not being bullish on $Luna when we are buying / burning millions $ worth of Luna per day 🤣🤝,nicolasflamelx,[],['luna'],4,52,3
2021-11-30 14:13:13 UTC,"What 100 IQ keep underestimating is how price growth (and price talk, wink wink) lead to community growth  Are you ready to see the #LUNAtics 2x?  Followed by Terra gems szn?  $LUNA 🤝 $MIR 🤝 $ANC 🤝 $MINE 🤝 $PSI 🤝 $STT 🤝 $LOOP 🤝 $SD 🤝 $ORION 🤝 $KUJI 🤝 $APOLLO 🤝 $TFLOKI",nicolasflamelx,['lunatics'],"['luna', 'mir', 'anc', 'mine', 'psi', 'stt', 'loop', 'sd', 'orion', 'kuji', 'apollo', 'tfloki']",28,215,15
2021-11-30 13:43:45 UTC,Come to $LUNA bro. We are buying / burning million $ worth of Luna per day. Supply shock imminent,nicolasflamelx,[],['luna'],3,44,5
2021-11-30 13:21:15 UTC,Come to $Luna Rager. Terra is in the process of buying / burning millions of $Luna per day. It should continue to outperform everything for a while,nicolasflamelx,[],"['luna', 'luna']",0,27,1
2021-11-30 12:56:16 UTC,There are people who never really understood the potential of Luna… and it will cost them dearly,nicolasflamelx,[],[],0,52,2
2021-11-30 12:50:01 UTC,Imagine how hard $Luna will moon then ;),nicolasflamelx,[],['luna'],2,17,1
2021-11-30 12:35:58 UTC,$500 $LUNA is less than 10x from here,nicolasflamelx,[],['luna'],58,677,26
2021-11-30 12:33:51 UTC,"Woke up  Watch my Blockfolio  Asked myself ""why $LUNA so cheap?""",nicolasflamelx,[],['luna'],12,163,3
