created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 22:55:23 UTC,6/ #LUNAtics please join us in giving back after an amazing year!    https://t.co/5cmrqi3FvN,terra_money,['lunatics'],[],1,32,0
2021-11-30 22:52:33 UTC,"5/ Get some sweet Galactic Angel NFTs too based on specific donation thresholds, courtesy of .   Donate, protect the earth, and get NFTs --- ezpz.   The campaign will run through December 31st.",terra_money,[],[],2,35,1
2021-11-30 22:52:33 UTC,"4/ Deposits in $UST using  also deliver compounding yield in perpetuity, helping fund the Restore Earth campaign continuously with a single deposit.",terra_money,[],['ust'],0,21,1
2021-11-30 22:52:32 UTC,"3/ Making gains in a wild crypto market is fun, but giving back can be even more rewarding.   Donors can even receive tax receipts, instantly available after donation upon request.",terra_money,[],[],0,20,1
2021-11-30 22:52:32 UTC,"2/ Donate $BTC, $ETH, $LUNA, or $UST natively cross-chain with a few simple clicks.   https://t.co/I1AtVVVNhL  Contribute to 3 charities helping to restore our planet in various ways:    - Ocean Plastic Clean-ups   - Reforestation    - Solar energy",terra_money,[],"['btc', 'eth', 'luna', 'ust']",1,16,1
2021-11-30 22:52:32 UTC,1/ Awesome initiative by  with their Restore Earth campaign on #GivingTuesday 👇,terra_money,['givingtuesday'],[],46,237,15
2021-11-30 05:55:14 UTC,Correction -- props 1 and 3 will swap requested UST from the community pool to LUNA using TerraSwap*,terra_money,[],[],1,54,1
2021-11-30 05:52:04 UTC,"6/ Besides sub-prop 2, which directly requests UST, props 1 and 3 will swap requested LUNA from the community pool to UST using TerraSwap to avoid LUNA supply dilution.   For more details, please check out the full proposal in the link below:    https://t.co/PiUnSqWUCw",terra_money,[],[],3,64,2
2021-11-30 05:52:03 UTC,5/ Continued:   3. $2 million worth of LUNA to incentivize TOKE holders via Votemak to win a reactor in the next Tokemak C.o.R.E. vote.,terra_money,[],[],1,44,1
2021-11-30 05:52:03 UTC,"4/ Continued:   2. 250 million UST of self-supplied liquidity to the Curve USTw-3CRV pool via Convex, with all CRV and CVX rewards max locked and used bi-weekly to vote emissions to the USTw-3CRV pool -- after which funds are returned to the community pool.",terra_money,[],[],2,40,1
2021-11-30 05:52:02 UTC,3/ The proposal contains 3 sub-proposals:   1. Votium incentives ($12 million worth of $LUNA) before each one of the next 12 Convex gauge votes for the UST-3CRV pool to augment $CRV and $CVX rewards.,terra_money,[],"['luna', 'crv', 'cvx']",5,47,1
2021-11-30 05:52:02 UTC,"2/ Curve is the primary hub of stablecoin liquidity on Ethereum and the largest protocol in DeFi by TVL, serving as a strategically important source of expanding UST adoption, particularly  UST liquidity.",terra_money,[],[],2,61,2
2021-11-30 05:52:01 UTC,"1/ A new proposal to significantly increase $UST liquidity on  pools via a 6-month incentive plan through , , and  is now posted on Agora 👇   https://t.co/PiUnSqWUCw",terra_money,[],['ust'],128,579,39
2021-11-30 01:46:08 UTC,Listen to . The man was born to give alpha to the people.,terra_money,[],[],8,128,0
2021-11-29 22:33:44 UTC,Community Spend Proposal 147 to fund TrackTerra's deployment as a tax and reporting app that exports Terra transactions to popular tax software has passed.   It's the first prop to pass under the new minimum $LUNA deposit and reduced voting period params.   https://t.co/8w2teXMTgO,terra_money,[],['luna'],37,372,10
2021-11-29 21:10:54 UTC,Roughly 7.2 million $LUNA has been burned in the last 5 days..   https://t.co/z9seinUJnA,terra_money,[],['luna'],378,2056,57
2021-11-24 23:00:44 UTC,rugged again,terra_money,[],[],0,5,0
2021-11-24 22:57:12 UTC,Patiently awaiting 's end-of-week bourbon tweet officially signaling Thanksgiving weekend has begun 🕑,terra_money,[],[],15,125,9
2021-11-23 00:38:01 UTC,3/ Polygon :   UST/USDC  Contract -- 0xe6469ba6d2fd6130788e0ea9c0a0515900563b59  Pool --  https://t.co/KUXgmywH3T  More pools on the way 😉,terra_money,[],[],8,134,6
2021-11-23 00:38:00 UTC,1/ Several more new  $UST pools are now available for ya on  and  👇,terra_money,[],['ust'],76,417,10
2021-11-22 22:09:45 UTC,"2/ The LUNA staking APR is now ~11.3% (excluding airdrops) and swap fees generated from minting UST on-chain are now allocated to LUNA stakers over 2 years.   For more details about the benefits of the burn, check out Mr. Kwon’s latest thread 👇   https://t.co/Qf2XedXZt1",terra_money,[],[],13,160,5
2021-11-22 22:09:44 UTC,"1/ Now that the community pool burn of 88.675 million $LUNA → $UST has been completed (Props 133 &amp; 134), the resulting 2,705,987,177 UST generated from the swaps has been returned to the community pool:    https://t.co/JFrI9I1SZn",terra_money,[],"['luna', 'ust']",65,374,5
2021-11-22 21:32:07 UTC,Check out 's latest on the Terra Delegation Program (TDP) in the piece below 👇   https://t.co/g0hQyXlm73,terra_money,[],[],8,48,0
2021-11-19 02:36:20 UTC,"3/ For more details, you can check out the original proposal on Agora below:    https://t.co/at1OtVtgOK",terra_money,[],[],8,53,1
2021-11-19 02:36:19 UTC,"2/ The parameter changes from the proposal will go into effect immediately, meaning that all new on-chain votes will require a minimum 50 LUNA deposit to be activated in the voting period, which will last for 7 days.",terra_money,[],[],6,72,4
2021-11-19 02:36:19 UTC,1/ On-chain proposal 137 to shorten the voting period from 14 days to 7 days and reduce the minimum $LUNA deposit from 512 to 50 LUNA has now passed.    https://t.co/rqF0jR1sT7,terra_money,[],['luna'],60,358,11
2021-11-19 02:27:46 UTC,"3/ More pools on , , and  on the way 👀",terra_money,[],[],26,190,7
2021-11-19 02:27:46 UTC,1/ New  $UST and $LUNA pools are now available on !   Check them out below 👇,terra_money,[],"['ust', 'luna']",69,409,9
2021-11-18 19:31:55 UTC,"6/ In the words of SJ “Young Alpha” Park (), the metaverse is coming to Terra 👀   https://t.co/1HFswgFPAu",terra_money,[],[],8,94,0
2021-11-18 19:31:54 UTC,"5/ From the recent Zepeto and  partnership for Terra One to today with some more alpha incoming, 2022 is going to be a fun year for gamers 😉    https://t.co/PMfhz1ZMTe",terra_money,[],[],2,73,1
2021-11-18 19:31:54 UTC,"4/ The Terra and Gamevil partnership is part of an ongoing push to onboard the Korean gaming market into blockchain-based infra and P2E models, with Terra stablecoins playing a pivotal role in earning rewards pegged to existing units of account.",terra_money,[],[],3,63,1
2021-11-18 19:31:53 UTC,3/ The Gamevil  game-specialized platform Hive is set to become an open and blockchain-exclusive SDK supporting a future slate of third-party titles incorporating P2E and NFTs.    https://t.co/2QxWoyxfJC,terra_money,[],[],2,55,1
2021-11-18 19:31:50 UTC,2/ The strategic partnership between Terra and  sets the stage for a P2E market fusing blockchain-based NFTs and earnings in Terra stablecoins with smash hits like Summoner’s War and Chromatic Souls: AFK Raid.    https://t.co/e5KxNoiyJz,terra_money,[],[],3,63,1
2021-11-18 19:31:49 UTC,1/ Terra’s push into the massive Korean gaming market is just beginning.    https://t.co/ZgmQZwiZzq,terra_money,[],[],214,912,55
2021-11-17 01:37:52 UTC,"3/ Please cast your votes for Proposal 143 as you wish, as this vote will replace Prop 142 and reflects the correct proposal from the Agora post originally submitted.",terra_money,[],[],2,45,0
2021-11-17 01:37:52 UTC,2/ Please vote “No” on Prop 142 so that the vote will be discarded.   The new active on-chain Proposal 143 (Replace #142) accurately requests 68K LUNA (~$3 million) in incentives in line with the original Agora post for deploying $UST liquidity mining incentives.,terra_money,[],['ust'],7,47,3
2021-11-17 01:37:50 UTC,"1/ Please note that on-chain governance Prop 142 on Station inadvertently requests 3 million $LUNA rather than $3 million worth of LUNA (~68K LUNA), which is inconsistent with the original Agora proposal.    https://t.co/wxKid0OhOO",terra_money,[],['luna'],28,134,11
2021-11-16 02:15:43 UTC,"3/ You can find further details, including the incentive distribution and designated pools in the official Agora proposal below:    https://t.co/wxKid0OhOO",terra_money,[],[],1,36,3
2021-11-16 02:15:42 UTC,2/ The proposal requests $3 million in $LUNA LM incentives to deploy strategically across $UST pools on leading apps and protocols of major layer ones over 3 months -- augmenting UST liquidity and network effects amidst a proliferating and competitive multi-chain environment.,terra_money,[],"['luna', 'ust']",3,44,2
2021-11-16 02:15:42 UTC,1/ Community Pool Spend Proposal 142 from TFL is now active in the voting period as an on-chain vote 👇  Cast your votes #LUNAtics :)    https://t.co/oRGZghNoDY,terra_money,['lunatics'],[],20,94,4
2021-11-16 01:33:54 UTC,5/ Vesting schedule here:    https://t.co/iPzk8v8uLn,terra_money,[],[],0,26,1
2021-11-16 01:33:54 UTC,4/ An update will be provided once the multi-sig keys sign the transfer and the SDT is burned.   The details for the schedule of burning the remaining 700 million SDT over the next 7 years can also be found in the official proposal.,terra_money,[],[],2,30,1
2021-11-16 01:33:53 UTC,"3/ The 11,003,512 SDT to be burned immediately will be transferred from the multi-sig TFL Foundation wallet to the burn address in the proposal below:    https://t.co/RkJNwv64ll",terra_money,[],[],0,19,1
2021-11-16 01:33:53 UTC,"2/ Total SDT to be burned -- 711,003,512   Total SDT to be burned immediately -- 11,003,512   Total SDT to be burned over 7 years according to the vesting schedule -- 700 million SDT",terra_money,[],[],1,25,1
2021-11-16 01:33:53 UTC,1/ On-chain governance proposal 136 to burn the remainder of the SDT Stability Reserve has now passed.    https://t.co/NfnHzT7H6G,terra_money,[],[],33,210,2
2021-11-15 20:47:09 UTC,Community Pool Spend Proposal 135 to expand TeFi Alpha has passed on-chain governance voting.   Now comin' to you worldwide 😉   https://t.co/i8lK8eSCAg,terra_money,[],[],33,226,8
2021-11-13 01:37:43 UTC,6/ The NFTs will be sent directly to winners Terra addresses from Talis and followed up with an email.  will slowly be revealing how the various clues were solved :),terra_money,[],[],3,45,4
2021-11-13 01:37:43 UTC,5/ Each clue was actually a seed word corresponding to a 24-word seed phrase for the Terra wallet containing the $5K in UST!   The grand prize had to guess all 24 seed words in the correct order to win.,terra_money,[],[],3,42,3
2021-11-13 01:37:42 UTC,"4/ solved the first clue at 1:06 AM EST,  solved the most clues (9), The last clue was solved by  at 7:13 AM EST, and the grand prize was withdrawn at 12:57 AM EST.",terra_money,[],[],0,20,3
2021-11-13 01:37:41 UTC,2/ NFT prizes (via ) and the grand prize will be distributed early next week.   Congratulations to all of the winners!,terra_money,[],[],0,21,2
