created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 22:27:54 UTC,"When you have an ecosystem whose leader, VCs and it’s community are aligned towards the same vision…  …it becomes an unstoppable force you wouldn’t want to mess with.  I mean, they call us #LUNAtics for a reason, don’t they?  $LUNA = Moon $UST = People’s Stablecoin",themoonmidas,['lunatics'],"['luna', 'ust']",20,208,8
2021-11-30 22:19:58 UTC,"Couldn't attend  due to shitty covid policies.  But I'm in spirit.  Thanks , , , , ,    $LUNA  https://t.co/KT1yYeiXk7",themoonmidas,[],['luna'],1,53,3
2021-11-30 06:07:55 UTC,"I think this shows a clear picture of what the market wants.  What about if , ,  and  started to airdrop NFTs to their stakers? 👀",themoonmidas,[],[],0,5,2
2021-11-30 04:54:47 UTC,Just your daily reminder.  $LUNA,themoonmidas,[],['luna'],13,90,1
2021-11-29 19:20:55 UTC,Preparing a thread about that ;),themoonmidas,[],[],0,4,1
2021-11-29 18:40:30 UTC,"👀  Dope af:  * Pick a side and use your character and tech cards to destroy your opponents' HQ  * Attacks vary from direct ones, to ranged ones, to blasts which affect your characters' defenses  * Deep tactical mechanics that offer multiple ways of enjoying the game.  $LUNA $DEV",themoonmidas,[],"['luna', 'dev']",8,46,4
2021-11-29 13:14:14 UTC,"#LUNAtics, you know the drill!  $LUNA $UST",themoonmidas,['lunatics'],"['luna', 'ust']",7,57,0
2021-11-29 01:44:44 UTC,"So, tell me, are you ready to go to the moon yet?  I'll keep it simple for you:  $LUNA = Moon.  It literally means that in Latin, Spanish, Italian, Romanian, Russian and Slovenian.  When the simulation speaks, are you going to listen?",themoonmidas,[],['luna'],0,20,1
2021-11-29 01:39:20 UTC,"To  which will allow you to ""break"" your staked $LUNA in two: the rewards that you get and the LUNA without these rewards.  And dude, this is just the beginning, I tell you.  Just take a look at what  thinks about it:   https://t.co/v4OOg2BrdZ",themoonmidas,[],['luna'],4,44,2
2021-11-29 01:39:20 UTC,"From , the galaxy's next generation AMM/DEX that will make swapping assets a breeze.  To , the credit protocol that will bring the craziest leverage strategies.  From  that will allow you to swap assets in a decentralized p2p way.",themoonmidas,[],[],4,30,2
2021-11-29 01:39:18 UTC,"Soon, our $LUNA went from being unknown to being in the top 20.  With VCs from the caliber of ,  and ,  and more pushing for the ecosystem.   To one of the strongest communities in crypto: The #LUNAtics.",themoonmidas,['lunatics'],['luna'],0,29,1
2021-11-29 01:39:16 UTC,"However, this was just the beginning.   After doing CHAI, Do Kwon focused on growing  to the next stage.  He noticed that many countries couldn't access the US stock market.   A team assembled and created  for the community.   Mirrored stocks.",themoonmidas,[],[],0,28,1
2021-11-29 01:39:15 UTC,"Look, when you stake your $LUNA, it rewards you with coins used to pay in the network.  So, every time Seo-Jun goes to buy her groceries and pays with CHAI, $LUNA stakers get paid a fraction of that transaction fee.  Just like being the owner of VISA/Mastercard.",themoonmidas,[],"['luna', 'luna']",0,43,1
2021-11-29 01:39:15 UTC,"And for $LUNA stakers (those that stake their tokens in the system, kinda like what mining does for bitcoin)...  ...this transactions in the network mean one thing:  Moar stablecoins for them.  But wait! How come?!",themoonmidas,[],['luna'],0,26,2
2021-11-29 01:39:13 UTC,"...and suppose that $LUNA's price is at $50 at that moment...  ...well, you'll need 1 LUNA to create those 50 dollars (called $UST).  This algorithmic system allows players to do arbitrage and keep the peg.  You can check this video for more details:  https://t.co/t152Ls0aL6",themoonmidas,[],"['luna', 'ust']",0,35,2
2021-11-29 01:39:12 UTC,"But wait, how the hell do they create this coins?   Are they printed out of thin air?  Not exactly ser.  Enter $LUNA.  A volatile asset that serves to create algorithmically the stablecoins printed.  So, if you want to create, let's say $50...",themoonmidas,[],['luna'],0,33,1
2021-11-29 01:39:11 UTC,"They found a solution for this and called it : a group of stablecoins pegged to their value in the real world.  So, you have 1 $UST which is pegged to the dollar.  Same with $KRT which is pegged to the korean won.   $EUT = Euro, and so on.",themoonmidas,[],"['ust', 'krt', 'eut']",0,37,1
2021-11-29 01:39:08 UTC,What is $LUNA and why you should pay attention to it.  (Alternative title: How to arrive to the moon)   🧵👇  https://t.co/wkRcZd4g57,themoonmidas,[],['luna'],203,750,28
2021-11-29 00:36:13 UTC,"Wormhole works for Polygon if i recall correctly, and I think Avax and FTM are in the works",themoonmidas,[],[],0,4,1
2021-11-29 00:17:46 UTC,Hey Sean  https://t.co/K8Sh1YFptL,themoonmidas,[],[],0,7,1
2021-11-28 23:38:15 UTC,Larry shitposts better than 99.9% shitposters out there,themoonmidas,[],[],0,18,0
2021-11-28 22:05:44 UTC,"If you liked this post, share it with your frens so they know about $LUNA and $UST :)  Help spread the word!",themoonmidas,[],"['luna', 'ust']",22,134,5
2021-11-28 19:54:46 UTC,"Airdrop, LUNA burnt, UST growth and other stats: :  https://t.co/WcpXfFQ8ei  Analytics: :  https://t.co/cEHgLI69fn  Learning Resources: :  https://t.co/x7TBNXmpGn",themoonmidas,[],[],3,61,2
2021-11-28 19:54:44 UTC,"Wallets: Terra Station:  https://t.co/DeqCGuuAsl  :  https://t.co/t1l5Fy7m0m  Bridge from/to ETH/BSC/SOL:  https://t.co/G2q02DpLy8  Charts, Pools, DEX aggregator: :  https://t.co/jabSAqEERv  Savings &amp; Borrowing:  :  https://t.co/VnZjHlTHML",themoonmidas,[],[],16,125,5
2021-11-28 19:54:44 UTC,$LUNA and  resources:  (Nov update)  🧵👇,themoonmidas,[],['luna'],775,2455,79
2021-11-28 03:08:47 UTC,We really need to get  working full time on these meme videos.  $LUNA,themoonmidas,[],['luna'],22,155,10
2021-11-27 19:24:09 UTC,Why is Google Ads showing me ads for ultra rich ppl?  What do they know that I don’t?  Perhaps they can predict the future? 🤔  $LUNA,themoonmidas,[],['luna'],3,110,7
2021-11-27 16:11:21 UTC,Yep. That’s how I got back into Twitter and found $LUNA.  All thanks to Facebook!  Who would’ve thought a ban would be so good!,themoonmidas,[],['luna'],0,34,0
2021-11-26 22:09:42 UTC,#15 doesn’t sound like a big value proposition and their commission either when there are free ones.   are you routing too much $LUNA to these guys?   Not sure why they’re considered a blue chip,themoonmidas,[],['luna'],0,1,1
2021-11-26 22:01:44 UTC,Who is this dude and why are people staking on his validator?  $LUNA,themoonmidas,[],['luna'],6,68,12
2021-11-26 00:55:35 UTC,We require more Kajs on the #LUNAtic Army  Who else is with us?  $LUNA,themoonmidas,['lunatic'],['luna'],4,107,17
2021-11-26 00:28:14 UTC,This wallet has been sending $LUNA to other wallets even before the 26 millions were sent to this one.  Has anyone received any LUNA from this wallet? terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe  Is it from an exchange?,themoonmidas,[],['luna'],0,18,4
2021-11-26 00:26:56 UTC,"Yeah you're right there, what doesn't make sense to me is that they have withdraws of less than 5 LUNA",themoonmidas,[],[],0,1,1
2021-11-25 23:54:30 UTC,You can’t withdraw less than 5 Luna from Binance tho,themoonmidas,[],[],0,0,1
2021-11-25 23:31:52 UTC,"👀  26 million $LUNA...  ...wonder how much $UST could be minted from it...   (Thanks to  for spotting this and sharing it with me, follow him)",themoonmidas,[],"['luna', 'ust']",9,89,9
2021-11-24 17:33:09 UTC,Why not both?,themoonmidas,[],[],0,1,1
2021-11-24 17:28:10 UTC,👀  Wondering...   Wen  +  collabo?  Perhaps  can be interesting ;)  Wdyt ?  https://t.co/cg9ZHo1haH,themoonmidas,[],[],14,103,11
2021-11-24 16:59:13 UTC,"💡Idea: create a list of podcasts that speak on finance, technology, charity, human behavior or art  Pair them with respective #LUNAtics big brains.  Contact all the podcasts with their respective and personalized pitch.  Get our big brains to talk about .   $LUNA",themoonmidas,['lunatics'],['luna'],11,127,13
2021-11-24 12:43:47 UTC,"Sweet, I see  on their roadmap",themoonmidas,[],[],3,68,1
2021-11-24 02:22:05 UTC,You know what to do #LUNAtics!  $LUNA,themoonmidas,['lunatics'],['luna'],1,8,1
2021-11-24 01:11:09 UTC,We need that but for all eSports league,themoonmidas,[],[],0,1,1
2021-11-24 00:41:27 UTC,"Tap into Latin America’s talents and you’ll also find an unstoppable workforce as well.  We know how to work hard, for long hours and giving it all (given the right conditions… ofc).  When I started in , there wasn’t any Spanish speaking group.",themoonmidas,[],[],0,27,2
2021-11-23 23:42:52 UTC,"*knock knock*  Hey , it’s come to my attention that  is missing from your app.  How can we get your support?   Asking for my $LUNA fam  (Cc.      )  https://t.co/q8e450rYYU",themoonmidas,[],['luna'],8,90,7
