created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count,coin
2021-11-30 16:08:40 UTC,2/2 🚀 The program aims to support innovative projects building on #Polygon to bolster growth &amp; innovation within our thriving ecosystem.   is already in conversation with a number of Polygon projects.    https://t.co/evLP9Kf3Ar,0xpolygon,['polygon'],[],36,186,11,MATIC
2021-11-30 16:08:39 UTC,"1/2 🤩 , a leading market maker in digital assets announces a program worth $20M as an investment fund to support the #Polygon ecosystem.  🌐 Learn more:  https://t.co/evLP9Kf3Ar  https://t.co/VjXg6PmtIR",0xpolygon,['polygon'],[],83,413,30,MATIC
2021-11-26 13:34:51 UTC,"3/3 💫 Come and see why #Polygon is the destination for some of the most significant Web 3.0 projects and 3,000+ dApps!   🌐 Learn more:  https://t.co/dEa1Ts5YpT",0xpolygon,['polygon'],[],29,242,9,MATIC
2021-11-26 13:34:49 UTC,1/3 👁️ Here are (at least) 7 reasons to start building on #Polygon right now!  🌐 Learn more:  https://t.co/dEa1Ts5YpT  https://t.co/21gbG8g1Zv,0xpolygon,['polygon'],[],237,1118,73,MATIC
2021-11-25 17:22:08 UTC,"✨ $MATIC is now available on , Spain's largest exchange.  Probably nothing.",0xpolygon,[],['matic'],251,1129,53,MATIC
2021-11-24 18:35:52 UTC,"😍 #Thanksgiving2021 can't get better...  🙌 Welcome to the Web 3 space &amp; the #Polygon ecosystem, .  🤗 Delighted to have you on board with us!  ➡️ Follow  to get the latest updates on Polygon’s Blockchain Gaming &amp; #NFT ecosystem!",0xpolygon,"['thanksgiving2021', 'polygon', 'nft']",[],206,793,86,MATIC
2021-11-23 17:00:35 UTC,"2/2 ✨All bets are placed in #Polygon USDC, which can be sent directly to user wallets or exchanged from any of the 138 digital currencies supported by Exodus. Exodus's future plans include allowing wallet users to stake $MATIC.  🌐 Learn More:  https://t.co/NfshsIUM3b",0xpolygon,['polygon'],['matic'],32,193,11,MATIC
2021-11-23 17:00:34 UTC,"1/2 🤩 , a dApp integrated on #Polygon partners with  to bring betting in-wallet!  With over 1M MAU on the biggest non-custodial wallet provider, Exodus has natively built SportX Lite for users to bet on 2K+ sports &amp; eSports games.  🌐: https://t.co/NfshsIUM3b  https://t.co/knRC4z5hpz",0xpolygon,['polygon'],[],91,419,27,MATIC
2021-11-23 15:41:30 UTC,"1/2 ✨ Milestone Alert!  🤩 We've just surpassed the 900K followers mark.   Thank you all for your interest in our ecosystem: 3,000+ dApps, 1B+ total txns processed, ~100M+ unique user addresses, and $5B+ in assets secured. There is a lot more to come on #Polygon 🚀  https://t.co/CEWJP4YFKd",0xpolygon,['polygon'],[],153,883,53,MATIC
2021-11-23 14:51:08 UTC,"2/2 🏃‍♂️ Nexo is running a special promotion allowing all users who buy &amp; hold $MATIC on their platform to instantly begin earning rewards. These will be paid out daily until the promo ends on Jan 3, 2022.  🌐 Learn More:  https://t.co/6npYT674Fr",0xpolygon,[],['matic'],40,285,10,MATIC
2021-11-23 14:51:07 UTC,"1/2 🚀 #Polygon arrives on  with up to 20% APR for $MATIC holders.  🤩 Nexo users can now buy, swap, &amp; earn on MATIC. They can also borrow against it at as low as 6.9% APR.  🌐 Learn More:  https://t.co/6npYT674Fr  https://t.co/tLCp3jhdKr",0xpolygon,['polygon'],['matic'],131,635,48,MATIC
2021-11-22 15:02:17 UTC,2/2 👀 Akash network is a premier and leading infrastructure building block of web 3.0. Their work champions decentralization - a core tenet of blockchains &amp; a strong philosophy of #Polygon foundation.  ➡️:  https://t.co/GPPdyY8FHh   🧑‍💻 Follow  for dev-focused news!,0xpolygon,['polygon'],[],45,248,8,MATIC
2021-11-22 15:02:16 UTC,1/2 🤩  and #Polygon will team up to offer decentralized infrastructure to dApp developers.  🤝 The joined forces will help in onboarding thousands of dApps to the distributed cloud hosting solution.  ➡️ Learn more:  https://t.co/GPPdyY8FHh  https://t.co/VC8lS1Bsa8,0xpolygon,['polygon'],[],217,864,48,MATIC
2021-11-22 14:34:56 UTC,2/2 🤔 All done?  🥳 Congratulations!  👀 Note: Make sure the tasks are performed on the #Polygon network.  ✅ Submit your task now -  https://t.co/ysNmJt5XXH,0xpolygon,['polygon'],[],56,233,34,MATIC
2021-11-22 13:43:15 UTC,⚠️ Attention #Polygon Validators &amp; Delegators!   📜 There is a PIP proposal aimed at distributing and decentralizing staking power. It calls for a minimum commission rate of 5%.  ⚖️ Weigh in here:  https://t.co/jot9kUzEAZ,0xpolygon,['polygon'],[],82,376,30,MATIC
2021-11-19 16:14:02 UTC,Bridge any token from ETH to Polygon PoS in less than 5 mins in 1-click!,0xpolygon,[],[],141,627,51,MATIC
2021-11-19 15:22:40 UTC,"📢 It's official: 's permanent storage is now live on #Polygon.  👉 Follow  for developer-focused announcements, hackathons, and much more.",0xpolygon,['polygon'],[],157,719,40,MATIC
2021-11-18 15:00:41 UTC,"3/3 👀 What can Chainlink Keepers do for your project on #Polygon?  💪 Decentralized execution, expandable computation, high uptime, and lower #DevOps costs.   ➡️ Learn more:  https://t.co/v0QeLuOEF8",0xpolygon,"['polygon', 'devops']",[],58,296,8,MATIC
2021-11-18 15:00:41 UTC,2/3 🤝 Both Chainlink Price Feeds and Chainlink VRF have integrated with #Polygon. That's time-tested infrastructure for decentralized price oracles in #DeFi and secure RNG in gaming and #NFTs.,0xpolygon,"['polygon', 'defi', 'nfts']",[],25,214,5,MATIC
2021-11-18 15:00:40 UTC,1/3 🤩  Keepers are now live on #Polygon PoS Mainnet!  🚀 Make your projects hum with secure smart contract automation services.  ➡️ Learn more:  https://t.co/v0QeLuOEF8  https://t.co/xz02EYKjHf,0xpolygon,['polygon'],[],280,1245,62,MATIC
2021-11-18 13:54:47 UTC,"1/2 🤩 #Polygon Commits $100,000 to Scale Ethereum Ecosystem in  Grants Round 12. The funds will go to projects that advance our ecosystem, the leading solution for scaling #Ethereum.  ➡️ Learn more:  https://t.co/AhTAHU2YpL  https://t.co/X8qNrqGoal",0xpolygon,"['polygon', 'ethereum']",[],103,494,27,MATIC
2021-11-17 15:39:11 UTC,3/4 🤩 Power users who engage with protocols regularly are the key driver of demand for dApps.   #Polygon’s DeFi competition will be another way to incentivize innovation and participation amongst promising projects.,0xpolygon,['polygon'],[],17,131,5,MATIC
