created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-29 22:39:36 UTC,$MATIC hodlers are going to make it.,missnatoshi,[],['matic'],102,1449,114
2021-11-29 16:23:23 UTC,"Cyber Monday Sale happening  RIGHT NOW on Unstoppable Domains now! Buy a .crypto domain and get one free! And you can mint on $MATIC  for $0 gas fees of course!!  You can get the deal here 👇 https://t.co/ti7KHnDI8q""",missnatoshi,[],['matic'],8,39,5
2021-11-29 06:44:24 UTC,What he said 👇 $matic,missnatoshi,[],['matic'],13,165,5
2021-11-29 06:29:09 UTC,Two big potential events that could SEND $matic again;  1. Coinbase NFT’s 2. Uniswap   Pay attention 👀,missnatoshi,[],['matic'],191,1723,165
2021-11-29 06:26:37 UTC,Almost there !!! $UNI potentially coming to $MATIC 👀,missnatoshi,[],"['uni', 'matic']",21,182,3
2021-11-29 00:43:49 UTC,I hope you are using $aave on $matic  network  🙌,missnatoshi,[],"['aave', 'matic']",10,128,2
2021-11-28 03:38:59 UTC,All these built on $MATIC and it is only the BEGINNING!,missnatoshi,[],['matic'],23,222,11
2021-11-25 23:24:51 UTC,Goooood freaking morning $matic 😱  https://t.co/f2sMP6CmvZ,missnatoshi,[],['matic'],32,413,27
2021-11-25 21:54:38 UTC,Logz  joined the $matic fam !!!,missnatoshi,[],['matic'],3,44,3
2021-11-25 18:36:41 UTC,I am going for $10 $matic next bullish leg up.   Fight me 😉,missnatoshi,[],['matic'],66,1044,121
2021-11-25 08:11:17 UTC,$matic hodlers must read 👇,missnatoshi,[],['matic'],12,58,4
2021-11-24 16:39:57 UTC,Polygon  X    20% APR for $matic hodlers is huge! 😱,missnatoshi,[],['matic'],4,41,10
2021-11-23 21:11:44 UTC,Who else in $matic since it was pennies! 👋,missnatoshi,[],['matic'],24,584,91
2021-11-22 19:34:52 UTC,"$matic fam, you can farm $DES on #quickwap 🐉   Check out the  blog for a tutorial ⬇️    https://t.co/r7GmKsQIPJ…   https://t.co/AxAM21g4S4",missnatoshi,['quickwap'],"['matic', 'des']",2,14,1
2021-11-22 07:53:39 UTC,"#bitcoin, #ethereum, and $matic   Top 3 crypto's",missnatoshi,"['bitcoin', 'ethereum']",['matic'],38,304,31
2021-11-22 07:51:49 UTC,Always bullish on $MATIC,missnatoshi,[],['matic'],40,218,20
2021-11-20 16:55:58 UTC,"Virtual Video game 🎮 of battlefield made by  on #Polygon is now live on  and newly listed on    Aquire $GULL to play multiplayer game by making strategies, upgrading cards and in-game assets etc.   https://t.co/HxmxaFe6hl",missnatoshi,['polygon'],['gull'],9,40,2
2021-11-20 00:26:56 UTC,The proposal for $Uni V3 to come to $MATIC 😱    https://t.co/QZNUT2Dqws,missnatoshi,[],"['uni', 'matic']",84,433,25
