created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-28 02:37:00 UTC,How the heck did I miss this?   #polygon $matic being used by Ticket Master for digital ticket stubs.   Only a matter of time before tickets are sent this way.    https://t.co/3eJyXXg1f1,thecryptolark,['polygon'],['matic'],209,1052,110
2021-11-15 04:08:38 UTC,"Today I used #ethereum, #polygon, and #BSC. Just today.   I regularly use 3 to 5 chains per week.   I couldn't imagine just being ""stuck"" on one chain.",thecryptolark,"['ethereum', 'polygon', 'bsc']",[],58,983,320
2021-11-05 19:10:00 UTC,What are your top 5 #crypto holdings?   Mine are  #bitcoin  #ethereum  $usdc $egld  $matic,thecryptolark,"['crypto', 'bitcoin', 'ethereum']","['usdc', 'egld', 'matic']",290,2972,1764
2021-11-05 00:28:04 UTC,"Have you used BSC, Polygon, Solana, or Avalanche? Why only use Ethereum?",thecryptolark,[],[],0,106,14
2021-11-05 00:27:37 UTC,"Yes, use BSC, Solana, Avalanche, Polygon, etc",thecryptolark,[],[],3,45,8
2021-11-05 00:25:53 UTC,$matic for the win! $sand,thecryptolark,[],"['matic', 'sand']",90,710,48
2021-10-31 23:05:28 UTC,"Then don't use Ethereum dude, soooooooooo many other options out. Use BSC, Polygon, Solana, Fantom, Avalanche, all dirt cheap to use.",thecryptolark,[],[],2,57,5
2021-10-29 04:38:47 UTC,"Nope, just withdraw your matic or USDC from an exchange like Binance",thecryptolark,[],[],0,9,3
2021-10-29 04:31:28 UTC,"While #ethereum fees are crushing, and to be honest completely inaccessible for non rich users #solana #avalanche #BSC and #polygon all offer dirt cheap fees and a good user experience!",thecryptolark,"['ethereum', 'solana', 'avalanche', 'bsc', 'polygon']",[],83,1221,184
2021-10-29 01:51:28 UTC,"$matic back over $2, nice!",thecryptolark,[],['matic'],83,1781,100
2021-10-27 01:44:27 UTC,"We can also add in here the explosion of Ethereum layer two adoption with Optimism, Arbitrum, Polygon, Starkware, and ImmutableX, among others.   Don't fade ETH, this bad boy is going to 5 digits.",thecryptolark,[],[],27,335,26
2021-10-22 21:45:00 UTC,"This year I have used  #Bitcoin  #ethereum (Most used) #solana #avalanche #polygon #BSC  #arbitrum #kusama   Probably missing something, but how about you, what chains have you used this year and which you do you use the most?",thecryptolark,"['bitcoin', 'ethereum', 'solana', 'avalanche', 'polygon', 'bsc', 'arbitrum', 'kusama']",[],57,707,553
2021-10-20 20:03:14 UTC,That is INSANE! $matic,thecryptolark,[],['matic'],83,605,39
2021-10-11 06:45:41 UTC,"Polygon, optimism, arbitrum, and starkware… scaling is already here for #ethereum and it works very well",thecryptolark,['ethereum'],[],73,976,93
2021-09-30 23:56:45 UTC,Switzerland is issuing a #crypto stamp using Polygon! Cool!    https://t.co/NMoQHHZ9uG,thecryptolark,['crypto'],[],64,415,16
2021-09-15 01:59:22 UTC,"DOT ecosystem is massive and growing all the time, although the hype has come down a bit with the rise of BSC, Polygon, Terra, &amp; Solana which are in production now.   But DOT has some seriously good devs building really powerful products on DOT.   It has an ecosystem ready to go  https://t.co/kdMny9nmVY",thecryptolark,[],[],100,367,4
2021-09-14 06:25:04 UTC,Great news for $matic!    https://t.co/DMRjVxE8pe,thecryptolark,[],['matic'],369,1818,116
2021-09-13 02:15:07 UTC,"For those complaing #ethereum fees are too high, yes, it sucks! But news flash! ETH is but one of many chains. #solana $matic #BinanceSmartChain #Avalanche and many others have dirt cheap fees. You can literally play with $20 bucks on these chains.   PS #eth arbitrum is cheap too",thecryptolark,"['ethereum', 'solana', 'binancesmartchain', 'avalanche', 'eth']",['matic'],55,730,141
2021-09-13 00:06:58 UTC,"Like I said, this was just from the last month. Polygon has also had 100 million in April.",thecryptolark,[],[],0,14,0
2021-09-12 23:53:37 UTC,In the last month the following mega #crypto funds have been launched to attract developers.   $luna 150 million  $algo 330 million  $sol 314 million $avax 180 million $ftm 300 million $matic 100 million (for NFTs)  You are not bullish enough.,thecryptolark,['crypto'],"['luna', 'algo', 'sol', 'avax', 'ftm', 'matic']",204,1457,149
2021-09-10 22:49:16 UTC,Polygon is great,thecryptolark,[],[],0,3,0
