created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-29 20:20:52 UTC,"All eyes on  today as they prepare to launch their v2 contract on BSC, ETH, and Polygon!   Their v1 migration has gone seamlessly over the past week:  87% of v1.0 tokens upgrades  31% of the entire v2 supply staked  6:00PM EST  https://t.co/STvXhIixhq  https://t.co/cziIijKCOw",watcherguru,[],[],407,969,414
2021-11-26 00:31:38 UTC,Which coin will lead the bull run? 🤨  #DOGE #ETH #BNB #SOL #DOT #ADA #LUNA #LTC #ALGO #AXS #VET #AVAX #SHIB #CRO #FTM #MANA #SAND #GALA #ELON #FTT #LINK #MATIC #SFM #TEL  #KISHU  #FLOKI  #SAITAMA #HBAR #XLM #XRP,watcherguru,"['doge', 'eth', 'bnb', 'sol', 'dot', 'ada', 'luna', 'ltc', 'algo', 'axs', 'vet', 'avax', 'shib', 'cro', 'ftm', 'mana', 'sand', 'gala', 'elon', 'ftt', 'link', 'matic', 'sfm', 'tel', 'kishu', 'floki', 'saitama', 'hbar', 'xlm', 'xrp']",[],387,1966,1855
2021-11-25 19:31:07 UTC,"JUST IN: $MATIC has flipped $LINK and is now the 18th biggest cryptocurrency in the world by market capitalization.   Current Market Cap: $12,938,798,768",watcherguru,[],"['matic', 'link']",99,843,67
2021-11-24 19:12:36 UTC,"If you had $100,000 to invest into a #cryptocurrency of your choice, which project would you choose? 🧐  $BTC  $BNB  $ETH  $VET $XRP  $CRO $AVAX $SHIB $DOGE  $ADA  $SFM $MATIC  $DOT  $XVG $XLM $LINK  $SOL  $TEL $EGLD  $VRA $FLOKI $KISHU #Saitama",watcherguru,"['cryptocurrency', 'saitama']","['btc', 'bnb', 'eth', 'vet', 'xrp', 'cro', 'avax', 'shib', 'doge', 'ada', 'sfm', 'matic', 'dot', 'xvg', 'xlm', 'link', 'sol', 'tel', 'egld', 'vra', 'floki', 'kishu']",600,3074,3826
2021-11-24 03:10:48 UTC,"On this day one year ago, 1 $MATIC was worth $0.0216   Today, 1 #MATIC is worth $1.69, that’s a 7,700% increase in 365 days.",watcherguru,['matic'],['matic'],78,743,118
2021-11-22 04:29:46 UTC,Never SELL your…… ❌  $BTC  $BNB  $ETH  $VET $XRP  $CRO $AVAX $SHIB $DOGE  $ADA  $SFM $MATIC  $DOT  $XVG $XLM $LINK  $SOL  $TEL $EGLD  $VRA $FLOKI $KISHU $______???,watcherguru,[],"['btc', 'bnb', 'eth', 'vet', 'xrp', 'cro', 'avax', 'shib', 'doge', 'ada', 'sfm', 'matic', 'dot', 'xvg', 'xlm', 'link', 'sol', 'tel', 'egld', 'vra', 'floki', 'kishu']",1202,6010,4648
2021-11-21 00:45:11 UTC,"Which of these will happen first in 2022? 🤔  #Bitcoin: $100,000  #Ethereum: $10,000 #BNB: $1,000  #Solana: $500 #Chainlink: $100 #Polkadot: $100 #Cardano: $6  #XRP: $4  #SHIB: $0.001 #DOGE: $1  #VeChain: $1 #CRO: $1 #XLM: $1  #MATIC: $4  #SafeMoon: $.000050",watcherguru,"['bitcoin', 'ethereum', 'bnb', 'solana', 'chainlink', 'polkadot', 'cardano', 'xrp', 'shib', 'doge', 'vechain', 'cro', 'xlm', 'matic', 'safemoon']",[],1263,6299,2629
2021-11-19 22:01:34 UTC,"Build your portfolio, choose any 3 cryptocurrencies below! 🤨  $BTC  $ETH  $BNB  $VET $XRP $SFM $AVAX $ADA $MATIC $LTC $SOL  $DOGE $TEL $XLM $EGLD  $XVG $DOT $CRO $FEG  $RISE  $SHIB  $FLOKI $KISHU  #BabyDoge #Dogelon",watcherguru,"['babydoge', 'dogelon']","['btc', 'eth', 'bnb', 'vet', 'xrp', 'sfm', 'avax', 'ada', 'matic', 'ltc', 'sol', 'doge', 'tel', 'xlm', 'egld', 'xvg', 'dot', 'cro', 'feg', 'rise', 'shib', 'floki', 'kishu']",474,2130,1990
2021-11-17 05:16:32 UTC,"If you had $50,000 to buy the dip right now, which #crypto would you buy?   #Bitcoin  #Ethereum #BNB #Solana  #Cardano  #XRP  #VeChain  #Matic #Chainlink  #Polkadot  #Dogecoin  #SHIB  #SafeMoon  #KISHU  #FLOKI  #BabyDogeCoin   You can only choose one.🧐",watcherguru,"['crypto', 'bitcoin', 'ethereum', 'bnb', 'solana', 'cardano', 'xrp', 'vechain', 'matic', 'chainlink', 'polkadot', 'dogecoin', 'shib', 'safemoon', 'kishu', 'floki', 'babydogecoin']",[],852,4114,4546
2021-11-15 23:13:10 UTC,"Price targets:   #Bitcoin: $100,000  #Ethereum: $10,000 #BNB: $1,000  #Solana: $500 #Cardano: $6  #XRP: $4  #SHIB: $0.01 #DOGE: $1  #VeChain: $1 #MATIC: $4   Which will happen first? 🧐",watcherguru,"['bitcoin', 'ethereum', 'bnb', 'solana', 'cardano', 'xrp', 'shib', 'doge', 'vechain', 'matic']",[],1159,6218,1542
