created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 18:49:14 UTC,Robinhood will list $SHIB sooner or later!  Because #resistanceisfutile 🐶🛡⚔  https://t.co/xylkaoseXW,army_shiba,['resistanceisfutile'],['shib'],794,3055,118
2021-11-30 16:54:34 UTC,"Thanks for listing $SHIB,    🐶🔥🚀🚀  https://t.co/R4nYUXLUZB",army_shiba,[],['shib'],739,2502,74
2021-11-30 16:38:55 UTC,$SHIB IS ON FIRE TODAY! 🐶🔥  https://t.co/qRpIeLi7nw,army_shiba,[],['shib'],501,2032,125
2021-11-30 13:01:29 UTC,"Bull Season is Loading! 🆗️, 🆒️  https://t.co/amloMTzqdx",army_shiba,[],[],361,1486,52
2021-11-30 11:04:52 UTC,Visit  https://t.co/K9aumgC4Dx and vote for $SHIB! 🐶🔥📈🚀🚀,army_shiba,[],['shib'],176,657,43
2021-11-30 10:49:33 UTC,"When $SHIB breaks this resistance, the real MOON Party starts! 📈🚀  https://t.co/EDWtsqZ82F",army_shiba,[],['shib'],977,3620,201
2021-11-30 10:16:52 UTC,Good Morning Brother,army_shiba,[],[],7,43,6
2021-11-30 09:10:06 UTC,"If $SHIB can hold the 0.00004863 support zone, next target will be 0.00005808! LFG! 📈🚀🚀🚀  🛡 My Crypto TG Channel:  https://t.co/MOAqqxE2IH  https://t.co/avBoALK7x3",army_shiba,[],['shib'],508,1835,87
2021-11-30 06:57:37 UTC,Good Morning #ShibArmy ☕  https://t.co/1zgQmwoCYU,army_shiba,['shibarmy'],[],145,883,74
2021-11-29 19:07:15 UTC,The break out has begun! 🔥  $SHIB To the Moon and Beyond! 📈🚀🚀🚀🚀  https://t.co/FB7mZR6XFi,army_shiba,[],['shib'],556,1795,88
2021-11-29 17:00:20 UTC,Retweet if you are happy with $SHIB  listing! 🐶🔥  https://t.co/nVBl91bPWi,army_shiba,[],['shib'],3690,7993,252
2021-11-29 16:48:32 UTC,Amazing! 🐶🔥  https://t.co/Kz0IeNhSPT,army_shiba,[],[],296,1412,22
2021-11-29 15:31:23 UTC,"Yeah Pump It $SHIB, LFG! 📈🚀",army_shiba,[],['shib'],340,1194,28
2021-11-29 15:17:41 UTC,PUMP IT! 📈🚀  https://t.co/Puo0Gke4ya,army_shiba,[],[],232,1032,44
2021-11-29 13:52:53 UTC,$SHIB IS ON FIRE! 🔥🔥  https://t.co/yrrmLSsuzj,army_shiba,[],['shib'],283,1121,31
2021-11-29 09:36:17 UTC,$DICE PUBLIC LISTING!   💰 's token $DICE will be going live on Pancakeswap in LESS THAN 24 HOURS on Monday the 29th of November at 8PM UTC!  Please DYOR! 🙏  🚀 $DICE Contract: 0x924eBF416E8d207539eE36B1223b990db2Ae379E  Telegram:  https://t.co/H32xYr0kcd  https://t.co/VJrDPLjLf8,army_shiba,[],"['dice', 'dice', 'dice']",23,76,0
2021-11-29 08:12:07 UTC,Send it Prince! 📈🚀🚀,army_shiba,[],[],8,48,10
