id,created_at,tweet,cashtags,username,retweets_count,likes_count,language,replies_count,name,hashtags
1465560168104710144,2021-11-30 05:55:47 UTC,Shiba Inu Whales Have Purchased 42% More $SHIB in Last 24 Hours!   https://t.co/FTtJ8VQ5UF,['shib'],shibaarchives,303,1041,en,44,Shiba Inu,[]
1464411309114642434,2021-11-27 01:50:38 UTC,"Former VP of Tech at Activision Call of Duty William Volk, is Set to Join the $SHIB Team to help develop the future of Shiba Inu Gaming.",['shib'],shibaarchives,225,913,en,30,Shiba Inu,[]
1463345203541168136,2021-11-24 03:14:18 UTC,‘There’s Good News for the Shiba Inu Army This Week’: Let’s Decode Shytoshi Kusama’s Latest Tweet   https://t.co/hmmvm1eXZw,[],shibaarchives,94,261,en,45,Shiba Inu,[]
1462122295447728140,2021-11-20 18:14:54 UTC,Shiba Inu Ecosystem Expands to Create the ‘Dog Park’ 👀  Here’s What it Means   https://t.co/b0UNcgQ1LZ,[],shibaarchives,227,689,en,55,Shiba Inu,[]
1458922453284098053,2021-11-11 22:19:52 UTC,Could #Ethereum founder Vitalik Buterin secretly be a part of Shiba Inu?   Who is the original creator of #SHIB? 🧐   https://t.co/XY3tmscBnH,[],shibaarchives,173,483,en,38,Shiba Inu,"['ethereum', 'shib']"
1458561837562273792,2021-11-10 22:26:55 UTC,Did Coin Market Cap change the Shiba Inu supply?  https://t.co/SapUSb4rCr,[],shibaarchives,114,362,en,27,Shiba Inu,[]
1446280541100249089,2021-10-08 01:05:26 UTC,Shiba Inu / $SHIB took 14 months to hit a market value of $12 billion!  It took #Dogecoin 6 times as long to reach that milestone.,['shib'],shibaarchives,222,667,en,30,Shiba Inu,['dogecoin']
1445006201645903879,2021-10-04 12:41:40 UTC,#Crypto Top Gainers (24H) 🚀  $BCHA Bitcoin Cash ABC $217.78 (125.27%) $AXS Axie Infinity $150.69 (38.76%) $POLY Polymath $0.9636 (21.38%)  $SHIB Shiba Inu $0.0000 (14.42%)  $LUNA Terra $48.05 (12.43%),"['bcha', 'axs', 'poly', 'shib', 'luna']",shibaarchives,104,389,en,17,Shiba Inu,['crypto']
1444595035677368321,2021-10-03 09:27:50 UTC,"It’s going to become my duty to keep you guys informed, who wants to sign up for a $SHIB Inu newsletter?",['shib'],shibaarchives,104,443,en,32,Shiba Inu,[]
1441829854031368192,2021-09-25 18:19:59 UTC,More than 1 Million Investors Keep Shiba Inu $SHIB on their 'Watchlist' after Binance and Coinbase Listing,['shib'],shibaarchives,294,1244,en,80,Shiba Inu,[]
1441328231873871872,2021-09-24 09:06:43 UTC,A Shiba Inu is the ultimate source of a meme.,[],shibaarchives,115,473,en,15,Shiba Inu,[]
1438675411370713105,2021-09-17 01:25:22 UTC,#SHIBA IS RISING TODAY. 👀,[],shibaarchives,124,359,en,8,Shiba Inu,['shiba']
1435358661375844354,2021-09-07 21:45:47 UTC,Shiba Inu heads unite: Holographic Doge is launching 100 exclusive NFTs for the top 100 memecoins of this bull run and only 100 will ever be made.   The first one is being auctioned off soon and it’s going to be the Shiba Inu NFT (this picture above)! tg:  https://t.co/MohMTxjsuh  https://t.co/lNOKrVU2ie,[],shibaarchives,28,94,en,13,Shiba Inu,[]
