created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-27 14:43:54 UTC,"🔥SHIBA HEX PULSE🔥 💎BSC GEM - 100x potential, passive income via SHIBA INU💎 📌FAIR Launch 📌Variable rewards  📌Listed on CMC, CG SOON 📌1-1 airdrop - pulse chain  TG:  https://t.co/dATNyoSJaw Site :  https://t.co/R8x25zBKeP Contract: 0x62b6437349c0238d05acefeb0c4a14e9c8ea0f8d  https://t.co/QJe4jeznFm",shibainuhodler,[],[],98,335,46
2021-11-25 13:26:53 UTC,Next Shiba? Pomeranian ($POM) - new BSC Gem 💎 with 100x potential!  🚀 +7000 holders! 💲 $5M Marketcap! 💪 Listed on CMC &amp; CG! 🌏 Global Telegram:  https://t.co/3f1983QMFj 🌐 Site:  https://t.co/UDBC1ebiiW  Contract: 0x79a9b1e4298ac4a544608ff7715460b92b936c43  https://t.co/eIvUaHfO3a,shibainuhodler,[],[],193,523,215
2021-11-20 04:35:59 UTC,"🐶 $META () is blowing up! 🐶🚀🌙  $META has officially filed for Certik!  https://t.co/dBtGTFO5ot  Earn the highest $SHIB rewards on #BSC (10% on buys, 15% on sells)  https://t.co/ebko9HNKIh",shibainuhodler,['bsc'],"['meta', 'meta', 'shib']",174,505,150
2021-11-17 12:45:05 UTC,Heavy bullish on   🔥The BIGGEST #SHIBA Reward Token just released a few days ago!  🚀 Listed on CMC &amp; CG 🐶 Earn 10% $SHIB (each txn) 💰 Already +$100k in rewards distributed  Chart:  https://t.co/dnG6UG3BKH  TG:  https://t.co/SQc2u0Xww5  Web:  https://t.co/Z9jFtG3exg  https://t.co/Yd7XgfH7QX,shibainuhodler,['shiba'],['shib'],104,271,43
2021-11-15 07:23:52 UTC,Join the  meme conquest!🚀  $META is taking off!!🌙  14k holders and growing fast!🏃‍♀️  Their community is doing some amazing things. Join their movement on Telegram.  🗨️Telegram:  https://t.co/DlYmVdkG6i   🌐Website:  https://t.co/wrA2pDzm0v  #BNB #MetaShiba #100xGem  https://t.co/i8z1gVHKul,shibainuhodler,"['bnb', 'metashiba', '100xgem']",['meta'],139,291,102
2021-11-14 05:22:55 UTC,Elon has no $SHIB but  will start accepting Shiba as  payment soon!🤫🗣,shibainuhodler,[],['shib'],792,2800,191
2021-11-12 17:50:18 UTC,"SpookyShiba just launched, could be the next #ShibaInu  #Shiba bases token on #BSC with some spooky big gains :)   Already 10,000 + holders with UFC sponsorship tomorrow with  🔥🥊   https://t.co/Gw1oueYe9z  #spookyshiba #shib #crypto #bnb #bsc #eth #btc  https://t.co/YbJrpwNlEN",shibainuhodler,"['shibainu', 'shiba', 'bsc', 'spookyshiba', 'shib', 'crypto', 'bnb', 'bsc', 'eth', 'btc']",[],96,276,64
2021-11-10 08:30:40 UTC,One last low-cap play for today!    #SHINOMICS  Hold $SHINOMICS earn $SHIB  CONTRACT: 0x84bbad0fe2770790f2b587196c6ecb270e776647  Chart:  https://t.co/PPWL5nfWcJ  TG:  https://t.co/8AFZL9YRi5  #shiba #shib #GEM  https://t.co/OmmBKqm8xR,shibainuhodler,"['shinomics', 'shiba', 'shib', 'gem']",['shib'],91,278,44
2021-11-08 16:32:43 UTC,🚀‼️💎BSC Gem💎  ✅100% Community Owned ✅Liquidity Locked For 4 Years ✅Highest #SHIB rewards on BSC ✅Only 9 Days Old            $Meta Could Skyrocket!!🌙  🌐Website:  https://t.co/SJNda5MVNv                      💯Join Telegram💯 https://t.co/xZMmFPaS7g,shibainuhodler,['shib'],['meta'],116,319,70
2021-11-08 03:31:20 UTC,Missed #SHIB &amp; #DOGE ?  Don't miss the next 1000x gem 💎🚀  🔴 CHIHIRO INU (#CHIRO) 👀   ✅ 2500 holders+ ✅ $21.5m marketcap (ATH) ✅ DAO coming up ✅ Certik audit almost done ✅ Employed FT game dev ✅ Employed FT graphic designer ✅ CG &amp; CMC listed  🐦 Twitter   https://t.co/1wPxUUHt32,shibainuhodler,"['shib', 'doge', 'chiro']",[],106,293,71
2021-11-07 00:32:59 UTC,"GhostShiba joins the Shibarmy!!🚀  The first Nft drop will be a vip pass for future usecases.    The Token gives shiba rewards, cause GhostShiba wants to help #SHIBA to overtake the cryptoworld.   https://t.co/j0QofSZ2yr  #ghostshibarmy #shibarmy together  https://t.co/tf2L0HUKHd",shibainuhodler,"['shiba', 'ghostshibarmy', 'shibarmy']",[],157,401,60
2021-11-06 15:00:50 UTC,Next Shiba Inu? Nft Marketplace launch on 23-11-2021  Introducing 🔥   👑    👑  Contract Address:  0xdb2685a6004cf04ec0a0c024e28f0257df2e3559  Slippage: 18%  Telegram:  https://t.co/Kv55e25u2k  Buy Link:  https://t.co/h6ekbOxGDY  #floki #elon #shibainu #bnb #nft  https://t.co/sJzlNvGjVy,shibainuhodler,"['floki', 'elon', 'shibainu', 'bnb', 'nft']",[],91,257,48
2021-11-03 18:47:48 UTC,🔥$100 Giveaway 🔥  IS THIS THE NEXT SHIBA AND EVERGROW?! DON'T MISS OUT!   Winner announced in 24 hours!  To enter: MUST Retweet &amp; Follow     Must join their Telegram:   https://t.co/1pe2H5Mkja  Post screenshots of proof!   #SYMBULL #SYMBULLTHESHIBASLAYER #SHIB #SHIBA  https://t.co/dQaJiSEXWQ,shibainuhodler,"['symbull', 'symbulltheshibaslayer', 'shib', 'shiba']",[],253,364,221
2021-11-03 13:28:17 UTC,Just invested 10 BNB in the next $SHIBA!  MAMBA TOKEN ($MAMBA) - 1000X💎  🚨 ICO LIVE 🚨 Buy Now: MAMBA Exchange ( https://t.co/alX7XoTRij)  💸 75+ BNB Raised in Private ICO:  https://t.co/ybHGNtIQBQ    Socials: 💬   https://t.co/4peB5riz70 🌐   https://t.co/1XhVuFY3B8  https://t.co/kqBQsYyLJU,shibainuhodler,[],['shiba'],99,213,40
