created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 11:47:05 UTC,JUST IN: Shiba Inu Whales Have Purchased 42% More #SHIB in Last 24 Hours,shibreports,['shib'],[],888,3818,114
2021-11-29 12:23:04 UTC,JUST IN: #Shiba Inu ( $SHIB ) is working on ‘One of the Most Significant Games of All Time’   https://t.co/i6OvFQrcnU,shibreports,['shiba'],['shib'],829,2576,94
2021-11-26 22:41:10 UTC,"BREAKING: Former VP of Tech at Activision Call of Duty William Volk, is Set to Join the $SHIB Team to help develop the future of Shiba Inu Gaming.  This is huge!    https://t.co/bWXTZ4ypzX",shibreports,[],['shib'],1347,4168,161
2021-11-24 14:38:44 UTC,"The 4 most popular crypto Twitter pages this week, according to new followers, hashtags, and mentions:  1.   2.   3.   4.    🚀🚀🚀",shibreports,[],[],266,1006,112
2021-11-22 23:21:00 UTC,"Shiba Inu Could Reach $0.0001 By the End of 2021, Claims Financial Analyst.   https://t.co/fUuwp8425I",shibreports,[],[],463,1531,77
2021-11-20 19:09:52 UTC,BREAKING: Samsung-Backed Crypto Wallet Lists Shiba Inu ($SHIB) on Its Platform.   https://t.co/qH2hyHNxeq,shibreports,[],[],461,1410,65
2021-11-20 18:00:17 UTC,"BREAKING: This is huge. A new Shiba Inu whale just purchased $558,621,283.12 USD worth of $SHIB. 🐳   Very bullish. They must know a rise is coming.   SOURCE:  https://t.co/3hwOBKGARt  https://t.co/QjGJ2vWX44",shibreports,[],['shib'],1172,3326,474
2021-11-18 01:31:54 UTC,SHIBA SHIB SHI SH S S SU SUC SUCC SUCCE SUCCES SUCCESS   🚀🚀🚀🚀🚀 🚀🚀🚀🚀 🚀🚀🚀 🚀🚀 🚀 🐕 🐕🐕 🐕🐕🐕 🐕🐕🐕🐕 🐕🐕🐕🐕🐕,shibreports,[],[],347,1355,117
2021-11-16 16:25:00 UTC,"BREAKING: The Official Shiba Inu Twitter account , has now reached 2,000,000 total followers.   This means $SHIB is the 5th biggest cryptocurrency in the world by Twitter followers.",shibreports,[],['shib'],640,2183,67
2021-11-16 02:25:32 UTC,It’s clear  is drawing a lot of comparisons to $SHIB.,shibreports,[],['shib'],100,353,0
2021-11-15 15:34:04 UTC,"BREAKING NEWS: The crypto lead executive at  has tweeted... and then deleted... a post that said he's ""feeling good"" about this week with a GIF of Shiba Inu dog typing on a laptop.  His name is  and the story is below:   https://t.co/oxjU9VVesg",shibreports,[],[],480,1187,97
2021-11-15 12:09:48 UTC,CRAZY STAT: Over 70% of Shiba Inu ($SHIB) holders have made a profit.  RT and LIKE if you're one of them!,shibreports,[],[],560,1801,75
