created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 17:35:08 UTC,Very bullish for $SOL,cryptogodjohn,[],['sol'],10,156,8
2021-11-27 00:00:35 UTC,"4/ The  testnet launched a month ago and reached 2000 users within 20 days! It already supports countless networks including ,  and .  &amp;  integrations coming soon! Look it up:  https://t.co/beoyqukKbW",cryptogodjohn,[],[],0,7,1
2021-11-24 17:20:56 UTC,Congrats on a successful launch    When the Metaverse meets FarmVille built on Solana you get $DFL 🧑‍🌾   Definitely a coin that should be on your radar.,cryptogodjohn,[],['dfl'],12,137,17
2021-11-23 21:50:39 UTC,I can’t imagine living in a world where Sam does not shut the haters and critics up and sends $SOL to orbit,cryptogodjohn,[],['sol'],7,181,18
2021-11-23 01:57:20 UTC,Congrats on launch  !!  My GenoPet is the ultimate motivation to get back in the gym and be more active 💪  $GENE is the first move to earn NFT game that just recently launched on $SOL  I wanna battle my followers to see who can outwork me and motivate me to work! 💪🤝  https://t.co/UVZyhfTgmD,cryptogodjohn,[],"['gene', 'sol']",35,236,44
2021-11-21 22:58:34 UTC,Nice 15% bounce on $SOL  I think Solana runs hard going into December - 2022.  https://t.co/lgAtcJoBmS,cryptogodjohn,[],['sol'],12,98,111
2021-11-19 15:19:29 UTC,That’s a beautiful $SOL bounce,cryptogodjohn,[],['sol'],2,117,58
2021-11-18 17:30:15 UTC,Fully loaded on $SOL  https://t.co/cK50bW5D7t,cryptogodjohn,[],['sol'],4,157,131
2021-11-18 17:21:14 UTC,Bought more $SOL $JEWEL $ETH $BTC $LUNA,cryptogodjohn,[],"['sol', 'jewel', 'eth', 'btc', 'luna']",36,813,108
2021-11-18 00:39:04 UTC,$SOL local bottom ✔️  https://t.co/hAlriFjGqJ,cryptogodjohn,[],['sol'],9,133,14
2021-11-16 01:48:56 UTC,I like what I see $SOL  https://t.co/xD9xiyIl28,cryptogodjohn,[],['sol'],5,122,18
2021-11-15 14:21:35 UTC,"In the last 3 months I gave:  $SPELL 75x $BOSON 10x $HTR 7x $TRIAS 2x $VRA 3x $SAND 5x $DOT 3x $RVP 10x $POLC 4x $SOL 2x $PYR 3x  Maybe not every call moons, some may dump or go sideways  before taking off. Patience is rewarded   But my track record speaks for itself.",cryptogodjohn,[],"['spell', 'boson', 'htr', 'trias', 'vra', 'sand', 'dot', 'rvp', 'polc', 'sol', 'pyr']",59,1137,120
