created_at,name,language,retweets_count,replies_count,tweet,likes_count,id,cashtags,hashtags,username
2021-11-30 16:00:13 UTC,Eylem Cülcüloğlu,en,6,11,SOLUSDT GAVE BUY SIGNAL ON 4H CHART $SOL 1638288013,226,1465712279857606657,['sol'],[],eylemculculoglu
2021-11-28 22:00:04 UTC,Eylem Cülcüloğlu,en,7,27,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1638136804,239,1465078061783728139,['sol'],[],eylemculculoglu
2021-11-27 12:00:05 UTC,Eylem Cülcüloğlu,en,6,19,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1638014404,208,1464564681423704072,['sol'],[],eylemculculoglu
2021-11-25 16:00:05 UTC,Eylem Cülcüloğlu,en,9,27,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1637856004,276,1463900303833632773,['sol'],[],eylemculculoglu
2021-11-23 18:00:04 UTC,Eylem Cülcüloğlu,en,12,6,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1637690404,202,1463205724687847427,['sol'],[],eylemculculoglu
2021-11-22 00:00:01 UTC,Eylem Cülcüloğlu,en,4,9,SOLUSDT GAVE BUY SIGNAL ON 4H CHART $SOL 1637539201,80,1462571535001133065,['sol'],[],eylemculculoglu
2021-11-21 17:00:05 UTC,Eylem Cülcüloğlu,en,6,6,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1637514005,146,1462465853664989187,['sol'],[],eylemculculoglu
2021-11-19 14:00:04 UTC,Eylem Cülcüloğlu,en,6,17,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1637330404,183,1461695777181519873,['sol'],[],eylemculculoglu
2021-11-15 04:00:07 UTC,Eylem Cülcüloğlu,en,3,11,SOLUSDT GAVE BUY SIGNAL ON 4H CHART $SOL 1636948806,144,1460095240006688772,['sol'],[],eylemculculoglu
2021-11-15 00:00:08 UTC,Eylem Cülcüloğlu,en,3,6,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1636934407,140,1460034846244413448,['sol'],[],eylemculculoglu
2021-11-13 14:00:04 UTC,Eylem Cülcüloğlu,en,4,6,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1636812003,112,1459521446477189123,['sol'],[],eylemculculoglu
2021-11-11 06:00:04 UTC,Eylem Cülcüloğlu,en,4,14,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1636610404,155,1458675876850278404,['sol'],[],eylemculculoglu
2021-11-10 17:00:05 UTC,Eylem Cülcüloğlu,en,5,15,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1636563605,133,1458479588527513604,['sol'],[],eylemculculoglu
