created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-24 20:55:29 UTC,$VEMP just announced they're working on a Solana $SOL bridge to add a staking pool for    Official Star Atlas staking pools are coming to  in early 2022 💎   https://t.co/pdpcePIfWz,lilmoonlambo,[],"['vemp', 'sol']",30,93,12
2021-11-22 18:46:44 UTC,$ADA = slow as fuck  $ONE = crickets  $AVAX = just as expensive as $ETH  Arbitrum = dead $SOL = milked already  Bullish as fuck on  winning this,lilmoonlambo,[],"['ada', 'one', 'avax', 'eth', 'sol']",30,349,125
2021-11-19 14:57:46 UTC,"MonkeyBall  is giving me proper FIFA Street vibes  Their IDO date is November 30th, this week they highlighted their partnership with CMS + announced holding $MBS gets you into their upcoming NFT drop 🔥  esports metaverse P2E $SOL plays &gt;   https://t.co/AJgFCXQsIJ",lilmoonlambo,[],"['mbs', 'sol']",14,48,12
2021-11-13 14:33:34 UTC,Loaded up some altcoin bags on the dip yesterday  $DOT $ADA $SUSHI $SOL $DOGE $LINK $ATOM $FIL $ICP $FTT $XTZ $XRP  The next 3 months will be insane 🚀,lilmoonlambo,[],"['dot', 'ada', 'sushi', 'sol', 'doge', 'link', 'atom', 'fil', 'icp', 'ftt', 'xtz', 'xrp']",27,319,46
2021-11-12 21:22:52 UTC,"""Ethereum cannot be killed, it's impossible.""  - The founder of Solana $SOL  https://t.co/Qp3SPLwLDO",lilmoonlambo,[],['sol'],8,118,9
2021-11-08 23:00:28 UTC,Brave announcing a major partnership with  is unironically bullish as fuck for $BAT    https://t.co/4qdEomNcda,lilmoonlambo,[],['bat'],19,114,8
2021-11-06 15:49:49 UTC,Imagine believing the crypto market is bearish when Solana $SOL is making new all time highs  NGMI,lilmoonlambo,[],['sol'],14,224,7
2021-10-25 15:23:06 UTC,His name was Samuel Bankman $SOL,lilmoonlambo,[],['sol'],9,137,7
2021-10-21 17:04:00 UTC,Don't sleep on    The Solana-Based DeFi protocol just raised $4.2M  The on-chain asset management protocol allows users to access a suite of tools that leverage analytics and indices to define unique parameters for trade execution 🔥🔥🔥   https://t.co/Tu3V3cVhaJ,lilmoonlambo,[],[],6,19,3
2021-10-12 15:26:06 UTC,"XDEFI  is backed by Alameda and the top VCs in crypto  Imagine betting against Sam in 2021 😭  Solana integration incoming, $XDEFI incoming too 👀  https://t.co/hpPCCImKXv",lilmoonlambo,[],['xdefi'],4,28,5
2021-10-11 19:02:39 UTC,Don't sleep on    Synchrony is an on-chain copy-trading and indexing protocol that enables users to perform in-depth analysis into other users’ wallets in order to make highly effective trades 🤑  Featured on the  ecosystem 💎   https://t.co/eW4ySlrKSb  https://t.co/n7zh5zZvoF,lilmoonlambo,[],[],14,35,8
2021-10-06 19:52:39 UTC,We like the Sol Diamond Hands    Public launch is in 1 hour @ 5pm EST at 1 SOL per mint   https://t.co/MHqm4YcKed    https://t.co/67u2oEB5tc  https://t.co/VlFKwtbV1k,lilmoonlambo,[],[],3,16,3
2021-10-04 11:54:11 UTC,SolRazr is coming in 2 days 🚀  The first decentralized developer ecosystem for Solana $SOL  Don't sleep on   #SolanaSummer  https://t.co/q8zUiTYjWj,lilmoonlambo,['solanasummer'],['sol'],5,17,2
2021-09-29 18:37:48 UTC,$VEMP staking is going hard on  https://t.co/dke8IOAHhb and they just dropped the updated Roadmap with $SOL functionality incoming 🔥  https://t.co/AMEEEzIRWq,lilmoonlambo,[],"['vemp', 'sol']",14,47,10
2021-09-29 14:16:07 UTC,Ethereum Bitcoin Polygon Binance Smart Chain Terra Avalanche Arbitrum Solana  XDEFI is coming and they're going to overtake Metamask  Sam and Alameda think so too 👀   https://t.co/HaXHw23iKC,lilmoonlambo,[],[],9,54,8
2021-09-26 10:03:55 UTC,This dip will forever be known as the The Wu Tang Bottom  We can clearly see The Wu Tang Bottom being perfectly set up on Solana $SOL  https://t.co/EHIzqEONDO,lilmoonlambo,[],['sol'],15,122,13
2021-09-24 22:31:43 UTC,Solana this year:  https://t.co/XUX6DdU3lt,lilmoonlambo,[],[],7,125,15
2021-09-23 23:34:02 UTC,"We like the Meerkat Millionaires Country Club  100% of royalties goes to community, cheap to mint (1.5 $SOL) and the artwork is sick  One of my favorite NFT projects to come from Solana this month so I got a few, DAO incoming 🔥   https://t.co/Mq2sIsIOdI   https://t.co/eI5Yc2DApL",lilmoonlambo,[],['sol'],73,118,44
2021-09-22 12:57:48 UTC,"I got access to the brand new  V2 app and I am highly impressed  I can track my crypto portfolio as well as the value of my NFTs + stake &amp; lend, fiat on ramps + its cross chain so I can track my Solana port 🔥  Join the waitlist at  https://t.co/r3XLMkF6y2  https://t.co/Ri9vGNInK1",lilmoonlambo,[],[],31,118,13
2021-09-22 11:24:42 UTC,"MatrixETF $MDF launches tomorrow on Solana and i'm hyped  Next-gen NFTs in the areas of ETFs, digital warrants, token and financial certificates  Major VC backing for an innovative idea for the NFT space that hasn't been done before 💎   https://t.co/4Mpzt3uruO",lilmoonlambo,[],['mdf'],6,26,7
2021-09-15 23:43:41 UTC,"$AAVE is coming to Avalanche, is Solana $SOL next?  If they finally expand to Solana the pump will be glorious   https://t.co/GSG6LiyDEM",lilmoonlambo,[],"['aave', 'sol']",12,60,2
2021-09-14 18:25:17 UTC,If you missed out on $SOL below $13 don't miss out on $SUSHI below $13,lilmoonlambo,[],"['sol', 'sushi']",22,368,47
2021-09-13 02:21:37 UTC,The Solana $SOL pump in a nutshell  https://t.co/ROMiSTrSC5,lilmoonlambo,[],['sol'],3,49,2
2021-09-12 21:05:34 UTC,I’m bullish on Solana NFTs just not the knockoffs,lilmoonlambo,[],[],0,3,2
2021-09-12 21:04:57 UTC,Solana has fire NFTs no need to buy the fakes lol,lilmoonlambo,[],[],0,1,0
2021-09-12 20:48:48 UTC,me when I see someone flexing bootleg punks on solana  https://t.co/DugxpaaQ8W,lilmoonlambo,[],[],14,105,6
2021-09-11 14:44:13 UTC,The $AAVE pump when they expand onto Solana $SOL will be ungodly  High 4 digits target is a given,lilmoonlambo,[],"['aave', 'sol']",12,131,14
2021-09-10 16:14:51 UTC,$ALEPH is a Solana $SOL gem 💎   https://t.co/OKt8vb6UlI,lilmoonlambo,[],"['aleph', 'sol']",18,93,12
2021-09-10 13:54:07 UTC,"The Solana $SOL ecosystem is only getting bigger from here with all the attention it has captured in the last month  I'm bullish on   The next generation of ETFs on Solana, designed to track the top earners of the DeFi industry, lowering the bar for mainstream entry 💎  https://t.co/MiO4KCek5x",lilmoonlambo,[],['sol'],8,50,8
2021-09-09 19:24:48 UTC,". is one of my favorite upcoming Solana $SOL projects right now  A fully decentralized NFT auction protocol on Solana, giving me early OpenSea vibes  $BURNT is coming   https://t.co/k1JfLHcqlO",lilmoonlambo,[],"['sol', 'burnt']",5,30,8
2021-09-09 17:01:00 UTC,I can’t wait to dump my $ALGO and $SOL profits into presales so I can make even easier money 😈,lilmoonlambo,[],"['algo', 'sol']",6,154,35
2021-09-09 03:00:12 UTC,#SolanaSummer is almost done $SOL  #AlgoAutumn is just beginning $ALGO  Few.,lilmoonlambo,"['solanasummer', 'algoautumn']","['sol', 'algo']",50,363,63
2021-09-09 02:47:53 UTC,Infinite bid chad  is sending Solana $SOL to $500   https://t.co/Yp0XBRdAr1,lilmoonlambo,[],['sol'],13,48,2
2021-09-09 00:39:49 UTC,SOLANA $SOL JUST BROKE $200 🚀🚀🚀   https://t.co/SiWgnMmoGy,lilmoonlambo,[],['sol'],21,124,6
2021-09-08 23:53:32 UTC,Solana $SOL wants $200 before this rally ends  https://t.co/TykASMXzfW,lilmoonlambo,[],['sol'],10,66,7
2021-09-08 20:14:41 UTC,HEY GUYS LETS START AN IDO ON SOLANA SINCE ITS TRENDING WE CAN START A LAUNCHPAD AND CALL IT SOLSTARTER GET IT BECAUSE WE ARE STARTING PROJECTS WOW THATS CLEVER BRO THIS IS GONNA MOON,lilmoonlambo,[],[],5,82,12
2021-09-08 19:29:13 UTC,I invested in    The first decentralized developer ecosystem for Solana $SOL. hyped for this one   #SolanaSummer  https://t.co/eGnPihK4HC,lilmoonlambo,['solanasummer'],['sol'],5,25,6
2021-09-08 14:14:19 UTC,$ALGO is about to test $2.00 and ATH is less than 2x away  This is the next $SOL and $FTM,lilmoonlambo,[],"['algo', 'sol', 'ftm']",12,60,11
2021-09-08 13:18:22 UTC,"The ATH on $ALGO was $3.80 when they first launched in 2019  If this pulls a $SOL and it looks like it will, that ATH will get shattered 🚀  https://t.co/KWiY8yDuPo",lilmoonlambo,[],"['algo', 'sol']",11,108,15
2021-09-08 12:54:36 UTC,Whales are buying $ALGO here  They know it's the next $SOL  https://t.co/mO66uVSpIM,lilmoonlambo,[],"['algo', 'sol']",8,51,14
2021-09-08 12:03:59 UTC,If you missed $SOL  If you missed $FTM  Don't miss $ALGO,lilmoonlambo,[],"['sol', 'ftm', 'algo']",130,985,91
2021-09-08 11:46:36 UTC,Everyone should have been accumulating Algorand $ALGO at $1.00   The pump is just starting and I got a strong feeling it's about to rip to $3.00 short term and follow the pumps $SOL and $FTM had  Send it 🚀  https://t.co/2ikqNj1vsA,lilmoonlambo,[],"['algo', 'sol', 'ftm']",24,191,16
2021-09-08 03:22:51 UTC,Solana is the crypto version of Madden 04 Michael Vick,lilmoonlambo,[],[],15,143,16
2021-09-07 16:44:07 UTC,That's why they call me $SLIM shady  Solanium is the hottest project on Solana $SOL right now and they just launched Solanium NFT Launchpad 🚀   https://t.co/RfqdVyL9Jv  https://t.co/IXJkD1vdQd,lilmoonlambo,[],"['slim', 'sol']",11,49,3
2021-09-07 14:50:40 UTC,Andre is sending $FTM to Valhalla  Gonna keep adding $YFI on these dips expecting it to follow just like $FTT followed $SOL,lilmoonlambo,[],"['ftm', 'yfi', 'ftt', 'sol']",6,23,1
2021-09-07 03:30:27 UTC,If you missed out on the Sam pump with $SOL and $FTT...  Don't miss out on the Andre pump with $YFI and $KP3R  Watch the ETH pairs 👀  https://t.co/qRrYFg2UnW,lilmoonlambo,[],"['sol', 'ftt', 'yfi']",10,79,9
2021-09-07 02:52:53 UTC,The Andre pump will follow the Sam pump  $YFI is about to follow $SOL   https://t.co/5aFPMkwI0S,lilmoonlambo,[],"['yfi', 'sol']",13,47,7
2021-09-06 16:22:46 UTC,You should follow  for the alpha  Sneaky pulled a chad move front ran Alameda on Solanium $SLIM which is one of the hottest Solana $SOL launchpads right now  The shadowy super venture capitalists 😈  https://t.co/vxVzbsfoeZ,lilmoonlambo,[],"['slim', 'sol']",4,20,3
2021-09-04 21:49:36 UTC,Sol Bowls is a sick brand name 👀,lilmoonlambo,[],[],0,18,1
2021-09-04 20:58:24 UTC,Currently looking for apartments in Manhattan $SOL  https://t.co/gPtQB9CgaG,lilmoonlambo,[],['sol'],14,238,12
2021-09-04 13:37:52 UTC,The next big pump after Solana $SOL is $YFI  Few.,lilmoonlambo,[],"['sol', 'yfi']",17,201,54
2021-09-04 13:07:16 UTC,Who else is ready to watch Solana $SOL make new all time highs today?   https://t.co/nMjtUr1nxy,lilmoonlambo,[],['sol'],11,53,5
2021-09-04 08:48:50 UTC,This girl I met told me Solana $SOL is the future and that it's going to $200 this month  I believe her  https://t.co/5X89aTfnsT,lilmoonlambo,[],['sol'],10,147,31
2021-09-03 13:41:44 UTC,When I show her how much Solana $SOL I own    https://t.co/1IRoqgTppi,lilmoonlambo,[],['sol'],61,480,37
2021-09-03 06:34:20 UTC,SOLANA $SOL JUST BROKE $140   YOU LOVE TO SEE IT   https://t.co/JFWPRPfUcN,lilmoonlambo,[],['sol'],7,70,7
2021-09-03 06:04:54 UTC,SOLANA NEW ALL TIME HIGH 🚀  https://t.co/XBSFDG2lpD,lilmoonlambo,[],[],15,122,9
2021-09-02 16:13:03 UTC,Wault Finance is now cross chain after going live on Polygon $MATIC 🚀  Farming is live for $WUSD-USDC and the APY is still high right now   I’m expecting Polygon to have a round 2 pump very soon and follow Solana so I’m apeing in   https://t.co/6MaJBYP3GW  https://t.co/Fn1onG2xJl,lilmoonlambo,[],"['matic', 'wusd']",16,51,5
