created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 17:53:51 UTC,"Trezor for ETH, Ledger for SOL",traderkoz,[],[],0,6,1
2021-11-29 19:30:42 UTC,What a crazy day it has been for !  - Team acquired  land - Breeding mechanism went live - Dragon eggs being bought between 75-90 $SOL - Genesis Dragonz floor up to 260 $SOL - $BOKU is up to $19.13 and holders get 7 $BOKU daily  WAGMI  https://t.co/bePmUM5Am0,traderkoz,[],"['sol', 'sol', 'boku', 'boku']",28,133,12
2021-11-29 16:21:17 UTC,$SOL  Back above the monthly open where we belong  https://t.co/9iF24OJNbV,traderkoz,[],['sol'],11,172,6
2021-11-29 15:35:31 UTC,And the winner is...  !  Congratulations and I hope you enjoy your Gecko! DM me your $SOL address please :),traderkoz,[],['sol'],1,26,3
2021-11-28 01:05:43 UTC,"$SOL  In an ideal world, we put in a higher low here and flip the monthly open  https://t.co/L8cLSzDurC",traderkoz,[],['sol'],9,147,11
2021-11-27 23:41:21 UTC,I have purchased  #78 for 375 $SOL  The Boogle's have one of the most exclusive communities with a supply of just 100 and have emerged as a premier NFT on Solana.  I am stoked to be a part of the community!  https://t.co/I3kpXdmj0A,traderkoz,[],['sol'],20,203,38
2021-11-27 02:55:58 UTC,I tried to tell people about these so early:/,traderkoz,[],[],0,2,0
2021-11-27 02:01:39 UTC,The  just hit an all-time low on total listings  There are 9 Dragonz on the market 🤯  Legendary sales are popping off and the most recent one just sold for 505 $SOL  https://t.co/vNjztIQ1ed,traderkoz,[],['sol'],27,97,14
2021-11-26 00:44:00 UTC,$SOL NFT’s are still so undervalued,traderkoz,[],['sol'],56,647,65
2021-11-25 01:06:27 UTC,"This Legendary really just sold for 800 $SOL, huge congrats to !!  My 327 $SOL legendary purchase yesterday is looking pretty comfy😅",traderkoz,[],"['sol', 'sol']",5,64,0
2021-11-24 23:49:02 UTC,"$SOL should be at $1,000",traderkoz,[],['sol'],92,1276,106
2021-11-24 20:21:33 UTC,$SOL  I'm long $SOL on the dip to the monthly open. If we flip Monday's low I will tighten my stop.  https://t.co/BrAfHAF9Ut,traderkoz,[],"['sol', 'sol']",7,186,20
