created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-28 13:58:45 UTC,"We understand it, and L2Beat is doing its job by being vigilant and cautious. Other assets such as ETH, USDT, AAVE, and UNI will be added to Andromeda this week, as 2 DEXes launch on our L2 mainnet. When that happens and risk defrayed, adjustments can be made. All good!",metisdao,[],[],0,0,0
2021-11-23 17:29:52 UTC,"70K $METIS tokens bridged onto Andromeda 96 hours after launch — TVL nearly $7M/growing fast, 3 days before start of DAC Staking.  Many more DApps soon, incl L2 DEX  next wk, enabling swaps of tokens such as $ETH $USDT $AAVE $UNI $METIS for $2-$3!   https://t.co/TDNZIROEbH",metisdao,[],"['metis', 'eth', 'usdt', 'aave', 'uni', 'metis']",62,189,18
2021-11-21 15:50:00 UTC,"There are other, simpler solutions to this issue. We will consider undertaking them when the time is right, and very much appreciate all of your feedback!",metisdao,[],[],0,3,0
2021-11-21 14:06:44 UTC,"Thank you for the feedback, we will take a look!",metisdao,[],[],0,6,2
2021-11-20 21:00:33 UTC,Cheers sir!,metisdao,[],[],0,0,0
2021-11-20 20:53:05 UTC,"Whatever the ""right"" answer is regarding limited supply vs. very large supply, in our project's case it cannot be changed. We appreciate your interest in Metis and are excited to unveil more partners, DApps, DAC creation, staking, and much more.",metisdao,[],[],1,2,1
2021-11-20 20:43:22 UTC,"It’s the view of the team, for now. Moreover, our lifetime token supply is written into our smart contract and thus won’t be changed. That said, we are open to creative solutions depending on how things unfold in the future.",metisdao,[],[],0,0,1
2021-11-20 19:57:46 UTC,"We don't go into deep discussion about tokenomics, other than to say that it's quite rare for people to be disappointed when an asset is scarce, given the usual laws of supply and demand.",metisdao,[],[],0,1,2
2021-11-20 19:04:20 UTC,"We’ve been adding more liquidity as we go along, most recently to  v3, as well as  and . We will list on more CEXes as well.",metisdao,[],[],0,2,1
2021-11-19 17:42:46 UTC,"$METIS Andromeda mainnet launch is just the beginning. TONS of assets coming in the next couple weeks: $USDT, $ETH, $AAVE, Uniswap, the launch of the excellent third-party DEX  (which will offer swap soon, stake &amp; launchpad later).  The journey is just beginning.  https://t.co/LAj9ncDcON",metisdao,[],"['metis', 'usdt', 'eth', 'aave']",113,318,25
2021-11-19 17:38:38 UTC,Considering we launched our best-in-breed Layer 2 mainnet today..we are. $METIS  https://t.co/GqbM5s0xiQ,metisdao,[],['metis'],3,11,0
2021-11-19 13:22:05 UTC,"Metis is launching mainnet in less than 2 hours, with EVM Equivalence AND higher levels of security/decentralization than all other ORs:  https://t.co/0hJtbVBE4e  Meanwhile, we continue to add liquidity to Uniswap/other DEXes to enable easier access to the $METIS utility token.",metisdao,[],['metis'],0,5,1
2021-11-09 01:05:08 UTC,Hey ...our DMs are open,metisdao,[],[],39,146,7
2021-10-15 18:41:25 UTC,"$METIS announces 5 new #MetisHackathon partners!       $1 MILLION(!) #MetisHackathon runs til Nov 30.  https://t.co/Gy7JIK1EYT for details,  https://t.co/adoOTmg1xT to sign up to build DApps/compete for prizes!",metisdao,"['metishackathon', 'metishackathon']",['metis'],22,75,3
2021-10-03 12:06:14 UTC,https://t.co/efSpNKrtfI  Bridge  https://t.co/PpJLPP0fSe  $Metis Contract for BSC 0xe552Fb52a4F19e44ef5A967632DBc320B0820639   https://t.co/ujHvuz4t3z  Uniswap v2  https://t.co/ZVKaes03tM  v3  https://t.co/5BMTCAdotP  METIS ERC 20 contract  0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,metisdao,[],['metis'],0,7,0
2021-09-27 13:14:28 UTC,"MASSIVE congrats to our partner  for their token launch on  and  today! The global Foreign Exchange (FOREX) market is worth $6.6 TRILLION, and Handle is bringing FOREX to Blockchain! Check them out at  https://t.co/Cl80OyAqMT",metisdao,[],[],11,40,2
2021-09-03 23:16:27 UTC,"Uniswap,  https://t.co/FFTSx4pgei, and Hotbit. Also staking and mining of $METIS tokens available upon our Public Testnet launch later this month. Starting APY 29,000%.",metisdao,[],['metis'],2,5,1
2021-09-02 20:38:17 UTC,"10 mil max lifetime supply, half reserved for community mining over the next 10 years as we build our network and more projects and developers come on board. So 5 million is the accessible pool, practically speaking. We continue to add liquidity gradually, including today on Uni.",metisdao,[],[],0,3,0
2021-09-02 19:48:34 UTC,"Dear $METIS traders: Building on our recent momentum, we'll be adjusting to a higher price limit and adding more liquidity to $METIS token pool at  v3. From 4-4:15 pm ET today there'll be a temporary lack of liquidity while we make these upgrades.  https://t.co/5BMTCAdotP",metisdao,[],"['metis', 'metis']",15,61,1
