created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-20 09:45:15 UTC,"Hump day whales, how we doin? What coins we looking at today?  In the last 24h  🏆 Most traded alt: $ELON    🥳 Most widely held token: $UNI   🥇 Biggest token position by dollar value: $SHIB   Source:  https://t.co/28TDZ70IkD  #SHIBARMY #dogelonmars  https://t.co/WMU8fgwfeh",whalestats,"['shibarmy', 'dogelonmars']","['elon', 'uni', 'shib']",388,1212,157
2021-11-19 01:16:49 UTC,🐳 Top 10 purchased tokens by the top 1K Ethereum richlist  🥇 $USDC 🥈 $ETH 🥉 $USDT 4⃣ $GALA 5⃣ $YFI 6⃣ $BUSD 7⃣ $AXS 8⃣ $UNI 9⃣ $LINK 🔟 $SHIB  👉  https://t.co/28TDZ70IkD  Which #altcoin will 10x next week and why? 🤔  https://t.co/DnGtDRX0eu,whalestats,['altcoin'],"['usdc', 'eth', 'usdt', 'gala', 'yfi', 'busd', 'axs', 'uni', 'link', 'shib']",49,213,64
2021-11-18 03:12:20 UTC,🐳🐳Daily analysis of the top 1000 ETH wallets 🐳🐳  Top 10 most used smart contracts:  🥇 #ETH 🥈 $USDT 🥉 $USDC 4⃣ $LINK 5⃣ $UNI 6⃣ $SKL 7⃣ $COMP 8⃣ $BAT 9⃣ $AAVE 🔟 $OMG  Whale leaderboard:  https://t.co/28TDZ70IkD  https://t.co/hrWhs4jQ1L,whalestats,['eth'],"['usdt', 'usdc', 'link', 'uni', 'skl', 'comp', 'bat', 'aave', 'omg']",22,93,15
2021-11-17 02:18:28 UTC,What #ERC20 token dips are whales buying today?  🥇 #ETH 🥈 $USDC 🥉 $USDT 4⃣ $OMG 5⃣ $WBTC 6⃣ $BAT 7⃣ $SUSHI 8⃣ $UNI 9⃣ $SHIB 🔟 #1INCH  👉  https://t.co/28TDZ70IkD  https://t.co/wjHKvz6fFd,whalestats,"['erc20', 'eth', '1inch']","['usdc', 'usdt', 'omg', 'wbtc', 'bat', 'sushi', 'uni', 'shib']",58,235,32
2021-11-14 03:52:14 UTC,🐳 Analysis of the top 1K ETH whales 🐳  🏆 Whale of the week:  https://t.co/oVPjY2XSTi    Top 3 transacted: 🥇 $FTX Token 🥈 $LINK 🥉 $UNI    #FTX Token #LINK #UNI #ERC20 #DEFI #ETH #whalestats,whalestats,"['ftx', 'link', 'uni', 'erc20', 'defi', 'eth', 'whalestats']","['ftx', 'link', 'uni']",25,117,105
2021-11-12 13:54:49 UTC,Which of these #ERC20 tokens will make the most millionaires in the next year?  $BEST $OKB $SHIB $LINK $CRO $TEL $SRM $HOT $BTR $CHZ $MATIC $FTM $UNI $VRA $ENJ $MKR $ENS  👉  https://t.co/jGSeQ3uXfo  https://t.co/oD7YVczVKI,whalestats,['erc20'],"['best', 'okb', 'shib', 'link', 'cro', 'tel', 'srm', 'hot', 'btr', 'chz', 'matic', 'ftm', 'uni', 'vra', 'enj', 'mkr', 'ens']",111,406,243
2021-11-12 01:04:10 UTC,🏆 The ETH richlist is $ELON-ed up! Most traded in last 24 hours cc   🏆 $OKB  biggest $ holding among top 1K whales  🏆 $UNI  most common holding among top 1K whales  👉  https://t.co/28TDZ70IkD  #ELON #Dogelonmars #DogelonToMars #OKB #UNI  https://t.co/JVkbcXwicO,whalestats,"['elon', 'dogelonmars', 'dogelontomars', 'okb', 'uni']","['elon', 'okb', 'uni']",30,100,15
2021-11-10 15:01:02 UTC,"Do you make #memes for breakfast?  Did you buy $shib before it was cool?  Are you flipping cat tokens on  and ?  If so, we may have the perfect job for you as a #memeAnalyst #memeTrader  DM us with your portfolio and cv, let's talk!",whalestats,"['memes', 'memeanalyst', 'memetrader']",['shib'],58,321,35
2021-11-06 13:58:14 UTC,The ETH richlist is $LINK-ed up! Most traded in last 24 hours cc    $SHIB  biggest $ holding among top 1K whales  $UNI  most common holding among top 1K whales  Check it:  https://t.co/tyYPOezpEL,whalestats,[],"['link', 'shib', 'uni']",91,326,18
2021-11-05 17:11:14 UTC,"Who's eating $UNI for dinner?  All the ETH whales in the yard, it seems.  $UNI  now the most common ERC-20 holding among the ETH richlist.  Blue-chip sea urchin. Tonight we feast!  #whalestats  https://t.co/Id9lqCF9K6",whalestats,['whalestats'],"['uni', 'uni']",6,34,0
